validation,family,BA,accuracy,precision,recall,TN,FP,FN,TP,AUC,AP,n_constructs,n_predictions
LOOCV,always_large_decrease,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,20.0,0.0,10.0,0.5,0.3333333333333333,30,30
LOOCV,always_no_large_decrease,0.5,0.6666666666666666,0.0,0.0,20.0,0.0,10.0,0.0,0.5,0.3333333333333333,30,30
LOOCV,local_CP,0.675,0.6333333333333333,0.47058823529411764,0.8,11.0,9.0,2.0,8.0,0.845,0.7736202686202686,30,30
LOOCV,nested_family_selection,0.42500000000000004,0.4666666666666667,0.25,0.3,11.0,9.0,7.0,3.0,0.54,0.36406513747690217,30,30
LOOCV,original_CCR_RF,0.825,0.8,0.6428571428571429,0.9,15.0,5.0,1.0,9.0,0.8150000000000001,0.7655250305250305,30,30
LOOCV,sequence,0.375,0.36666666666666664,0.23529411764705882,0.4,7.0,13.0,6.0,4.0,0.38,0.2894227611468991,30,30
LOOCV,sequence_plus_CP,0.375,0.36666666666666664,0.23529411764705882,0.4,7.0,13.0,6.0,4.0,0.635,0.6003287067548745,30,30
Strict_position_out,always_large_decrease,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,20.0,0.0,10.0,0.5,0.3333333333333333,30,36
Strict_position_out,always_no_large_decrease,0.5,0.6666666666666666,0.0,0.0,20.0,0.0,10.0,0.0,0.5,0.3333333333333333,30,36
Strict_position_out,local_CP,0.675,0.5666666666666667,0.43478260869565216,1.0,7.0,13.0,0.0,10.0,0.5,0.40290832980581504,30,36
Strict_position_out,nested_family_selection,0.5625,0.6333333333333333,0.4375,0.35,15.5,4.5,6.5,3.5,0.46749999999999997,0.382551819086794,30,36
Strict_position_out,original_CCR_RF,0.4375,0.38333333333333336,0.2926829268292683,0.6,5.5,14.5,4.0,6.0,0.495,0.33523198673942384,30,36
Strict_position_out,sequence,0.4375,0.4666666666666667,0.2692307692307692,0.35,10.5,9.5,6.5,3.5,0.435,0.33520977222081094,30,36
Strict_position_out,sequence_plus_CP,0.47500000000000003,0.5,0.3076923076923077,0.4,11.0,9.0,6.0,4.0,0.41124999999999995,0.40738522074557443,30,36
