validation,fold,reported_family,family,q,threshold,inner_BA,parameters,selection_family
LOOCV,0,sequence,sequence,7,0.28102138858707015,0.675,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,0,local_CP,local_CP,15,0.8649318115106019,0.7527777777777778,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",
LOOCV,0,sequence_plus_CP,sequence_plus_CP,0,0.5663746839926881,0.6472222222222221,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,0,nested_family_selection,local_CP,15,0.8649318115106019,0.7527777777777778,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",nested_family_selection
LOOCV,1,sequence,sequence,0,0.4488485481768386,0.7105263157894737,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,1,local_CP,local_CP,7,0.48856529892713474,0.7947368421052632,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,1,sequence_plus_CP,sequence_plus_CP,0,0.4746478368937054,0.6894736842105263,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,1,nested_family_selection,local_CP,7,0.48856529892713474,0.7947368421052632,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",nested_family_selection
LOOCV,2,sequence,sequence,0,0.44664431919698944,0.6842105263157895,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,2,local_CP,local_CP,7,0.44244411038249415,0.8184210526315789,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",
LOOCV,2,sequence_plus_CP,sequence_plus_CP,0,0.48312217325661927,0.7421052631578948,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,2,nested_family_selection,local_CP,7,0.44244411038249415,0.8184210526315789,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",nested_family_selection
LOOCV,3,sequence,sequence,17,0.5,0.7638888888888888,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 3}",
LOOCV,3,local_CP,local_CP,12,0.6153093948752499,0.7027777777777777,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.9}",
LOOCV,3,sequence_plus_CP,sequence_plus_CP,8,0.4705590611471262,0.663888888888889,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.5}",
LOOCV,3,nested_family_selection,sequence,17,0.5,0.7638888888888888,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 3}",nested_family_selection
LOOCV,4,sequence,sequence,0,0.5,0.6894736842105263,"{""kind"": ""L2"", ""C"": 0.01}",
LOOCV,4,local_CP,local_CP,12,0.5214709201100073,0.8210526315789474,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.9}",
