position,family,n,BA,accuracy,precision,recall,specificity,TN,FP,FN,TP,AUC,AP
4,always_large_decrease,9,0.5,0.4444444444444444,0.4444444444444444,1.0,0.0,0,5,0,4,0.5,0.4444444444444444
4,always_no_large_decrease,9,0.5,0.5555555555555556,0.0,0.0,1.0,5,0,4,0,0.5,0.4444444444444444
4,local_CP,9,0.5,0.4444444444444444,0.4444444444444444,1.0,0.0,0,5,0,4,0.5,0.4444444444444444
4,nested_family_selection,9,0.5,0.4444444444444444,0.4444444444444444,1.0,0.0,0,5,0,4,0.5,0.4444444444444444
4,sequence,9,0.5,0.4444444444444444,0.4444444444444444,1.0,0.0,0,5,0,4,0.5,0.4444444444444444
4,sequence_plus_CP,9,0.5,0.4444444444444444,0.4444444444444444,1.0,0.0,0,5,0,4,0.5,0.4444444444444444
5,always_large_decrease,13,0.5,0.46153846153846156,0.46153846153846156,1.0,0.0,0,7,0,6,0.5,0.46153846153846156
5,always_no_large_decrease,13,0.5,0.5384615384615384,0.0,0.0,1.0,7,0,6,0,0.5,0.46153846153846156
5,local_CP,13,0.5,0.46153846153846156,0.46153846153846156,1.0,0.0,0,7,0,6,0.5,0.46153846153846156
5,nested_family_selection,13,0.5,0.5384615384615384,0.0,0.0,1.0,7,0,6,0,0.5,0.46153846153846156
5,sequence,13,0.5,0.5384615384615384,0.0,0.0,1.0,7,0,6,0,0.5,0.46153846153846156
5,sequence_plus_CP,13,0.5,0.5384615384615384,0.0,0.0,1.0,7,0,6,0,0.5,0.46153846153846156
6,always_large_decrease,6,,0.0,0.0,,0.0,0,6,0,0,,
6,always_no_large_decrease,6,,1.0,0.0,,1.0,6,0,0,0,,
6,local_CP,6,,1.0,0.0,,1.0,6,0,0,0,,
6,nested_family_selection,6,,1.0,0.0,,1.0,6,0,0,0,,
6,sequence,6,,0.16666666666666666,0.0,,0.16666666666666666,1,5,0,0,,
6,sequence_plus_CP,6,,0.5,0.0,,0.5,3,3,0,0,,
7,always_large_decrease,7,0.5,0.2857142857142857,0.2857142857142857,1.0,0.0,0,5,0,2,0.5,0.2857142857142857
7,always_no_large_decrease,7,0.5,0.7142857142857143,0.0,0.0,1.0,5,0,2,0,0.5,0.2857142857142857
7,local_CP,7,0.7,0.5714285714285714,0.4,1.0,0.4,2,3,0,2,0.7,0.4
7,nested_family_selection,7,0.45,0.42857142857142855,0.25,0.5,0.4,2,3,1,1,0.45000000000000007,0.26785714285714285
7,sequence,7,0.45,0.42857142857142855,0.25,0.5,0.4,2,3,1,1,0.45000000000000007,0.26785714285714285
7,sequence_plus_CP,7,0.7,0.5714285714285714,0.4,1.0,0.4,2,3,0,2,0.7,0.4
8,always_large_decrease,1,,0.0,0.0,,0.0,0,1,0,0,,
8,always_no_large_decrease,1,,1.0,0.0,,1.0,1,0,0,0,,
8,local_CP,1,,0.0,0.0,,0.0,0,1,0,0,,
8,nested_family_selection,1,,1.0,0.0,,1.0,1,0,0,0,,
8,sequence,1,,1.0,0.0,,1.0,1,0,0,0,,
8,sequence_plus_CP,1,,0.0,0.0,,0.0,0,1,0,0,,
