validation,family,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TN,FP,FN,TP,AUC,AP
LOOCV,always_large_decrease,30,30,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,20.0,0.0,10.0,0.5,0.3333333333333333
LOOCV,always_no_large_decrease,30,30,0.5,0.6666666666666666,0.0,0.0,1.0,20.0,0.0,10.0,0.0,0.5,0.3333333333333333
LOOCV,local_CP,30,30,0.675,0.6333333333333333,0.47058823529411764,0.8,0.55,11.0,9.0,2.0,8.0,0.845,0.7736202686202686
LOOCV,nested_family_selection,30,30,0.42500000000000004,0.4666666666666667,0.25,0.3,0.55,11.0,9.0,7.0,3.0,0.54,0.36406513747690217
LOOCV,sequence,30,30,0.375,0.36666666666666664,0.23529411764705882,0.4,0.35,7.0,13.0,6.0,4.0,0.38,0.2894227611468991
LOOCV,sequence_plus_CP,30,30,0.375,0.36666666666666664,0.23529411764705882,0.4,0.35,7.0,13.0,6.0,4.0,0.635,0.6003287067548745
Strict_position_out,always_large_decrease,30,36,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,20.0,0.0,10.0,0.5,0.3333333333333333
Strict_position_out,always_no_large_decrease,30,36,0.5,0.6666666666666666,0.0,0.0,1.0,20.0,0.0,10.0,0.0,0.5,0.3333333333333333
Strict_position_out,local_CP,30,36,0.675,0.5666666666666667,0.43478260869565216,1.0,0.35,7.0,13.0,0.0,10.0,0.5,0.40290832980581504
Strict_position_out,nested_family_selection,30,36,0.5625,0.6333333333333333,0.4375,0.35,0.775,15.5,4.5,6.5,3.5,0.46749999999999997,0.382551819086794
Strict_position_out,sequence,30,36,0.4375,0.4666666666666667,0.2692307692307692,0.35,0.525,10.5,9.5,6.5,3.5,0.435,0.33520977222081094
Strict_position_out,sequence_plus_CP,30,36,0.47500000000000003,0.5,0.3076923076923077,0.4,0.55,11.0,9.0,6.0,4.0,0.41124999999999995,0.40738522074557443
