validation,reported_family,family,parameters,n_selected
LOOCV,local_CP,local_CP,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",4
LOOCV,local_CP,local_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",1
LOOCV,local_CP,local_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",4
LOOCV,local_CP,local_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.9}",7
LOOCV,local_CP,local_CP,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.1}",1
LOOCV,local_CP,local_CP,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",11
LOOCV,local_CP,local_CP,"{""kind"": ""L2"", ""C"": 0.01}",1
LOOCV,local_CP,local_CP,"{""kind"": ""L2"", ""C"": 1}",1
LOOCV,nested_family_selection,local_CP,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",4
LOOCV,nested_family_selection,local_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",1
LOOCV,nested_family_selection,local_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",4
LOOCV,nested_family_selection,local_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.9}",3
LOOCV,nested_family_selection,local_CP,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",9
LOOCV,nested_family_selection,local_CP,"{""kind"": ""L2"", ""C"": 0.01}",1
LOOCV,nested_family_selection,sequence,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",1
LOOCV,nested_family_selection,sequence,"{""kind"": ""L2"", ""C"": 0.01}",2
LOOCV,nested_family_selection,sequence,"{""kind"": ""L2"", ""C"": 0.1}",1
LOOCV,nested_family_selection,sequence,"{""kind"": ""LDA""}",1
LOOCV,nested_family_selection,sequence,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 3}",3
LOOCV,sequence,sequence,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",2
LOOCV,sequence,sequence,"{""kind"": ""L2"", ""C"": 0.01}",16
LOOCV,sequence,sequence,"{""kind"": ""L2"", ""C"": 0.1}",3
LOOCV,sequence,sequence,"{""kind"": ""LDA""}",2
LOOCV,sequence,sequence,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 3}",3
LOOCV,sequence,sequence,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 5}",1
LOOCV,sequence,sequence,"{""kind"": ""RF"", ""max_depth"": 2, ""min_samples_leaf"": 3}",2
LOOCV,sequence,sequence,"{""kind"": ""RF"", ""max_depth"": 3, ""min_samples_leaf"": 3}",1
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.1}",9
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""EN"", ""C"": 0.1, ""l1_ratio"": 0.5}",1
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",2
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.5}",2
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.9}",2
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.5}",3
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",2
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""L2"", ""C"": 0.01}",6
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""L2"", ""C"": 1}",2
LOOCV,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""LDA""}",1
Strict_position_out,local_CP,local_CP,"{""kind"": ""EN"", ""C"": 1, ""l1_ratio"": 0.1}",1
Strict_position_out,local_CP,local_CP,"{""kind"": ""L2"", ""C"": 0.01}",3
Strict_position_out,local_CP,local_CP,"{""kind"": ""L2"", ""C"": 0.1}",1
Strict_position_out,nested_family_selection,local_CP,"{""kind"": ""L2"", ""C"": 0.01}",1
Strict_position_out,nested_family_selection,sequence,"{""kind"": ""L2"", ""C"": 0.01}",1
Strict_position_out,nested_family_selection,sequence,"{""kind"": ""L2"", ""C"": 0.1}",1
Strict_position_out,nested_family_selection,sequence,"{""kind"": ""L2"", ""C"": 10}",1
Strict_position_out,nested_family_selection,sequence,"{""kind"": ""L2"", ""C"": 1}",1
Strict_position_out,sequence,sequence,"{""kind"": ""L2"", ""C"": 0.01}",1
Strict_position_out,sequence,sequence,"{""kind"": ""L2"", ""C"": 0.1}",1
Strict_position_out,sequence,sequence,"{""kind"": ""L2"", ""C"": 10}",1
Strict_position_out,sequence,sequence,"{""kind"": ""L2"", ""C"": 1}",1
Strict_position_out,sequence,sequence,"{""kind"": ""RF"", ""max_depth"": 1, ""min_samples_leaf"": 3}",1
Strict_position_out,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""EN"", ""C"": 10, ""l1_ratio"": 0.9}",1
Strict_position_out,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""L2"", ""C"": 0.01}",2
Strict_position_out,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""L2"", ""C"": 0.1}",1
Strict_position_out,sequence_plus_CP,sequence_plus_CP,"{""kind"": ""L2"", ""C"": 1}",1
