validation,feature_set,heldout,feature,importance
LOCO,CP3,P4-R5-ETD,pp_nonlocal4_high_per_res,0.5690447705287036
LOCO,CP3,P4-R5-ETD,pp_nonlocal12_high_per_res,0.19221518554765493
LOCO,CP3,P4-R5-ETD,pp_nonlocal24_high_per_res,0.23874004392364154
LOCO,CP3,P4-R5-SHE,pp_nonlocal4_high_per_res,0.6661337713795987
LOCO,CP3,P4-R5-SHE,pp_nonlocal12_high_per_res,0.14339874466959013
LOCO,CP3,P4-R5-SHE,pp_nonlocal24_high_per_res,0.19046748395081112
LOCO,CP3,P4-R5-SHE+P7-R5-SHE,pp_nonlocal4_high_per_res,0.6575315464783955
LOCO,CP3,P4-R5-SHE+P7-R5-SHE,pp_nonlocal12_high_per_res,0.14782929809655282
LOCO,CP3,P4-R5-SHE+P7-R5-SHE,pp_nonlocal24_high_per_res,0.19463915542505172
LOCO,CP3,P4-R5-SNE,pp_nonlocal4_high_per_res,0.570140870502681
LOCO,CP3,P4-R5-SNE,pp_nonlocal12_high_per_res,0.16106927505257285
LOCO,CP3,P4-R5-SNE,pp_nonlocal24_high_per_res,0.2687898544447462
LOCO,CP3,P4-R5-SNE+P7-R5-SNE,pp_nonlocal4_high_per_res,0.6714627629927803
LOCO,CP3,P4-R5-SNE+P7-R5-SNE,pp_nonlocal12_high_per_res,0.1386896354863839
LOCO,CP3,P4-R5-SNE+P7-R5-SNE,pp_nonlocal24_high_per_res,0.1898476015208358
LOCO,CP3,P4-R5-SWD+P7-R5-SWD,pp_nonlocal4_high_per_res,0.5702504743208061
LOCO,CP3,P4-R5-SWD+P7-R5-SWD,pp_nonlocal12_high_per_res,0.185562750667787
LOCO,CP3,P4-R5-SWD+P7-R5-SWD,pp_nonlocal24_high_per_res,0.2441867750114069
LOCO,CP3,P4-R5-THE+P7-R5-THE,pp_nonlocal4_high_per_res,0.5905181632177792
LOCO,CP3,P4-R5-THE+P7-R5-THE,pp_nonlocal12_high_per_res,0.1641455540034705
LOCO,CP3,P4-R5-THE+P7-R5-THE,pp_nonlocal24_high_per_res,0.24533628277875033
LOCO,CP3,P4-R5-YTH+P7-R5-YTH,pp_nonlocal4_high_per_res,0.6082498112059974
LOCO,CP3,P4-R5-YTH+P7-R5-YTH,pp_nonlocal12_high_per_res,0.18725395039881665
