family,validation,model,scope,n,n_work,AUC,AP,PR_AUC,balanced_accuracy,precision,recall,TN,FP,FN,TP,brier
frozen,transfer,CP_density3_RF,matched512,31,22,0.33080808080808083,0.6493593367558114,0.6380880383482211,0.3964646464646464,0.6521739130434783,0.6818181818181818,1,8,7,15,0.34756384480236585
frozen,transfer,CP_density3_LR,matched512,31,22,0.2828282828282829,0.6212652063657217,0.5933779610563408,0.5,0.7096774193548387,1.0,0,9,0,22,0.21989422377657133
frozen,transfer,S12_only_RF,matched512,31,22,0.32575757575757575,0.6232508014421493,0.6851772951312899,0.3964646464646464,0.6521739130434783,0.6818181818181818,1,8,7,15,0.4042889525987989
frozen,transfer,S12_only_LR,matched512,31,22,0.3106060606060606,0.6373864560240281,0.6398923066052573,0.5,0.7096774193548387,1.0,0,9,0,22,0.22500924200833627
frozen,transfer,CP_density3_RF,full519,31,22,0.46212121212121215,0.6955203398751786,0.662965797643217,0.4444444444444444,0.0,0.0,8,1,22,0,0.655526888377232
frozen,transfer,CP_density3_LR,full519,31,22,0.2828282828282829,0.6212652063657217,0.5933779610563408,0.48737373737373735,0.7037037037037037,0.8636363636363636,1,8,3,19,0.2423300610704409
frozen,transfer,S12_only_RF,full519,31,22,0.31313131313131315,0.6678667434715821,0.631187159614579,0.5126262626262625,0.75,0.13636363636363635,8,1,19,3,0.6354994730650086
frozen,transfer,S12_only_LR,full519,31,22,0.3106060606060606,0.6373864560240281,0.6398923066052573,0.48737373737373735,0.7037037037037037,0.8636363636363636,1,8,3,19,0.24008780457306497
retrained,LOCO,CP3_LR,matched512,31,22,0.7222222222222223,0.821889149883212,0.7991302768687997,0.7525252525252526,0.8888888888888888,0.7272727272727273,7,2,6,16,0.24333010213432021
retrained,LOCO,CP3_RF,matched512,31,22,0.6313131313131313,0.7495896015669172,0.7280346884162318,0.696969696969697,0.8421052631578947,0.7272727272727273,6,3,6,16,0.2282980464010414
retrained,LOCO,CP14_LR,matched512,31,22,0.7474747474747475,0.8413936829719877,0.8296897618930668,0.6868686868686869,0.8181818181818182,0.8181818181818182,5,4,4,18,0.19862051464320285
retrained,LOCO,CP14_RF,matched512,31,22,0.6363636363636365,0.7898806068579225,0.7762112238267488,0.6641414141414141,0.8095238095238095,0.7727272727272727,5,4,5,17,0.20780843883949598
retrained,LOCO,Structure6_LR,matched512,31,22,0.7272727272727273,0.876628784039851,0.8728908221170866,0.7070707070707071,0.875,0.6363636363636364,7,2,8,14,0.21438365491850997
retrained,LOCO,Structure6_RF,matched512,31,22,0.5606060606060607,0.7794961757845379,0.7666080120959375,0.48484848484848486,0.7,0.6363636363636364,3,6,8,14,0.24447838461110027
retrained,LOCO,CP_Structure9_LR,matched512,31,22,0.7777777777777778,0.9039301813311997,0.9013065623896033,0.606060606060606,0.8,0.5454545454545454,6,3,10,12,0.1994994395513492
retrained,LOCO,CP_Structure9_RF,matched512,31,22,0.6565656565656566,0.7851448929387722,0.7611856356404515,0.6868686868686869,0.8181818181818182,0.8181818181818182,5,4,4,18,0.2148901600812007
