method,group,n,n_work,AUC,TN,FP,FN,TP
old_RF,P4,3,2,0.0,0,1,0,2
old_RF,P4+P7,6,4,0.375,0,2,1,3
old_RF,P5,13,8,0.32499999999999996,1,4,4,4
old_RF,P6,6,5,0.0,0,1,2,3
old_RF,P7,1,1,,0,0,0,1
old_RF,P8,1,1,,0,0,0,1
old_RF,WT,1,1,,0,0,0,1
new_CP3_LR_LOCO,P4,3,2,0.5,1,0,1,1
new_CP3_LR_LOCO,P4+P7,6,4,0.5,1,1,2,2
new_CP3_LR_LOCO,P5,13,8,0.675,4,1,2,6
new_CP3_LR_LOCO,P6,6,5,1.0,1,0,0,5
new_CP3_LR_LOCO,P7,1,1,,0,0,0,1
new_CP3_LR_LOCO,P8,1,1,,0,0,0,1
new_CP3_LR_LOCO,WT,1,1,,0,0,1,0
new_CPstruct_LR_LOCO,P4,3,2,1.0,1,0,0,2
new_CPstruct_LR_LOCO,P4+P7,6,4,0.625,2,0,4,0
new_CPstruct_LR_LOCO,P5,13,8,0.7,2,3,3,5
new_CPstruct_LR_LOCO,P6,6,5,1.0,1,0,2,3
new_CPstruct_LR_LOCO,P7,1,1,,0,0,1,0
new_CPstruct_LR_LOCO,P8,1,1,,0,0,0,1
new_CPstruct_LR_LOCO,WT,1,1,,0,0,0,1
new_CPstruct_LR_groupout,P4,3,2,1.0,1,0,0,2
new_CPstruct_LR_groupout,P4+P7,6,4,0.75,2,0,4,0
new_CPstruct_LR_groupout,P5,13,8,0.8500000000000001,3,2,1,7
new_CPstruct_LR_groupout,P6,6,5,1.0,1,0,2,3
new_CPstruct_LR_groupout,P7,1,1,,0,0,1,0
new_CPstruct_LR_groupout,P8,1,1,,0,0,0,1
new_CPstruct_LR_groupout,WT,1,1,,0,0,0,1
nested_LOCO,P4,3,2,1.0,1,0,0,2
nested_LOCO,P4+P7,6,4,0.5,2,0,4,0
nested_LOCO,P5,13,8,0.5,2,3,3,5
nested_LOCO,P6,6,5,0.6,1,0,2,3
nested_LOCO,P7,1,1,,0,0,1,0
nested_LOCO,P8,1,1,,0,0,0,1
nested_LOCO,WT,1,1,,0,0,0,1
nested_groupout,P4,3,2,1.0,1,0,0,2
nested_groupout,P4+P7,6,4,0.75,2,0,4,0
nested_groupout,P5,13,8,0.65,3,2,2,6
nested_groupout,P6,6,5,1.0,1,0,2,3
nested_groupout,P7,1,1,,0,0,1,0
nested_groupout,P8,1,1,,0,0,0,1
nested_groupout,WT,1,1,,0,0,0,1
