feature,work_mean,nonwork_mean,delta,hedges_g,point_biserial_r,spearman_C388,p_permutation_MC,q_BH,n_permutations
pp_nonlocal4_high_per_res,2.3836558948863638,2.3921440972222223,-0.008488202335858563,-0.7990460916667795,-0.3593232023966745,-0.20640233714752215,0.0487,0.1948,19999
pp_nonlocal12_high_per_res,1.3196466619318181,1.3237847222222223,-0.0041380602904042,-0.39329356084947864,-0.1862031160788208,-0.11751099062483611,0.3182,0.5656888888888889,19999
pp_nonlocal24_high_per_res,1.1194957386363635,1.1221788194444444,-0.0026830808080808843,-0.2600669305345276,-0.12434660241741763,0.07889986711179689,0.5215,0.6953333333333332,19999
plddt_core_mean,94.97299016776866,95.00831367607584,-0.03532350830721498,-0.1711210380587477,-0.08217968919905679,-0.13388446484009367,0.65835,0.7524,19999
plddt_core_min,75.49011673553719,76.44154343434343,-0.9514266988062303,-0.3522894387411602,-0.16736433106378573,-0.25788890140132503,0.4065,0.6150545454545454,19999
global_core_PAE,4.763532506335865,4.882719537946913,-0.11918703161104727,-0.593564575157282,-0.2749952837669815,-0.09375945203410176,0.13435,0.42991999999999997,19999
pae_contact_weighted,1.469232622059909,1.4700041479534574,-0.0007715258935483416,-0.024453256498210355,-0.011782545404185517,-0.08992842066066534,0.9502,0.9502,19999
Rg_full_length_normalized,4.312816522184874,4.349000537739329,-0.03618401555445505,-1.075145238158678,-0.4600126753851383,-0.4653694952574341,0.0077,0.1232,19999
anisotropy,15.237551372768444,15.546000683741738,-0.30844931097329464,-0.8846392619707446,-0.39214066601826664,-0.3808851718116521,0.0256,0.1948,19999
pr_cp_per_nt,3.715742441740903,3.4114814069536,0.30426103478730315,0.7956952159902204,0.35800983607783377,-0.0985986495584425,0.0453,0.1948,19999
pr_rna_max_mean,0.8059090836481615,0.7698518302705553,0.036057253377606235,0.5021003581482557,0.23516335178926556,-0.14661692118505612,0.2021,0.5389333333333334,19999
pr_rna_coverage_05,0.7893939393939395,0.7925925925925926,-0.0031986531986529787,-0.055466793890937664,-0.02671840688984887,-0.19102920204371018,0.90575,0.9502,19999
pr_protein_coverage_05,0.07563920454545454,0.07139756944444445,0.004241635101010097,0.4346853659168792,0.2050139339367396,-0.05749379056259517,0.2849,0.5656888888888889,19999
adj_CP_mean,0.038083926074145215,0.038142353710201,-5.8427636055784216e-05,-0.31316273640511777,-0.14921524122987748,-0.11574914297237343,0.42285,0.6150545454545454,19999
adj_CP_min,0.03354386892169711,0.03359259168306983,-4.872276137271592e-05,-0.1903950088516809,-0.09136249855790492,-0.06398872859452344,0.62615,0.7524,19999
nonadj_CP_mean,1.4953831490225445e-06,1.91732140574275e-06,-4.219382567202061e-07,-0.4131451949370797,-0.19525177273033056,-0.04469771639931613,0.31715,0.5656888888888889,19999
