group,feature,n_work,n_nonwork,delta
P4,pp_nonlocal4_high_per_res,2,1,-0.0068359375
P4,pp_nonlocal12_high_per_res,2,1,0.0
P4,pp_nonlocal24_high_per_res,2,1,0.0048828125
P4,plddt_core_mean,2,1,0.06939957803898267
P4,plddt_core_min,2,1,-1.0911931818181984
P4,global_core_PAE,2,1,-0.022566795349121094
P4,pae_contact_weighted,2,1,-0.03630462884902963
P4,Rg_full_length_normalized,2,1,-0.051216034309809366
P4,anisotropy,2,1,-0.6014797804467698
P4,pr_cp_per_nt,2,1,-0.6946665048599234
P4,pr_rna_max_mean,2,1,-0.13466668128967285
P4,pr_rna_coverage_05,2,1,-0.13333333333333353
P4,pr_protein_coverage_05,2,1,-0.025390625
P4,adj_CP_mean,2,1,-1.1627308347049448e-05
P4,adj_CP_min,2,1,0.00010077469050884941
P4,nonadj_CP_mean,2,1,7.0145919876681e-08
P4+P7,pp_nonlocal4_high_per_res,4,2,0.0009765625
P4+P7,pp_nonlocal12_high_per_res,4,2,0.001953125
P4+P7,pp_nonlocal24_high_per_res,4,2,-0.00146484375
P4+P7,plddt_core_mean,4,2,0.19139969649371835
P4+P7,plddt_core_min,4,2,0.7167272727272831
P4+P7,global_core_PAE,4,2,0.04806604385375923
P4+P7,pae_contact_weighted,4,2,-0.024549877643585072
P4+P7,Rg_full_length_normalized,4,2,-0.08225926777625236
P4+P7,anisotropy,4,2,-0.7273119127492116
P4+P7,pr_cp_per_nt,4,2,0.48716676235198975
P4+P7,pr_rna_max_mean,4,2,0.01733332872390747
P4+P7,pr_rna_coverage_05,4,2,-0.08333333333333337
P4+P7,pr_protein_coverage_05,4,2,0.00634765625
P4+P7,adj_CP_mean,4,2,-3.7350353192203145e-05
P4+P7,adj_CP_min,4,2,0.00025193765759465303
P4+P7,nonadj_CP_mean,4,2,1.7536486583677196e-07
P5,pp_nonlocal4_high_per_res,8,5,-0.006176757812499822
P5,pp_nonlocal12_high_per_res,8,5,-0.0028564453124999556
P5,pp_nonlocal24_high_per_res,8,5,-0.003320312500000089
P5,plddt_core_mean,8,5,0.016082314743826487
P5,plddt_core_min,8,5,0.3187536363636241
P5,global_core_PAE,8,5,-0.13943135857582067
P5,pae_contact_weighted,8,5,0.013433483242988764
P5,Rg_full_length_normalized,8,5,-0.030222829896798586
P5,anisotropy,8,5,-0.2020411576691874
P5,pr_cp_per_nt,8,5,0.40320843756198865
P5,pr_rna_max_mean,8,5,0.06855001449584963
P5,pr_rna_coverage_05,8,5,0.03916666666666668
P5,pr_protein_coverage_05,8,5,0.007910156249999994
P5,adj_CP_mean,8,5,3.2769541510158096e-05
P5,adj_CP_min,8,5,-6.87011051923106e-05
P5,nonadj_CP_mean,8,5,-2.2797448764322376e-08
P6,pp_nonlocal4_high_per_res,5,1,-0.03164062500000009
P6,pp_nonlocal12_high_per_res,5,1,-0.025390625
P6,pp_nonlocal24_high_per_res,5,1,-0.018750000000000044
P6,plddt_core_mean,5,1,-0.43939802191890465
P6,plddt_core_min,5,1,-1.4487745454545404
P6,global_core_PAE,5,1,-0.4058061027526856
P6,pae_contact_weighted,5,1,-0.047362990379333336
P6,Rg_full_length_normalized,5,1,0.005875615612692897
P6,anisotropy,5,1,0.018520408481276007
P6,pr_cp_per_nt,5,1,0.247733163833618
P6,pr_rna_max_mean,5,1,0.04520003795623784
P6,pr_rna_coverage_05,5,1,0.026666666666666727
P6,pr_protein_coverage_05,5,1,0.0042968750000000056
P6,adj_CP_mean,5,1,-0.0004902034997940202
P6,adj_CP_min,5,1,-0.00041550099849695793
P6,nonadj_CP_mean,5,1,-2.946128132118082e-06
P7,pp_nonlocal4_high_per_res,1,0,
P7,pp_nonlocal12_high_per_res,1,0,
P7,pp_nonlocal24_high_per_res,1,0,
P7,plddt_core_mean,1,0,
P7,plddt_core_min,1,0,
P7,global_core_PAE,1,0,
P7,pae_contact_weighted,1,0,
P7,Rg_full_length_normalized,1,0,
P7,anisotropy,1,0,
P7,pr_cp_per_nt,1,0,
P7,pr_rna_max_mean,1,0,
P7,pr_rna_coverage_05,1,0,
P7,pr_protein_coverage_05,1,0,
P7,adj_CP_mean,1,0,
P7,adj_CP_min,1,0,
P7,nonadj_CP_mean,1,0,
P8,pp_nonlocal4_high_per_res,1,0,
P8,pp_nonlocal12_high_per_res,1,0,
P8,pp_nonlocal24_high_per_res,1,0,
P8,plddt_core_mean,1,0,
P8,plddt_core_min,1,0,
P8,global_core_PAE,1,0,
P8,pae_contact_weighted,1,0,
P8,Rg_full_length_normalized,1,0,
P8,anisotropy,1,0,
P8,pr_cp_per_nt,1,0,
P8,pr_rna_max_mean,1,0,
P8,pr_rna_coverage_05,1,0,
P8,pr_protein_coverage_05,1,0,
P8,adj_CP_mean,1,0,
P8,adj_CP_min,1,0,
P8,nonadj_CP_mean,1,0,
WT,pp_nonlocal4_high_per_res,1,0,
WT,pp_nonlocal12_high_per_res,1,0,
WT,pp_nonlocal24_high_per_res,1,0,
WT,plddt_core_mean,1,0,
WT,plddt_core_min,1,0,
WT,global_core_PAE,1,0,
WT,pae_contact_weighted,1,0,
WT,Rg_full_length_normalized,1,0,
WT,anisotropy,1,0,
WT,pr_cp_per_nt,1,0,
WT,pr_rna_max_mean,1,0,
WT,pr_rna_coverage_05,1,0,
WT,pr_protein_coverage_05,1,0,
WT,adj_CP_mean,1,0,
WT,adj_CP_min,1,0,
WT,nonadj_CP_mean,1,0,
