feature_set,model,score_policy,validation,n,n_class0,n_class1,majority_class_accuracy,accuracy,balanced_accuracy,sensitivity,specificity,AUC,MCC,precision,F1,TP,TN,FP,FN,recall
C388_pm0,LR_C0.1,fixed_0.5,LOOCV,22,6,16,0.7272727272727273,0.5454545454545454,0.6875,0.375,1.0,0.375,0.375,1.0,0.5454545454545454,6,6,0,10,0.375
C388_pm0,LR_C0.1,fixed_0.5,mutation_group_out,22,6,16,0.7272727272727273,0.5454545454545454,0.6875,0.375,1.0,0.5729166666666667,0.375,1.0,0.5454545454545454,6,6,0,10,0.375
CP_summary,LR_C1,fixed_0.5,LOOCV,22,6,16,0.7272727272727273,0.7727272727272727,0.7916666666666667,0.75,0.8333333333333334,0.8645833333333334,0.528395949267478,0.9230769230769231,0.8275862068965517,12,5,1,4,0.75
CP_summary,LR_C1,fixed_0.5,mutation_group_out,22,6,16,0.7272727272727273,0.8181818181818182,0.875,0.75,1.0,0.9479166666666666,0.6708203932499369,1.0,0.8571428571428571,12,6,0,4,0.75
ContactSeek_Top3,LR_C1,fixed_0.5,LOOCV,22,6,16,0.7272727272727273,0.6363636363636364,0.75,0.5,1.0,0.7708333333333334,0.4629100498862757,1.0,0.6666666666666666,8,6,0,8,0.5
ContactSeek_Top3,LR_C1,fixed_0.5,mutation_group_out,22,6,16,0.7272727272727273,0.6363636363636364,0.75,0.5,1.0,0.6979166666666667,0.4629100498862757,1.0,0.6666666666666666,8,6,0,8,0.5
Interface_CP,RF_depth2,fixed_0.5,LOOCV,22,6,16,0.7272727272727273,0.8636363636363636,0.8541666666666667,0.875,0.8333333333333334,0.8645833333333334,0.6772962119561564,0.9333333333333333,0.9032258064516129,14,5,1,2,0.875
Interface_CP,RF_depth2,fixed_0.5,mutation_group_out,22,6,16,0.7272727272727273,0.9090909090909091,0.9375,0.875,1.0,0.9479166666666666,0.8100925873009825,1.0,0.9333333333333333,14,6,0,2,0.875
Interface_CP,RF_depth2,training_only_threshold,LOOCV,22,6,16,0.7272727272727273,0.8636363636363636,0.8541666666666667,0.875,0.8333333333333334,0.8645833333333334,0.6772962119561564,0.9333333333333333,0.9032258064516129,14,5,1,2,0.875
Interface_CP,RF_depth2,training_only_threshold,mutation_group_out,22,6,16,0.7272727272727273,0.7727272727272727,0.5833333333333334,1.0,0.16666666666666666,0.9479166666666666,0.3563483225498992,0.7619047619047619,0.8648648648648649,16,1,5,0,1.0
Interface_CP,nested_model_selection,training_only_threshold,LOOCV,22,6,16,0.7272727272727273,0.8181818181818182,0.7708333333333333,0.875,0.6666666666666666,0.8645833333333334,0.5416666666666666,0.875,0.875,14,4,2,2,0.875
Interface_CP,nested_model_selection,training_only_threshold,mutation_group_out,22,6,16,0.7272727272727273,0.7272727272727273,0.5,1.0,0.0,0.8750000000000001,0.0,0.7272727272727273,0.8421052631578947,16,0,6,0,1.0
Total_CP,LR_C0.1,fixed_0.5,LOOCV,22,6,16,0.7272727272727273,0.5909090909090909,0.71875,0.4375,1.0,0.90625,0.4183300132670378,1.0,0.6086956521739131,7,6,0,9,0.4375
Total_CP,LR_C0.1,fixed_0.5,mutation_group_out,22,6,16,0.7272727272727273,0.5454545454545454,0.6875,0.375,1.0,0.9479166666666666,0.375,1.0,0.5454545454545454,6,6,0,10,0.375
Total_CP,LR_C1,fixed_0.5,LOOCV,22,6,16,0.7272727272727273,0.6363636363636364,0.75,0.5,1.0,0.8958333333333334,0.4629100498862757,1.0,0.6666666666666666,8,6,0,8,0.5
Total_CP,LR_C1,fixed_0.5,mutation_group_out,22,6,16,0.7272727272727273,0.6363636363636364,0.75,0.5,1.0,0.9270833333333334,0.4629100498862757,1.0,0.6666666666666666,8,6,0,8,0.5
Total_CP,RF_depth2,fixed_0.5,LOOCV,22,6,16,0.7272727272727273,0.7272727272727273,0.7083333333333333,0.75,0.6666666666666666,0.8541666666666667,0.38575837490522974,0.8571428571428571,0.8,12,4,2,4,0.75
Total_CP,RF_depth2,fixed_0.5,mutation_group_out,22,6,16,0.7272727272727273,0.7272727272727273,0.7083333333333333,0.75,0.6666666666666666,0.796875,0.38575837490522974,0.8571428571428571,0.8,12,4,2,4,0.75
Total_CP,nested_model_selection,training_only_threshold,LOOCV,22,6,16,0.7272727272727273,0.8181818181818182,0.71875,0.9375,0.5,0.90625,0.5051814855409226,0.8333333333333334,0.8823529411764706,15,3,3,1,0.9375
Total_CP,nested_model_selection,training_only_threshold,mutation_group_out,22,6,16,0.7272727272727273,0.7272727272727273,0.5,1.0,0.0,0.8229166666666667,0.0,0.7272727272727273,0.8421052631578947,16,0,6,0,1.0
WT_Top5_pm0,LR_C0.1,fixed_0.5,LOOCV,22,6,16,0.7272727272727273,0.6363636363636364,0.75,0.5,1.0,0.7916666666666666,0.4629100498862757,1.0,0.6666666666666666,8,6,0,8,0.5
WT_Top5_pm0,LR_C0.1,fixed_0.5,mutation_group_out,22,6,16,0.7272727272727273,0.5909090909090909,0.71875,0.4375,1.0,0.78125,0.4183300132670378,1.0,0.6086956521739131,7,6,0,9,0.4375
nested_best_available,nested_model_selection,training_only_threshold,LOOCV,22,6,16,0.7272727272727273,0.7272727272727273,0.65625,0.8125,0.5,0.6875,0.3125,0.8125,0.8125,13,3,3,3,0.8125
nested_best_available,nested_model_selection,training_only_threshold,mutation_group_out,22,6,16,0.7272727272727273,0.7272727272727273,0.5,1.0,0.0,0.6874999999999999,0.0,0.7272727272727273,0.8421052631578947,16,0,6,0,1.0
