family,validation,model,AUC,baseline_BA,threshold,balanced_accuracy,accuracy,precision,recall,specificity,TN,FP,FN,TP
frozen,transfer,CP_density3_LR,0.2828282828282829,0.5,0.5760656415663158,0.5328282828282829,0.7096774193548387,0.7241379310344828,0.9545454545454546,0.1111111111111111,1,8,1,21
frozen,transfer,CP_density3_RF,0.33080808080808083,0.3964646464646464,0.02485998682689855,0.5328282828282829,0.7096774193548387,0.7241379310344828,0.9545454545454546,0.1111111111111111,1,8,1,21
frozen,transfer,S12_only_LR,0.3106060606060606,0.5,0.5414457842416374,0.5328282828282829,0.7096774193548387,0.7241379310344828,0.9545454545454546,0.1111111111111111,1,8,1,21
frozen,transfer,S12_only_RF,0.32575757575757575,0.3964646464646464,0.0015625,0.5328282828282829,0.7096774193548387,0.7241379310344828,0.9545454545454546,0.1111111111111111,1,8,1,21
nested_selection,LOCO,inner_select_10_candidates,0.5757575757575757,0.606060606060606,0.6030692907246882,0.6717171717171717,0.5806451612903226,0.9090909090909091,0.45454545454545453,0.8888888888888888,8,1,12,10
nested_selection,mutation_group_out,inner_select_10_candidates,0.702020202020202,0.6843434343434344,0.5231574597603169,0.7398989898989898,0.6774193548387096,0.9285714285714286,0.5909090909090909,0.8888888888888888,8,1,9,13
retrained,LOCO,CP14_LR,0.7474747474747475,0.6868686868686869,0.47942156932766233,0.7323232323232323,0.8064516129032258,0.8333333333333334,0.9090909090909091,0.5555555555555556,5,4,2,20
retrained,LOCO,CP14_RF,0.6363636363636365,0.6641414141414141,0.5966528305310872,0.7525252525252526,0.7419354838709677,0.8888888888888888,0.7272727272727273,0.7777777777777778,7,2,6,16
retrained,LOCO,CP3_LR,0.7222222222222223,0.7525252525252526,0.49009915518159464,0.7752525252525253,0.7741935483870968,0.8947368421052632,0.7727272727272727,0.7777777777777778,7,2,5,17
retrained,LOCO,CP3_RF,0.6313131313131313,0.696969696969697,0.5619149415099608,0.7525252525252526,0.7419354838709677,0.8888888888888888,0.7272727272727273,0.7777777777777778,7,2,6,16
retrained,LOCO,CP_Interface6_LR,0.6414141414141414,0.696969696969697,0.5103508730837325,0.7070707070707071,0.6774193548387096,0.875,0.6363636363636364,0.7777777777777778,7,2,8,14
retrained,LOCO,CP_Interface6_RF,0.601010101010101,0.5858585858585859,0.526834937372423,0.696969696969697,0.7096774193548387,0.8421052631578947,0.7272727272727273,0.6666666666666666,6,3,6,16
retrained,LOCO,CP_RNA7_LR,0.6818181818181819,0.6414141414141414,0.5269149820650945,0.7525252525252526,0.7419354838709677,0.8888888888888888,0.7272727272727273,0.7777777777777778,7,2,6,16
retrained,LOCO,CP_RNA7_RF,0.611111111111111,0.6641414141414141,0.5620152769439446,0.7752525252525253,0.7741935483870968,0.8947368421052632,0.7727272727272727,0.7777777777777778,7,2,5,17
retrained,LOCO,CP_Structure9_LR,0.7777777777777778,0.606060606060606,0.44933110860209496,0.7196969696969697,0.7419354838709677,0.85,0.7727272727272727,0.6666666666666666,6,3,5,17
retrained,LOCO,CP_Structure9_RF,0.6565656565656566,0.6868686868686869,0.5685014077399674,0.7424242424242424,0.7741935483870968,0.8571428571428571,0.8181818181818182,0.6666666666666666,6,3,4,18
retrained,LOCO,RNA4_LR,0.5656565656565657,0.6186868686868687,0.4183747288968873,0.6439393939393939,0.7741935483870968,0.7777777777777778,0.9545454545454546,0.3333333333333333,3,6,1,21
retrained,LOCO,RNA4_RF,0.4393939393939394,0.3737373737373737,0.6824829386260602,0.5707070707070707,0.4838709677419355,0.8,0.36363636363636365,0.7777777777777778,7,2,14,8
retrained,LOCO,Structure6_LR,0.7272727272727273,0.7070707070707071,0.5,0.7070707070707071,0.6774193548387096,0.875,0.6363636363636364,0.7777777777777778,7,2,8,14
retrained,LOCO,Structure6_RF,0.5606060606060607,0.48484848484848486,0.7895641572279655,0.6717171717171717,0.5806451612903226,0.9090909090909091,0.45454545454545453,0.8888888888888888,8,1,12,10
