model,C388_threshold,n_work,n_nonwork,objective,AUC,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
CP_density3_LR,0.04333249999999995,29,2,accuracy,0.13793103448275862,0.5,0.9354838709677419,0.5,29.0,0.0,2.0,0.0,0.0
CP_density3_LR,0.04333249999999995,29,2,balanced_accuracy,0.13793103448275862,0.7376157617765129,0.1935483870967742,0.5689655172413793,4.0,2.0,0.0,25.0,0.2376157617765129
CP_density3_LR,0.05,29,2,accuracy,0.13793103448275862,0.5,0.9354838709677419,0.5,29.0,0.0,2.0,0.0,0.0
CP_density3_LR,0.05,29,2,balanced_accuracy,0.13793103448275862,0.7376157617765129,0.1935483870967742,0.5689655172413793,4.0,2.0,0.0,25.0,0.2376157617765129
CP_density3_LR,0.1,28,3,accuracy,0.19047619047619047,0.5,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.0
CP_density3_LR,0.1,28,3,balanced_accuracy,0.19047619047619047,0.7376157617765129,0.22580645161290322,0.5714285714285714,4.0,3.0,0.0,24.0,0.2376157617765129
CP_density3_LR,0.15000000000000002,28,3,accuracy,0.19047619047619047,0.5,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.0
CP_density3_LR,0.15000000000000002,28,3,balanced_accuracy,0.19047619047619047,0.7376157617765129,0.22580645161290322,0.5714285714285714,4.0,3.0,0.0,24.0,0.2376157617765129
CP_density3_LR,0.16001249999999995,28,3,accuracy,0.19047619047619047,0.5,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.0
CP_density3_LR,0.16001249999999995,28,3,balanced_accuracy,0.19047619047619047,0.7376157617765129,0.22580645161290322,0.5714285714285714,4.0,3.0,0.0,24.0,0.2376157617765129
CP_density3_LR,0.2,28,3,accuracy,0.19047619047619047,0.5,0.9032258064516129,0.5,28.0,0.0,3.0,0.0,0.0
CP_density3_LR,0.2,28,3,balanced_accuracy,0.19047619047619047,0.7376157617765129,0.22580645161290322,0.5714285714285714,4.0,3.0,0.0,24.0,0.2376157617765129
CP_density3_LR,0.24332999999999996,27,4,accuracy,0.38888888888888884,0.5,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.0
CP_density3_LR,0.24332999999999996,27,4,balanced_accuracy,0.38888888888888884,0.5760656415663158,0.8709677419354839,0.6064814814814814,26.0,1.0,3.0,1.0,0.07606564156631579
CP_density3_LR,0.25,27,4,accuracy,0.38888888888888884,0.5,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.0
CP_density3_LR,0.25,27,4,balanced_accuracy,0.38888888888888884,0.5760656415663158,0.8709677419354839,0.6064814814814814,26.0,1.0,3.0,1.0,0.07606564156631579
CP_density3_LR,0.28906999999999994,26,5,accuracy,0.29230769230769227,0.5,0.8387096774193549,0.5,26.0,0.0,5.0,0.0,0.0
CP_density3_LR,0.28906999999999994,26,5,balanced_accuracy,0.29230769230769227,0.5760656415663158,0.8387096774193549,0.5807692307692308,25.0,1.0,4.0,1.0,0.07606564156631579
CP_density3_LR,0.3,26,5,accuracy,0.29230769230769227,0.5,0.8387096774193549,0.5,26.0,0.0,5.0,0.0,0.0
CP_density3_LR,0.3,26,5,balanced_accuracy,0.29230769230769227,0.5760656415663158,0.8387096774193549,0.5807692307692308,25.0,1.0,4.0,1.0,0.07606564156631579
CP_density3_LR,0.3368625,25,6,accuracy,0.25999999999999995,0.5,0.8064516129032258,0.5,25.0,0.0,6.0,0.0,0.0
CP_density3_LR,0.3368625,25,6,balanced_accuracy,0.25999999999999995,0.5760656415663158,0.8064516129032258,0.5633333333333334,24.0,1.0,5.0,1.0,0.07606564156631579
CP_density3_LR,0.35000000000000003,24,7,accuracy,0.28571428571428575,0.5,0.7741935483870968,0.5,24.0,0.0,7.0,0.0,0.0
CP_density3_LR,0.35000000000000003,24,7,balanced_accuracy,0.28571428571428575,0.5760656415663158,0.7741935483870968,0.5505952380952381,23.0,1.0,6.0,1.0,0.07606564156631579
CP_density3_LR,0.3611025,24,7,accuracy,0.28571428571428575,0.5,0.7741935483870968,0.5,24.0,0.0,7.0,0.0,0.0
CP_density3_LR,0.3611025,24,7,balanced_accuracy,0.28571428571428575,0.5760656415663158,0.7741935483870968,0.5505952380952381,23.0,1.0,6.0,1.0,0.07606564156631579
CP_density3_LR,0.4,23,8,accuracy,0.28804347826086957,0.5,0.7419354838709677,0.5,23.0,0.0,8.0,0.0,0.0
CP_density3_LR,0.4,23,8,balanced_accuracy,0.28804347826086957,0.5760656415663158,0.7419354838709677,0.5407608695652174,22.0,1.0,7.0,1.0,0.07606564156631579
CP_density3_LR,0.40819,23,8,accuracy,0.28804347826086957,0.5,0.7419354838709677,0.5,23.0,0.0,8.0,0.0,0.0
CP_density3_LR,0.40819,23,8,balanced_accuracy,0.28804347826086957,0.5760656415663158,0.7419354838709677,0.5407608695652174,22.0,1.0,7.0,1.0,0.07606564156631579
CP_density3_LR,0.45,22,9,accuracy,0.2828282828282829,0.5,0.7096774193548387,0.5,22.0,0.0,9.0,0.0,0.0
CP_density3_LR,0.45,22,9,balanced_accuracy,0.2828282828282829,0.5760656415663158,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.07606564156631579
CP_density3_LR,0.4809925,22,9,accuracy,0.2828282828282829,0.5,0.7096774193548387,0.5,22.0,0.0,9.0,0.0,0.0
CP_density3_LR,0.4809925,22,9,balanced_accuracy,0.2828282828282829,0.5760656415663158,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.07606564156631579
CP_density3_LR,0.5,22,9,accuracy,0.2828282828282829,0.5,0.7096774193548387,0.5,22.0,0.0,9.0,0.0,0.0
CP_density3_LR,0.5,22,9,balanced_accuracy,0.2828282828282829,0.5760656415663158,0.7096774193548387,0.5328282828282829,21.0,1.0,8.0,1.0,0.07606564156631579
CP_density3_LR,0.52407,21,10,accuracy,0.30952380952380953,0.5,0.6774193548387096,0.5,21.0,0.0,10.0,0.0,0.0
CP_density3_LR,0.52407,21,10,balanced_accuracy,0.30952380952380953,0.5760656415663158,0.6774193548387096,0.5261904761904762,20.0,1.0,9.0,1.0,0.07606564156631579
CP_density3_LR,0.542325,20,11,accuracy,0.3090909090909091,0.5,0.6451612903225806,0.5,20.0,0.0,11.0,0.0,0.0
CP_density3_LR,0.542325,20,11,balanced_accuracy,0.3090909090909091,0.7376157617765129,0.41935483870967744,0.5295454545454545,3.0,10.0,1.0,17.0,0.2376157617765129
CP_density3_LR,0.55,20,11,accuracy,0.3090909090909091,0.5,0.6451612903225806,0.5,20.0,0.0,11.0,0.0,0.0
CP_density3_LR,0.55,20,11,balanced_accuracy,0.3090909090909091,0.7376157617765129,0.41935483870967744,0.5295454545454545,3.0,10.0,1.0,17.0,0.2376157617765129
CP_density3_LR,0.5558624999999999,19,12,accuracy,0.3596491228070175,0.5,0.6129032258064516,0.5,19.0,0.0,12.0,0.0,0.0
CP_density3_LR,0.5558624999999999,19,12,balanced_accuracy,0.3596491228070175,0.7376157617765129,0.45161290322580644,0.5372807017543859,3.0,11.0,1.0,16.0,0.2376157617765129
CP_density3_LR,0.56508,18,13,accuracy,0.4145299145299145,0.5,0.5806451612903226,0.5,18.0,0.0,13.0,0.0,0.0
CP_density3_LR,0.56508,18,13,balanced_accuracy,0.4145299145299145,0.7376157617765129,0.4838709677419355,0.5448717948717949,3.0,12.0,1.0,15.0,0.2376157617765129
CP_density3_LR,0.5825425,17,14,accuracy,0.38235294117647056,0.5,0.5483870967741935,0.5,17.0,0.0,14.0,0.0,0.0
CP_density3_LR,0.5825425,17,14,balanced_accuracy,0.38235294117647056,0.7376157617765129,0.5161290322580645,0.5525210084033614,3.0,13.0,1.0,14.0,0.2376157617765129
CP_density3_LR,0.5945275000000001,16,15,accuracy,0.4083333333333333,0.7376157617765129,0.5483870967741935,0.5604166666666667,3.0,14.0,1.0,13.0,0.2376157617765129
CP_density3_LR,0.5945275000000001,16,15,balanced_accuracy,0.4083333333333333,0.7376157617765129,0.5483870967741935,0.5604166666666667,3.0,14.0,1.0,13.0,0.2376157617765129
CP_density3_LR,0.6000000000000001,15,16,accuracy,0.4625,0.7376157617765129,0.5806451612903226,0.56875,3.0,15.0,1.0,12.0,0.2376157617765129
CP_density3_LR,0.6000000000000001,15,16,balanced_accuracy,0.4625,0.7376157617765129,0.5806451612903226,0.56875,3.0,15.0,1.0,12.0,0.2376157617765129
CP_density3_LR,0.601075,15,16,accuracy,0.4625,0.7376157617765129,0.5806451612903226,0.56875,3.0,15.0,1.0,12.0,0.2376157617765129
CP_density3_LR,0.601075,15,16,balanced_accuracy,0.4625,0.7376157617765129,0.5806451612903226,0.56875,3.0,15.0,1.0,12.0,0.2376157617765129
CP_density3_LR,0.6105674999999999,14,17,accuracy,0.5084033613445378,0.7376157617765129,0.6129032258064516,0.5777310924369747,3.0,16.0,1.0,11.0,0.2376157617765129
CP_density3_LR,0.6105674999999999,14,17,balanced_accuracy,0.5084033613445378,0.6431128335350278,0.5806451612903226,0.6113445378151261,13.0,5.0,12.0,1.0,0.1431128335350278
CP_density3_LR,0.6229925,13,18,accuracy,0.45299145299145305,0.7376157617765129,0.5806451612903226,0.5213675213675213,2.0,16.0,2.0,11.0,0.2376157617765129
CP_density3_LR,0.6229925,13,18,balanced_accuracy,0.45299145299145305,0.6431128335350278,0.5483870967741935,0.6004273504273505,12.0,5.0,13.0,1.0,0.1431128335350278
CP_density3_LR,0.6403475,12,19,accuracy,0.4912280701754386,0.7376157617765129,0.6129032258064516,0.5307017543859649,2.0,17.0,2.0,10.0,0.2376157617765129
CP_density3_LR,0.6403475,12,19,balanced_accuracy,0.4912280701754386,0.6523740491237499,0.5483870967741935,0.6162280701754386,11.0,6.0,13.0,1.0,0.15237404912374986
CP_density3_LR,0.6500000000000001,12,19,accuracy,0.4912280701754386,0.7376157617765129,0.6129032258064516,0.5307017543859649,2.0,17.0,2.0,10.0,0.2376157617765129
CP_density3_LR,0.6500000000000001,12,19,balanced_accuracy,0.4912280701754386,0.6523740491237499,0.5483870967741935,0.6162280701754386,11.0,6.0,13.0,1.0,0.15237404912374986
CP_density3_LR,0.65464,11,20,accuracy,0.4954545454545455,0.7376157617765129,0.6451612903225806,0.5409090909090909,2.0,18.0,2.0,9.0,0.2376157617765129
CP_density3_LR,0.65464,11,20,balanced_accuracy,0.4954545454545455,0.6523740491237499,0.5161290322580645,0.6045454545454545,10.0,6.0,14.0,1.0,0.15237404912374986
