family,validation,model,threshold,balanced_accuracy,accuracy,precision,recall,specificity,TN,FP,FN,TP
frozen,transfer,CP_density3_LR,0.0,0.5,0.7096774193548387,0.7096774193548387,1.0,0.0,0,9,0,22
frozen,transfer,CP_density3_LR,0.5,0.5,0.7096774193548387,0.7096774193548387,1.0,0.0,0,9,0,22
frozen,transfer,CP_density3_LR,0.5593207029427083,0.4772727272727273,0.6774193548387096,0.7,0.9545454545454546,0.0,0,9,1,21
frozen,transfer,CP_density3_LR,0.5760656415663158,0.5328282828282829,0.7096774193548387,0.7241379310344828,0.9545454545454546,0.1111111111111111,1,8,1,21
frozen,transfer,CP_density3_LR,0.5886989466352697,0.51010101010101,0.6774193548387096,0.7142857142857143,0.9090909090909091,0.1111111111111111,1,8,2,20
frozen,transfer,CP_density3_LR,0.6101929584164616,0.48737373737373735,0.6451612903225806,0.7037037037037037,0.8636363636363636,0.1111111111111111,1,8,3,19
frozen,transfer,CP_density3_LR,0.6294200284499099,0.46464646464646464,0.6129032258064516,0.6923076923076923,0.8181818181818182,0.1111111111111111,1,8,4,18
frozen,transfer,CP_density3_LR,0.6431128335350278,0.44191919191919193,0.5806451612903226,0.68,0.7727272727272727,0.1111111111111111,1,8,5,17
frozen,transfer,CP_density3_LR,0.6523740491237499,0.4191919191919192,0.5483870967741935,0.6666666666666666,0.7272727272727273,0.1111111111111111,1,8,6,16
frozen,transfer,CP_density3_LR,0.6563912961629992,0.3964646464646464,0.5161290322580645,0.6521739130434783,0.6818181818181818,0.1111111111111111,1,8,7,15
frozen,transfer,CP_density3_LR,0.6628352660510466,0.3737373737373737,0.4838709677419355,0.6363636363636364,0.6363636363636364,0.1111111111111111,1,8,8,14
frozen,transfer,CP_density3_LR,0.6687341069560284,0.351010101010101,0.45161290322580644,0.6190476190476191,0.5909090909090909,0.1111111111111111,1,8,9,13
frozen,transfer,CP_density3_LR,0.6705835318059818,0.3282828282828283,0.41935483870967744,0.6,0.5454545454545454,0.1111111111111111,1,8,10,12
frozen,transfer,CP_density3_LR,0.6721791387252614,0.3055555555555556,0.3870967741935484,0.5789473684210527,0.5,0.1111111111111111,1,8,11,11
