model,feature,mean,std
CP_density3_RF,pp_nonlocal4_high_per_res,0.3609862462492286,0.0030484713161711193
CP_density3_RF,pp_nonlocal12_high_per_res,0.3536836642752257,0.0036098098844088654
CP_density3_RF,pp_nonlocal24_high_per_res,0.2853300894755458,0.003573603407043424
CP_density3_XGB,pp_nonlocal4_high_per_res,0.4878559435407321,0.0629097334995985
CP_density3_XGB,pp_nonlocal12_high_per_res,0.47070884332060814,0.05181842065434404
CP_density3_XGB,pp_nonlocal24_high_per_res,0.04143521065513293,0.11220909721561668
CP_structure17_RF,pp_nonlocal24_high_per_res,0.17496801782700003,0.020177402847837676
CP_structure17_RF,pp_nonlocal12_high_per_res,0.16657243961837415,0.015116455865416498
CP_structure17_RF,pp_nonlocal4_high_per_res,0.14671104019400158,0.017854477498491724
CP_structure17_RF,plddt_protein_mean,0.12464835320487322,0.024880906575297672
CP_structure17_RF,pae_contact_weighted,0.08930300147213772,0.026619309023997062
CP_structure17_RF,pp_nonlocal12_per_res,0.06032658243435843,0.010592104393336537
CP_structure17_RF,pp_nonlocal24_per_res,0.037818903735353036,0.010136844460296298
CP_structure17_RF,pr_rna_max_mean,0.034995485155671,0.012235871900444166
CP_structure17_RF,pr_cp_per_nt,0.03240382505765695,0.0077042174666655475
CP_structure17_RF,pp_nonlocal4_per_res,0.030658772889958278,0.006001723185638003
CP_structure17_RF,pr_cp_sum,0.022243905122915547,0.009465465727767679
CP_structure17_RF,Rg_full_length_normalized,0.020060438868495203,0.004831861370913113
CP_structure17_RF,pr_protein_coverage_05,0.01602542205178593,0.003867652808336373
CP_structure17_RF,pr_rna_coverage_05,0.01423021815184865,0.004990898643004217
CP_structure17_RF,pr_high_contacts_per_nt,0.013800194690688711,0.005839572424552892
CP_structure17_RF,pr_top20_mean,0.010255916199089147,0.002666593554403814
CP_structure17_RF,pr_rna_max_min,0.004977483325792478,0.004121158763980151
CP_structure17_XGB,pp_nonlocal24_high_per_res,0.33214015886187553,0.07939534235574155
CP_structure17_XGB,pp_nonlocal4_high_per_res,0.25618035594622296,0.046854254932828084
CP_structure17_XGB,pp_nonlocal12_high_per_res,0.23011936464657387,0.03403907227183896
CP_structure17_XGB,plddt_protein_mean,0.1012203972786665,0.04308385746973595
CP_structure17_XGB,pae_contact_weighted,0.0738774947822094,0.04730219393762806
CP_structure17_XGB,pr_cp_sum,0.0041632018983364105,0.020395440694220984
CP_structure17_XGB,pr_cp_per_nt,0.0022990189803143344,0.011262846821487607
CP_structure17_XGB,Rg_full_length_normalized,0.0,0.0
CP_structure17_XGB,pp_nonlocal12_per_res,0.0,0.0
CP_structure17_XGB,pp_nonlocal24_per_res,0.0,0.0
CP_structure17_XGB,pp_nonlocal4_per_res,0.0,0.0
CP_structure17_XGB,pr_high_contacts_per_nt,0.0,0.0
CP_structure17_XGB,pr_protein_coverage_05,0.0,0.0
CP_structure17_XGB,pr_rna_coverage_05,0.0,0.0
CP_structure17_XGB,pr_rna_max_mean,0.0,0.0
CP_structure17_XGB,pr_rna_max_min,0.0,0.0
CP_structure17_XGB,pr_top20_mean,0.0,0.0
CP_summary14_RF,pp_nonlocal24_high_per_res,0.2123859996824895,0.01265472112730669
CP_summary14_RF,pp_nonlocal4_high_per_res,0.2001714718888831,0.013750899399213838
CP_summary14_RF,pp_nonlocal12_high_per_res,0.1804659366770701,0.00953946197127705
CP_summary14_RF,pp_nonlocal12_per_res,0.07966704338935181,0.008434649669940533
CP_summary14_RF,pp_nonlocal24_per_res,0.05398726201232066,0.009496398027977698
CP_summary14_RF,pp_nonlocal4_per_res,0.052788597429235855,0.00705485501645801
CP_summary14_RF,pr_rna_max_mean,0.04939215218714052,0.014029163550396547
CP_summary14_RF,pr_cp_sum,0.03804546092246806,0.008448609610913512
CP_summary14_RF,pr_rna_coverage_05,0.03511213348338077,0.010175488510056892
CP_summary14_RF,pr_cp_per_nt,0.03509372913515135,0.008724796812183976
CP_summary14_RF,pr_top20_mean,0.022764953943911134,0.00463579539189184
CP_summary14_RF,pr_protein_coverage_05,0.02052998164026985,0.004102815668599717
CP_summary14_RF,pr_high_contacts_per_nt,0.014813596425625283,0.006409345341185491
CP_summary14_RF,pr_rna_max_min,0.004781681182702022,0.0029434942449990606
CP_summary14_XGB,pp_nonlocal12_high_per_res,0.3399836216121912,0.03074063587307193
CP_summary14_XGB,pp_nonlocal24_high_per_res,0.3278600883980592,0.01767504457637267
CP_summary14_XGB,pp_nonlocal4_high_per_res,0.32486435398459435,0.013236602635301388
CP_summary14_XGB,pr_rna_max_mean,0.00383635051548481,0.018794202474802
CP_summary14_XGB,pr_cp_sum,0.0034555712093909583,0.016928772465720027
CP_summary14_XGB,pp_nonlocal12_per_res,0.0,0.0
CP_summary14_XGB,pp_nonlocal24_per_res,0.0,0.0
CP_summary14_XGB,pp_nonlocal4_per_res,0.0,0.0
CP_summary14_XGB,pr_cp_per_nt,0.0,0.0
CP_summary14_XGB,pr_high_contacts_per_nt,0.0,0.0
CP_summary14_XGB,pr_protein_coverage_05,0.0,0.0
CP_summary14_XGB,pr_rna_coverage_05,0.0,0.0
CP_summary14_XGB,pr_rna_max_min,0.0,0.0
CP_summary14_XGB,pr_top20_mean,0.0,0.0
