construct,design_id,success,XGB_score,RF_score,LR_score
1_130_r123_r567_r567_r67_no_loop_8,1,1,0.3806996,0.7796745597721855,0.7732698619914751
2_130_r123_r567_r5loop67_r678,2,0,0.24427862,0.2504007635554344,0.6616813333027917
3_130_r123_r567_r56loop7_r678,3,0,0.24427862,0.3918204453073743,0.6433426400483647
4_130_r123_r567_r567_rloop678,4,0,0.3806996,0.7717380345957344,0.7642242244456697
5_130_r123_r567_r567_r6loop78,5,0,0.24427862,0.5127559143653052,0.6812315063666545
7_130_r123_r567_r567_rloop67loop8,7,0,0.75572133,0.7373500408813781,0.7846527382849852
8_130_r123_r567_r567_r6loop7loop8,8,0,0.61930037,0.7660038553807914,0.73580059323593
12_130_r123456654loop328,12,0,0.2670044,0.3972180252189498,0.6301261653382992
13_130_r12345665432loop8,13,0,0.24427862,0.0434685061408799,0.1627042257695036
14_130_r123456734loop568,14,0,0.24427862,0.0460875537599275,0.4143946138826972
15_130_r12345673456loop8,15,0,0.24427862,0.0460875537599275,0.2991173510009965
16_130_r12365673156loop8,16,0,0.24427862,0.0195670891307342,0.0957278399253275
