endpoint,measured_class,predicted_class,count
C295,decrease,decrease,1
C295,decrease,not_decrease,0
C295,not_decrease,decrease,0
C295,not_decrease,not_decrease,4
C388,decrease,decrease,0
C388,decrease,within_selected_interval,0
C388,decrease,increase,0
C388,within_selected_interval,decrease,1
C388,within_selected_interval,within_selected_interval,3
C388,within_selected_interval,increase,0
C388,increase,decrease,0
C388,increase,within_selected_interval,0
C388,increase,increase,1
C871,decrease,decrease,4
C871,decrease,not_decrease,1
C871,not_decrease,decrease,0
C871,not_decrease,not_decrease,0
