construct,editing_pct,work
p4_r5_sne,74.3095,True
p4_r5_etd,0.0,False
p4_r5_she,61.6825,True
p4_r5_swd_plus_p7_r5_swd,51.8925,True
p5_r6_vfn,55.54349999999999,True
p5_r6_tye,44.306,False
p5_r6_thn,52.9215,True
p5_r6_sfe,62.916,True
p5_r6_nye,57.387,True
p5_r6_lrd,23.336,False
p5_r6_dfe,32.484,False
p5_r6_twd,59.784000000000006,True
p5_r6_swd,66.6435,True
p5_r6_fwd,37.332,False
p5_r6_aye,55.629,True
p5_r6_syq,59.121500000000005,True
p5_r6_tte,34.8885,False
p6_r7_qrw,60.431,True
p6_r7_trq,65.7745,True
p6_r7_mhq,25.33,False
p6_r7_wfd,70.041,True
p6_r7_wfq,65.1535,True
p6_r7_qfw,67.784,True
p4_r5_she_plus_p7_r5_she,75.314,True
p7_r5_syvirr,79.377,True
p4_r5_yth_plus_p7_r5_yth,0.0,False
p4_r5_yye_plus_p7_p5_yye,8.6665,False
p4_r5_the_plus_p7_r5_the,68.814,True
p8_r6_gve,65.8565,True
p4_r5_sne_plus_p7_r5_sne,80.33500000000001,True
