subset,model,AUC,AP,accuracy,balanced_accuracy,precision,recall,F1,MCC,TN,FP,FN,TP
all14,summary_LR,0.9090909090909091,0.6388888888888888,0.8571428571428571,0.9090909090909092,0.6,1.0,0.75,0.7006490497453707,9,2,0,3
all14,summary_RF,1.0,1.0,0.9285714285714286,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7817359599705717,11,0,1,2
all14,summary_XGB,1.0,1.0,0.9285714285714286,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7817359599705717,11,0,1,2
all14,structural_LR,0.8181818181818181,0.4777777777777778,0.8571428571428571,0.9090909090909092,0.6,1.0,0.75,0.7006490497453707,9,2,0,3
all14,structural_RF,0.8787878787878787,0.7,0.8571428571428571,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5310850045437943,11,0,2,1
all14,structural_XGB,0.9696969696969697,0.9166666666666665,0.9285714285714286,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7817359599705717,11,0,1,2
all14,full_LR,0.8181818181818181,0.5,0.7857142857142857,0.7424242424242424,0.5,0.6666666666666666,0.5714285714285714,0.4403855060505443,9,2,1,2
all14,full_RF,0.8181818181818181,0.5,0.7142857142857143,0.45454545454545453,0.0,0.0,0.0,-0.14484136487558028,10,1,3,0
all14,full_XGB,1.0,1.0,0.9285714285714286,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7817359599705717,11,0,1,2
all14,formula4_LR,0.9090909090909091,0.7555555555555555,0.7857142857142857,0.8636363636363636,0.5,1.0,0.6666666666666666,0.6030226891555273,8,3,0,3
12repeat,summary_LR,0.8148148148148149,0.5333333333333333,0.8333333333333334,0.8888888888888888,0.6,1.0,0.75,0.6831300510639732,7,2,0,3
12repeat,summary_RF,0.9629629629629629,0.9166666666666665,0.8333333333333334,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5222329678670935,9,0,2,1
12repeat,summary_XGB,1.0,1.0,0.9166666666666666,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7745966692414834,9,0,1,2
12repeat,structural_LR,0.8148148148148149,0.5333333333333333,0.75,0.7222222222222222,0.5,0.6666666666666666,0.5714285714285714,0.408248290463863,7,2,1,2
12repeat,structural_RF,0.8148148148148149,0.5333333333333333,0.75,0.611111111111111,0.5,0.3333333333333333,0.4,0.25819888974716115,8,1,2,1
12repeat,structural_XGB,0.962962962962963,0.9166666666666665,0.9166666666666666,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7745966692414834,9,0,1,2
12repeat,full_LR,0.7407407407407408,0.4444444444444445,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.5,0.29277002188455997,6,3,1,2
12repeat,full_RF,0.7037037037037037,0.41111111111111115,0.5833333333333334,0.3888888888888889,0.0,0.0,0.0,-0.25819888974716115,7,2,3,0
12repeat,full_XGB,0.9629629629629629,0.9166666666666665,0.9166666666666666,0.8333333333333333,1.0,0.6666666666666666,0.8,0.7745966692414834,9,0,1,2
12repeat,formula4_LR,0.8888888888888888,0.7555555555555555,0.75,0.8333333333333333,0.5,1.0,0.6666666666666666,0.5773502691896257,6,3,0,3
