construct,success,protein_length,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal12_high_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,rna01_cp_sum,rna01_cp_max,rna02_cp_sum,rna02_cp_max,rna03_cp_sum,rna03_cp_max,rna04_cp_sum,rna04_cp_max,rna05_cp_sum,rna05_cp_max,rna06_cp_sum,rna06_cp_max,rna07_cp_sum,rna07_cp_max,rna08_cp_sum,rna08_cp_max,rna09_cp_sum,rna09_cp_max,rna10_cp_sum,rna10_cp_max,rna11_cp_sum,rna11_cp_max,rna12_cp_sum,rna12_cp_max,rna13_cp_sum,rna13_cp_max,protein_bin01_pr_cp,protein_bin02_pr_cp,protein_bin03_pr_cp,protein_bin04_pr_cp,protein_bin05_pr_cp,protein_bin06_pr_cp,protein_bin07_pr_cp,protein_bin08_pr_cp,protein_bin09_pr_cp,protein_bin10_pr_cp,protein_bin11_pr_cp,protein_bin12_pr_cp,iptm,ptm,ranking_score,mean_plddt,interface_pae
puf12_r123_r5678_r56788,0,512.0,51.5625,3.966346153846154,0.992,0.8444230769230769,0.10250000000000001,0.7692307692307693,0.0732421875,3.653846153846154,2.379453125,2.33447265625,1.3109472656249999,1.27197265625,1.1263769531249999,1.08447265625,4.5625,0.99,6.3175,0.995,4.6025,0.9924999999999999,4.7375,1.0,4.2275,1.0,4.7250000000000005,0.99,4.3775,1.0,4.395,0.99,4.705,0.9800000000000001,5.6875,0.97,1.5275,0.4925,1.2225000000000001,0.475,0.47500000000000003,0.10250000000000001,0.0413953488372093,0.22808139534883723,0.09656976744186047,0.10726744186046511,0.10517441860465115,0.1161046511627907,0.20354651162790696,0.1263372093023256,0.12880952380952382,0.05,0.0,0.0,0.9255,0.8585,0.9325000000000001,90.28095860591021,6.772639723557692
puf12_r123_r5678_r5loop6788,0,519.0,51.1425,3.9340384615384614,0.99125,0.8426923076923077,0.1,0.8076923076923077,0.0674373795761079,3.5,2.374421965317919,2.2822736030828517,1.3060019267822736,1.2369942196531791,1.1270761078998075,1.060693641618497,4.54,0.99,6.215,0.99,4.5375,0.99,4.6125,1.0,4.1875,0.995,4.695,0.99,4.370000000000001,1.0,4.3425,0.99,4.715,0.9800000000000001,5.699999999999999,0.97,1.5625,0.5025000000000001,1.1975000000000002,0.4575000000000001,0.4675000000000001,0.1,0.04125,0.22267045454545456,0.09414772727272726,0.10604651162790697,0.10430232558139535,0.15848837209302324,0.155,0.12540697674418605,0.12424418604651162,0.04947674418604651,0.0,0.0,0.9235,0.8455,0.9275,88.8251804192685,7.529891062694531
puf12_r123_r567_r567_r678,1,512.0,50.756,3.9043076923076923,0.9931999999999999,0.842,0.09,0.7846153846153847,0.071875,3.6153846153846154,2.42190234375,2.387109375,1.3530781250000001,1.324609375,1.15512109375,1.12421875,4.486,0.99,5.8740000000000006,1.0,4.75,1.0,4.396,1.0,4.254,1.0,4.732,0.99,4.386,0.998,4.38,0.99,4.6819999999999995,0.9800000000000001,5.692,0.97,1.52,0.49399999999999994,1.1780000000000002,0.44400000000000006,0.42600000000000005,0.09,0.0413953488372093,0.2253488372093023,0.0966046511627907,0.10711627906976744,0.10632558139534883,0.11111627906976747,0.20339534883720928,0.11800000000000002,0.12576190476190477,0.04938095238095237,0.0,0.0,0.9264000000000001,0.8615999999999999,0.932,91.07975028172189,6.401526442307693
puf12_r123_r567_r5loop67_loopr678,1,526.0,43.795,3.368846153846154,0.9434999999999998,0.7325,0.14,0.7115384615384616,0.054657794676806086,2.8653846153846154,2.4395532319391635,2.3797528517110265,1.3506226235741443,1.3179657794676807,1.1615684410646387,1.125,3.0475000000000003,0.6125,4.7425,0.9225,4.4975,0.955,4.4825,0.95,3.9775,0.9575,4.4624999999999995,0.9550000000000001,4.435,0.9725,3.4375,0.9025000000000001,3.3125,0.7375,2.8949999999999996,0.6000000000000001,1.6775,0.39999999999999997,1.895,0.4175,0.9325,0.14,0.012045454545454545,0.07937500000000001,0.08051136363636363,0.10130681818181818,0.09784090909090909,0.1909659090909091,0.10539772727272727,0.08806818181818182,0.09857954545454545,0.05863636363636364,0.045000000000000005,0.03953488372093023,0.89,0.8325,0.8985000000000001,88.69325534258647,7.687793214390172
puf12_r123_r567_r5loop67_r678,0,519.0,50.88,3.913846153846154,0.9925,0.8398076923076923,0.095,0.7692307692307693,0.07129094412331406,3.6153846153846154,2.4366570327552988,2.353082851637765,1.3598554913294798,1.3073217726396917,1.1597976878612717,1.107418111753372,4.54,0.99,5.925000000000001,1.0,4.7,1.0,4.4725,1.0,4.195,0.9924999999999999,4.734999999999999,0.99,4.4225,0.9975,4.390000000000001,0.99,4.68,0.9800000000000001,5.7124999999999995,0.97,1.49,0.46499999999999997,1.1825,0.4475,0.43500000000000005,0.095,0.04170454545454546,0.21892045454545453,0.0946590909090909,0.10796511627906977,0.10651162790697674,0.15598837209302327,0.11069767441860465,0.16482558139534884,0.12517441860465117,0.04854651162790698,0.0,0.0,0.925,0.855,0.93,90.19510906862746,6.927161701496962
puf12_r123_r567_r6loopr7_r5678,0,519.0,50.94,3.918461538461539,0.9931666666666666,0.841025641025641,0.09000000000000001,0.7692307692307693,0.07000642260757867,3.641025641025641,2.42310854206808,2.359023763648041,1.3403211303789337,1.2999357739242132,1.1492164418754014,1.1059730250481696,4.43,0.9966666666666667,5.8933333333333335,1.0,4.746666666666666,1.0,4.853333333333333,1.0,4.1866666666666665,0.9899999999999999,4.646666666666667,0.9899999999999999,4.3533333333333335,1.0,4.376666666666666,0.9899999999999999,4.6933333333333325,0.9800000000000001,5.723333333333333,0.9700000000000001,1.4733333333333334,0.47666666666666674,1.1500000000000001,0.45,0.4133333333333334,0.09000000000000001,0.04022727272727273,0.21962121212121213,0.0940151515151515,0.10627906976744188,0.10519379844961241,0.16449612403100775,0.09992248062015503,0.1764341085271318,0.12124031007751938,0.0489922480620155,0.0,0.0,0.9293333333333335,0.8673333333333333,0.9359999999999999,90.5417069221628,6.457702682673781
puf12_r123_r567_r6loopr7_r5loop678,0,526.0,51.142500000000005,3.934038461538462,0.992875,0.8417307692307694,0.0975,0.7692307692307693,0.07034220532319392,3.6153846153846154,2.4144011406844106,2.281844106463878,1.3336359315589355,1.2480988593155895,1.1429610266159695,1.064638783269962,4.575,0.99,5.7475,0.9975,4.6375,1.0,4.845,1.0,4.1925,0.99,4.745,0.9924999999999999,4.375,1.0,4.3725,0.99,4.75,0.9800000000000001,5.722499999999999,0.97,1.5275,0.475,1.2025000000000001,0.4600000000000001,0.45000000000000007,0.0975,0.041420454545454545,0.22267045454545456,0.09426136363636363,0.10431818181818181,0.10426136363636364,0.20636363636363636,0.09784090909090909,0.12437499999999999,0.11897727272727272,0.04784090909090909,0.0,0.0,0.927,0.8475,0.929,88.45481813174707,7.562213366481427
puf12_r123_r567_r6r7_r5678,1,512.0,51.105,3.931153846153846,0.99275,0.8434615384615384,0.1,0.7884615384615385,0.0703125,3.6346153846153846,2.4138330078125003,2.38232421875,1.342021484375,1.31689453125,1.1465625,1.12060546875,4.45,0.99,5.9175,1.0,4.744999999999999,1.0,4.795,1.0,4.1899999999999995,0.99,4.6274999999999995,0.99,4.3825,1.0,4.42,0.99,4.717499999999999,0.9800000000000001,5.7225,0.97,1.4975,0.495,1.185,0.46,0.45500000000000007,0.1,0.041046511627906984,0.22726744186046513,0.09709302325581395,0.10761627906976744,0.10517441860465115,0.11767441860465117,0.19098837209302327,0.13017441860465118,0.1255952380952381,0.04994047619047619,0.0,0.0,0.926,0.8634999999999999,0.9325,91.15304417399145,6.273963341346153
puf_11_loopr8,0,483.0,51.08,3.9292307692307693,0.9926249999999999,0.8400000000000001,0.08499999999999999,0.8269230769230769,0.07763975155279504,3.730769230769231,2.3877432712215323,2.3338509316770186,1.2992960662525879,1.2608695652173914,1.1186387163561076,1.0781573498964803,4.6450000000000005,0.99,5.9175,1.0,4.734999999999999,1.0,4.6075,0.9975,4.220000000000001,0.9975,4.6925,0.99,4.3575,0.9975,4.37,0.99,4.7425,0.9775,5.72,0.97,1.5375,0.505,1.125,0.42000000000000004,0.41000000000000003,0.08499999999999999,0.0026219512195121953,0.2745731707317073,0.10451219512195123,0.1146875,0.1128125,0.109,0.115875,0.11606249999999999,0.12937500000000002,0.13525,0.0526875,0.0,0.9185000000000001,0.8614999999999999,0.9265000000000001,90.31487931856088,6.634781812390509
puf_11_r8,0,476.0,51.0625,3.9278846153846154,0.9924999999999999,0.8394230769230769,0.08,0.8461538461538461,0.07773109243697479,3.769230769230769,2.371906512605042,2.3219537815126055,1.2988707983193277,1.259453781512605,1.1095063025210083,1.0682773109243697,4.7075,0.99,5.885,1.0,4.745,1.0,4.63,0.9975,4.237500000000001,0.9975,4.6125,0.99,4.369999999999999,0.995,4.37,0.99,4.73,0.9775,5.71,0.97,1.5975000000000001,0.53,1.08,0.395,0.3875,0.08,0.0026875000000000002,0.2036875,0.1835625,0.11556250000000001,0.1115,0.10875,0.1164375,0.1161875,0.1326923076923077,0.13948717948717948,0.05416666666666667,0.0,0.9175,0.862,0.9275000000000001,90.4209497105644,6.57662491919845
