family,threshold_pp,stage,representation,model,n,weighted_n,accuracy,balanced_accuracy,macro_F1,MCC,n_classes_observed,precision_decrease,recall_decrease,F1_decrease,support_decrease,ROC_AUC_decrease,AP_decrease,precision_unchanged,recall_unchanged,F1_unchanged,support_unchanged,ROC_AUC_unchanged,AP_unchanged,specificity,false_negative_rate,ROC_AUC,AP,cm_0_0,cm_0_1,cm_1_0,cm_1_1
all_PR,-2.5,screen,full_PR|raw|all|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.8421052631578947,0.5279503105590062,0.5279503105590062,0.055900621118012424,2,0.9130434782608695,0.9130434782608695,0.9130434782608695,69.0,0.6045548654244306,0.9433812753071376,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,0.6045548654244306,0.1515075426365749,0.14285714285714285,0.08695652173913049,0.6045548654244306,0.9433812753071376,63.0,6.0,6.0,1.0
high_variance_PR,-2.5,screen,full_PR|raw|25|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6447368421052632,0.5476190476190476,0.4774637127578304,0.058051385598996426,2,0.92,0.6666666666666666,0.773109243697479,69.0,0.5403726708074534,0.9289601936083688,0.11538461538461539,0.42857142857142855,0.18181818181818182,7.0,0.5403726708074534,0.11714863460037069,0.42857142857142855,0.33333333333333337,0.5403726708074534,0.9289601936083688,46.0,23.0,4.0,3.0
high_variance_PR,-2.5,screen,full_PR|raw|100|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.7236842105263158,0.5910973084886129,0.5271111111111111,0.1196465266270813,2,0.9285714285714286,0.7536231884057971,0.832,69.0,0.6501035196687371,0.9523780340765742,0.15,0.42857142857142855,0.2222222222222222,7.0,0.650103519668737,0.27701559911614665,0.42857142857142855,0.24637681159420288,0.6501035196687371,0.9523780340765742,52.0,17.0,4.0,3.0
high_variance_PR,-2.5,screen,full_PR|raw|250|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.7763157894736842,0.5559006211180124,0.5303525990548892,0.08339890179813633,2,0.9193548387096774,0.8260869565217391,0.8702290076335878,69.0,0.7184265010351967,0.964580869243628,0.14285714285714285,0.2857142857142857,0.19047619047619047,7.0,0.7184265010351967,0.22670910706624992,0.2857142857142857,0.17391304347826086,0.7184265010351967,0.964580869243628,57.0,12.0,5.0,2.0
high_variance_PR,-2.5,screen,full_PR|raw|1000|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.8421052631578947,0.5279503105590062,0.5279503105590062,0.055900621118012424,2,0.9130434782608695,0.9130434782608695,0.9130434782608695,69.0,0.6045548654244306,0.9433812753071376,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,0.6045548654244306,0.1515075426365749,0.14285714285714285,0.08695652173913049,0.6045548654244306,0.9433812753071376,63.0,6.0,6.0,1.0
all_PR,-2.5,screen,full_PR|delta|all|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.8421052631578947,0.5279503105590062,0.5279503105590062,0.055900621118012424,2,0.9130434782608695,0.9130434782608695,0.9130434782608695,69.0,0.6045548654244306,0.9433812753071376,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,0.6045548654244306,0.1515075426365749,0.14285714285714285,0.08695652173913049,0.6045548654244306,0.9433812753071376,63.0,6.0,6.0,1.0
high_variance_PR,-2.5,screen,full_PR|delta|25|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6447368421052632,0.5476190476190476,0.4774637127578304,0.058051385598996426,2,0.92,0.6666666666666666,0.773109243697479,69.0,0.5403726708074534,0.9289601936083688,0.11538461538461539,0.42857142857142855,0.18181818181818182,7.0,0.5403726708074534,0.11714863460037069,0.42857142857142855,0.33333333333333337,0.5403726708074534,0.9289601936083688,46.0,23.0,4.0,3.0
high_variance_PR,-2.5,screen,full_PR|delta|100|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.7236842105263158,0.5910973084886129,0.5271111111111111,0.1196465266270813,2,0.9285714285714286,0.7536231884057971,0.832,69.0,0.6501035196687371,0.9523780340765742,0.15,0.42857142857142855,0.2222222222222222,7.0,0.650103519668737,0.27701559911614665,0.42857142857142855,0.24637681159420288,0.6501035196687371,0.9523780340765742,52.0,17.0,4.0,3.0
high_variance_PR,-2.5,screen,full_PR|delta|250|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.7763157894736842,0.5559006211180124,0.5303525990548892,0.08339890179813633,2,0.9193548387096774,0.8260869565217391,0.8702290076335878,69.0,0.7184265010351967,0.964580869243628,0.14285714285714285,0.2857142857142857,0.19047619047619047,7.0,0.7184265010351967,0.22670910706624992,0.2857142857142857,0.17391304347826086,0.7184265010351967,0.964580869243628,57.0,12.0,5.0,2.0
high_variance_PR,-2.5,screen,full_PR|delta|1000|0|variance|0|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.8421052631578947,0.5279503105590062,0.5279503105590062,0.055900621118012424,2,0.9130434782608695,0.9130434782608695,0.9130434782608695,69.0,0.6045548654244306,0.9433812753071376,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0,0.6045548654244306,0.1515075426365749,0.14285714285714285,0.08695652173913049,0.6045548654244306,0.9433812753071376,63.0,6.0,6.0,1.0
