Completed 1/76 folds; elapsed 2.4s
Completed 2/76 folds; elapsed 4.9s
Completed 3/76 folds; elapsed 7.4s
Completed 4/76 folds; elapsed 9.8s
Completed 5/76 folds; elapsed 12.3s
Completed 6/76 folds; elapsed 14.7s
Completed 7/76 folds; elapsed 17.2s
Completed 8/76 folds; elapsed 19.8s
Completed 9/76 folds; elapsed 22.4s
Completed 10/76 folds; elapsed 25.4s
Completed 11/76 folds; elapsed 28.1s
Completed 12/76 folds; elapsed 30.8s
Completed 13/76 folds; elapsed 33.4s
Completed 14/76 folds; elapsed 36.0s
Completed 15/76 folds; elapsed 38.6s
Completed 16/76 folds; elapsed 41.1s
Completed 17/76 folds; elapsed 43.6s
Completed 18/76 folds; elapsed 46.2s
Completed 19/76 folds; elapsed 48.7s
Completed 20/76 folds; elapsed 51.3s
Completed 21/76 folds; elapsed 53.8s
Completed 22/76 folds; elapsed 56.4s
Completed 23/76 folds; elapsed 58.9s
Completed 24/76 folds; elapsed 61.5s
Completed 25/76 folds; elapsed 64.0s
Completed 26/76 folds; elapsed 66.8s
Completed 27/76 folds; elapsed 69.7s
Completed 28/76 folds; elapsed 72.6s
Completed 29/76 folds; elapsed 75.4s
Completed 30/76 folds; elapsed 78.5s
Completed 31/76 folds; elapsed 81.3s
Completed 32/76 folds; elapsed 84.1s
Completed 33/76 folds; elapsed 86.8s
Completed 34/76 folds; elapsed 89.5s
Completed 35/76 folds; elapsed 92.2s
Completed 36/76 folds; elapsed 94.8s
Completed 37/76 folds; elapsed 97.6s
Completed 38/76 folds; elapsed 100.4s
Completed 39/76 folds; elapsed 103.3s
Completed 40/76 folds; elapsed 106.0s
Completed 41/76 folds; elapsed 109.0s
Completed 42/76 folds; elapsed 111.8s
Completed 43/76 folds; elapsed 114.8s
Completed 44/76 folds; elapsed 117.5s
Completed 45/76 folds; elapsed 120.2s
Completed 46/76 folds; elapsed 123.0s
Completed 47/76 folds; elapsed 125.6s
Completed 48/76 folds; elapsed 128.3s
Completed 49/76 folds; elapsed 131.0s
Completed 50/76 folds; elapsed 133.7s
Completed 51/76 folds; elapsed 136.4s
Completed 52/76 folds; elapsed 139.1s
Completed 53/76 folds; elapsed 141.7s
Completed 54/76 folds; elapsed 144.4s
Completed 55/76 folds; elapsed 147.0s
Completed 56/76 folds; elapsed 149.7s
Completed 57/76 folds; elapsed 152.4s
Completed 58/76 folds; elapsed 155.0s
Completed 59/76 folds; elapsed 157.7s
Completed 60/76 folds; elapsed 160.3s
Completed 61/76 folds; elapsed 163.0s
Completed 62/76 folds; elapsed 165.7s
Completed 63/76 folds; elapsed 168.4s
Completed 64/76 folds; elapsed 171.0s
Completed 65/76 folds; elapsed 173.7s
Completed 66/76 folds; elapsed 176.4s
Completed 67/76 folds; elapsed 179.0s
Completed 68/76 folds; elapsed 181.7s
Completed 69/76 folds; elapsed 184.5s
Completed 70/76 folds; elapsed 187.1s
Completed 71/76 folds; elapsed 189.8s
Completed 72/76 folds; elapsed 192.5s
Completed 73/76 folds; elapsed 195.1s
Completed 74/76 folds; elapsed 197.8s
Completed 75/76 folds; elapsed 200.5s
Completed 76/76 folds; elapsed 203.3s
[{"version": "matched_RNA_protein_interface", "n": 76, "correct": 42, "accuracy": 0.5526315789473685, "balanced_accuracy": 0.5342261904761905, "macro_F1": 0.5318840579710145, "MCC": 0.06687855262239009, "confusion_matrix": [[29, 19], [15, 13]]}, {"version": "matched_all_PR", "n": 76, "correct": 52, "accuracy": 0.6842105263157895, "balanced_accuracy": 0.6755952380952381, "macro_F1": 0.6695652173913043, "MCC": 0.3431160525844361, "confusion_matrix": [[34, 14], [10, 18]]}, {"version": "matched_high_variance_PR", "n": 76, "correct": 49, "accuracy": 0.6447368421052632, "balanced_accuracy": 0.6369047619047619, "macro_F1": 0.6303368762385155, "MCC": 0.2664753164270722, "confusion_matrix": [[32, 16], [11, 17]]}, {"version": "primary", "n": 76, "correct": 48, "accuracy": 0.631578947368421, "balanced_accuracy": 0.6041666666666667, "macro_F1": 0.6041666666666667, "MCC": 0.20833333333333334, "confusion_matrix": [[34, 14], [14, 14]]}, {"version": "matched_majority", "n": 76, "correct": 50, "accuracy": 0.6578947368421053, "balanced_accuracy": 0.6175595238095238, "macro_F1": 0.62, "MCC": 0.24399456673427916, "confusion_matrix": [[37, 11], [15, 13]]}]
