validation,mutation_group,n,n_class0,n_class1,majority_class_accuracy,accuracy,balanced_accuracy,sensitivity,specificity,AUC,MCC,precision,F1,TP,TN,FP,FN
LOOCV,P4,2,0,2,1.0,1.0,,1.0,,,0.0,1.0,1.0,2,0,0,0
LOOCV,P4+P7,4,1,3,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,0,0
LOOCV,P5,9,5,4,0.5555555555555556,0.6666666666666666,0.65,0.5,0.8,0.5,0.31622776601683794,0.6666666666666666,0.5714285714285714,2,4,1,2
LOOCV,P6,5,0,5,1.0,1.0,,1.0,,,0.0,1.0,1.0,5,0,0,0
LOOCV,P7,1,0,1,1.0,1.0,,1.0,,,0.0,1.0,1.0,1,0,0,0
LOOCV,P8,1,0,1,1.0,1.0,,1.0,,,0.0,1.0,1.0,1,0,0,0
mutation_group_out,P4,2,0,2,1.0,1.0,,1.0,,,0.0,1.0,1.0,2,0,0,0
mutation_group_out,P4+P7,4,1,3,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1,0,0
mutation_group_out,P5,9,5,4,0.5555555555555556,0.7777777777777778,0.75,0.5,1.0,0.75,0.5976143046671968,1.0,0.6666666666666666,2,5,0,2
mutation_group_out,P6,5,0,5,1.0,1.0,,1.0,,,0.0,1.0,1.0,5,0,0,0
mutation_group_out,P7,1,0,1,1.0,1.0,,1.0,,,0.0,1.0,1.0,1,0,0,0
mutation_group_out,P8,1,0,1,1.0,1.0,,1.0,,,0.0,1.0,1.0,1,0,0,0
