C388_threshold,equivalent_cutoff_lower_exclusive,equivalent_cutoff_upper_inclusive,n_work,n_nonwork,model,validation,objective,AUC,majority_accuracy,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
0.05,0.0,0.0866649999999999,29,2,CP3_LR,LOCO,accuracy,0.8448275862068966,0.9354838709677419,0.0,0.9354838709677419,0.5,29.0,0.0,2.0,0.0,0.5
0.05,0.0,0.0866649999999999,29,2,CP3_LR,LOCO,balanced_accuracy,0.8448275862068966,0.9354838709677419,0.4180278366646804,0.8387096774193549,0.9137931034482758,24.0,2.0,0.0,5.0,0.08197216333531959
0.05,0.0,0.0866649999999999,29,2,CP3_LR,mutation_group_out,accuracy,0.8620689655172413,0.9354838709677419,0.0,0.9354838709677419,0.5,29.0,0.0,2.0,0.0,0.5
0.05,0.0,0.0866649999999999,29,2,CP3_LR,mutation_group_out,balanced_accuracy,0.8620689655172413,0.9354838709677419,0.41917651565932434,0.8709677419354839,0.9310344827586207,25.0,2.0,0.0,4.0,0.08082348434067566
0.05,0.0,0.0866649999999999,29,2,CP_Structure9_LR,LOCO,accuracy,0.7931034482758621,0.9354838709677419,0.23510148674100095,0.9354838709677419,0.7327586206896552,28.0,1.0,1.0,1.0,0.26489851325899905
0.05,0.0,0.0866649999999999,29,2,CP_Structure9_LR,LOCO,balanced_accuracy,0.7931034482758621,0.9354838709677419,0.516767841186689,0.6451612903225806,0.8103448275862069,18.0,2.0,0.0,11.0,0.016767841186688948
0.05,0.0,0.0866649999999999,29,2,CP_Structure9_LR,mutation_group_out,accuracy,0.7413793103448276,0.9354838709677419,0.2299168764941596,0.9354838709677419,0.7327586206896552,28.0,1.0,1.0,1.0,0.2700831235058404
0.05,0.0,0.0866649999999999,29,2,CP_Structure9_LR,mutation_group_out,balanced_accuracy,0.7413793103448276,0.9354838709677419,0.5423359579289512,0.5483870967741935,0.7586206896551724,15.0,2.0,0.0,14.0,0.04233595792895117
0.05,0.0,0.0866649999999999,29,2,CP3_RF,LOCO,accuracy,0.7931034482758621,0.9354838709677419,0.0,0.9354838709677419,0.5,29.0,0.0,2.0,0.0,0.5
0.05,0.0,0.0866649999999999,29,2,CP3_RF,LOCO,balanced_accuracy,0.7931034482758621,0.9354838709677419,0.8631934491934323,0.7741935483870968,0.8793103448275862,22.0,2.0,0.0,7.0,0.3631934491934323
0.05,0.0,0.0866649999999999,29,2,CP3_RF,mutation_group_out,accuracy,0.7931034482758621,0.9354838709677419,0.0,0.9354838709677419,0.5,29.0,0.0,2.0,0.0,0.5
0.05,0.0,0.0866649999999999,29,2,CP3_RF,mutation_group_out,balanced_accuracy,0.7931034482758621,0.9354838709677419,0.9070530313555842,0.7096774193548387,0.8448275862068966,20.0,2.0,0.0,9.0,0.40705303135558424
