model,heldout,feature,importance
CP_density3_RF,puf12_r123_r5678_r56788,pp_nonlocal4_high_per_res,0.36464710480789536
CP_density3_RF,puf12_r123_r5678_r56788,pp_nonlocal12_high_per_res,0.3548532342799774
CP_density3_RF,puf12_r123_r5678_r56788,pp_nonlocal24_high_per_res,0.28049966091212736
CP_density3_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal4_high_per_res,0.36464710480789536
CP_density3_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal12_high_per_res,0.3548532342799774
CP_density3_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal24_high_per_res,0.28049966091212736
CP_density3_RF,puf12_r123_r567_r567_r678,pp_nonlocal4_high_per_res,0.3652270927259964
CP_density3_RF,puf12_r123_r567_r567_r678,pp_nonlocal12_high_per_res,0.35781997391439413
CP_density3_RF,puf12_r123_r567_r567_r678,pp_nonlocal24_high_per_res,0.2769529333596095
CP_density3_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal4_high_per_res,0.3597130943260612
CP_density3_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal12_high_per_res,0.3632135285733982
CP_density3_RF,puf12_r123_r567_r5loop67_loopr678,pp_nonlocal24_high_per_res,0.27707337710054053
CP_density3_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal4_high_per_res,0.3559365516514602
CP_density3_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal12_high_per_res,0.3589110139255098
CP_density3_RF,puf12_r123_r567_r5loop67_r678,pp_nonlocal24_high_per_res,0.28515243442303
CP_density3_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal4_high_per_res,0.3559365516514602
CP_density3_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal12_high_per_res,0.3589110139255098
CP_density3_RF,puf12_r123_r567_r6loopr7_r5678,pp_nonlocal24_high_per_res,0.28515243442303
CP_density3_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal4_high_per_res,0.3559365516514602
CP_density3_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal12_high_per_res,0.3589110139255098
CP_density3_RF,puf12_r123_r567_r6loopr7_r5loop678,pp_nonlocal24_high_per_res,0.28515243442303
CP_density3_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal4_high_per_res,0.3574670042272998
CP_density3_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal12_high_per_res,0.35205379516983115
CP_density3_RF,puf12_r123_r567_r6r7_r5678,pp_nonlocal24_high_per_res,0.290479200602869
CP_density3_RF,puf_12_loopr4loopr4,pp_nonlocal4_high_per_res,0.3613357962952401
CP_density3_RF,puf_12_loopr4loopr4,pp_nonlocal12_high_per_res,0.35258232455551614
CP_density3_RF,puf_12_loopr4loopr4,pp_nonlocal24_high_per_res,0.2860818791492439
CP_density3_RF,puf_12_loopr4r4,pp_nonlocal4_high_per_res,0.3613357962952401
CP_density3_RF,puf_12_loopr4r4,pp_nonlocal12_high_per_res,0.35258232455551614
CP_density3_RF,puf_12_loopr4r4,pp_nonlocal24_high_per_res,0.2860818791492439
CP_density3_RF,puf_12_r4loopr4,pp_nonlocal4_high_per_res,0.3613357962952401
CP_density3_RF,puf_12_r4loopr4,pp_nonlocal12_high_per_res,0.35258232455551614
CP_density3_RF,puf_12_r4loopr4,pp_nonlocal24_high_per_res,0.2860818791492439
CP_density3_RF,puf_12_r4r4,pp_nonlocal4_high_per_res,0.3613357962952401
CP_density3_RF,puf_12_r4r4,pp_nonlocal12_high_per_res,0.35258232455551614
CP_density3_RF,puf_12_r4r4,pp_nonlocal24_high_per_res,0.2860818791492439
CP_density3_RF,1_130_r123_r567_r567_r67_no_loop_8,pp_nonlocal4_high_per_res,0.36171868858016326
CP_density3_RF,1_130_r123_r567_r567_r67_no_loop_8,pp_nonlocal12_high_per_res,0.35493136058721503
CP_density3_RF,1_130_r123_r567_r567_r67_no_loop_8,pp_nonlocal24_high_per_res,0.2833499508326217
CP_density3_RF,2_130_r123_r567_r5loop67_r678,pp_nonlocal4_high_per_res,0.35958836871530764
CP_density3_RF,2_130_r123_r567_r5loop67_r678,pp_nonlocal12_high_per_res,0.3520095299739609
CP_density3_RF,2_130_r123_r567_r5loop67_r678,pp_nonlocal24_high_per_res,0.28840210131073146
CP_density3_RF,3_130_r123_r567_r56loop7_r678,pp_nonlocal4_high_per_res,0.35958836871530764
CP_density3_RF,3_130_r123_r567_r56loop7_r678,pp_nonlocal12_high_per_res,0.3520095299739609
CP_density3_RF,3_130_r123_r567_r56loop7_r678,pp_nonlocal24_high_per_res,0.28840210131073146
CP_density3_RF,4_130_r123_r567_r567_rloop678,pp_nonlocal4_high_per_res,0.35769683713954614
CP_density3_RF,4_130_r123_r567_r567_rloop678,pp_nonlocal12_high_per_res,0.35111222357207333
