validation,model,AUC,AP,accuracy,balanced_accuracy,precision,recall,F1,TN,FP,FN,TP
combined_LOCO,CP_density3_LR,0.9125,0.5845238095238094,0.625,0.775,0.3076923076923077,1.0,0.47058823529411764,11,9,0,4
previous12_to_new12,CP_density3_LR,1.0,1.0,0.3333333333333333,0.6363636363636364,0.1111111111111111,1.0,0.2,3,8,0,1
combined_LOCO,CP_density3_RF,0.9125,0.5845238095238094,0.875,0.825,0.6,0.75,0.6666666666666666,18,2,1,3
previous12_to_new12,CP_density3_RF,0.9090909090909092,0.3333333333333333,0.6666666666666666,0.8181818181818181,0.2,1.0,0.3333333333333333,7,4,0,1
combined_LOCO,CP_density3_XGB,0.9,0.6011904761904762,0.7916666666666666,0.675,0.4,0.5,0.4444444444444444,17,3,2,2
previous12_to_new12,CP_density3_XGB,0.7727272727272727,0.25,0.75,0.4090909090909091,0.0,0.0,0.0,9,2,1,0
combined_LOCO,CP_density3_Stump,0.74375,0.4166666666666667,0.8333333333333334,0.8,0.5,0.75,0.6,17,3,1,3
previous12_to_new12,CP_density3_Stump,0.8181818181818181,0.2,0.6666666666666666,0.8181818181818181,0.2,1.0,0.3333333333333333,7,4,0,1
combined_LOCO,CP_summary14_LR,0.825,0.4131944444444444,0.625,0.775,0.3076923076923077,1.0,0.47058823529411764,11,9,0,4
previous12_to_new12,CP_summary14_LR,0.9090909090909091,0.5,0.4166666666666667,0.6818181818181819,0.125,1.0,0.2222222222222222,4,7,0,1
combined_LOCO,CP_summary14_RF,0.8500000000000001,0.4444444444444444,0.8333333333333334,0.7,0.5,0.5,0.5,18,2,2,2
previous12_to_new12,CP_summary14_RF,1.0,1.0,0.6666666666666666,0.8181818181818181,0.2,1.0,0.3333333333333333,7,4,0,1
combined_LOCO,CP_summary14_XGB,0.8875000000000001,0.5178571428571428,0.7916666666666666,0.675,0.4,0.5,0.4444444444444444,17,3,2,2
previous12_to_new12,CP_summary14_XGB,0.7727272727272727,0.25,0.75,0.4090909090909091,0.0,0.0,0.0,9,2,1,0
combined_LOCO,CP_structure17_LR,0.8250000000000002,0.5769230769230769,0.625,0.675,0.2727272727272727,0.75,0.4,12,8,1,3
previous12_to_new12,CP_structure17_LR,1.0,1.0,0.4166666666666667,0.6818181818181819,0.125,1.0,0.2222222222222222,4,7,0,1
combined_LOCO,CP_structure17_RF,0.9249999999999999,0.7678571428571428,0.8333333333333334,0.7,0.5,0.5,0.5,18,2,2,2
previous12_to_new12,CP_structure17_RF,1.0,1.0,0.6666666666666666,0.8181818181818181,0.2,1.0,0.3333333333333333,7,4,0,1
combined_LOCO,CP_structure17_XGB,0.8375,0.44325396825396823,0.75,0.55,0.25,0.25,0.25,17,3,3,1
previous12_to_new12,CP_structure17_XGB,0.7727272727272727,0.25,0.75,0.4090909090909091,0.0,0.0,0.0,9,2,1,0
