P,model,n_residues,WT_retention,TRM_WT_retention,n_generated
1,proteinmpnn,36,0.48678333333333335,0.24896666666666667,10000
1,ligandmpnn,36,0.5419222222222222,0.3508,10000
2,proteinmpnn,36,0.37299166666666667,0.1368,10000
2,ligandmpnn,36,0.42127777777777775,0.16836666666666666,10000
3,proteinmpnn,36,0.3892361111111111,0.1913,10000
3,ligandmpnn,36,0.4669111111111111,0.6299666666666667,10000
4,proteinmpnn,36,0.3688444444444444,0.11613333333333334,10000
4,ligandmpnn,36,0.4368472222222222,0.23563333333333333,10000
5,proteinmpnn,36,0.3916722222222222,0.14663333333333334,10000
5,ligandmpnn,36,0.45664444444444446,0.0665,10000
6,proteinmpnn,36,0.32319444444444445,0.201,10000
6,ligandmpnn,36,0.4376361111111111,0.6463,10000
7,proteinmpnn,36,0.35584166666666667,0.16196666666666668,10000
7,ligandmpnn,36,0.4588638888888889,0.2781666666666667,10000
8,proteinmpnn,36,0.38831944444444444,0.1342,10000
8,ligandmpnn,36,0.46486666666666665,0.4429,10000
9,proteinmpnn,36,0.4464694444444444,0.4378,10000
9,ligandmpnn,36,0.5672583333333333,0.9036,10000
10,proteinmpnn,36,0.4525166666666667,0.19503333333333334,10000
10,ligandmpnn,36,0.5021083333333334,0.7112666666666667,10000
11,proteinmpnn,36,0.3676333333333333,0.24243333333333333,10000
11,ligandmpnn,36,0.4599722222222222,0.2035,10000
12,proteinmpnn,36,0.32926666666666665,0.046966666666666664,10000
12,ligandmpnn,36,0.3760861111111111,0.2365,10000
