id,construct,true_work
1,puf12_r123_r5678_r56788,0
2,puf12_r123_r5678_r5loop6788,0
3,puf12_r123_r567_r567_r678,1
4,puf12_r123_r567_r5loop67_loopr678,1
5,puf12_r123_r567_r5loop67_r678,0
6,puf12_r123_r567_r6loopr7_r5678,0
7,puf12_r123_r567_r6loopr7_r5loop678,0
8,puf12_r123_r567_r6r7_r5678,1
9,puf_12_loopr4loopr4,0
10,puf_12_loopr4r4,0
11,puf_12_r4loopr4,0
12,puf_12_r4r4,0
13,puf_11_loopr8,0
14,puf_11_r8,0
15,12_130_r123456654loop328,0
16,13_130_r12345665432loop8,0
17,14_130_r123456734loop568,0
18,15_130_r12345673456loop8,0
19,16_130_r12365673156loop8,0
20,1_130_r123_r567_r567_r67_no_loop_8,1
21,2_130_r123_r567_r5loop67_r678,0
22,3_130_r123_r567_r56loop7_r678,0
23,4_130_r123_r567_r567_rloop678,0
24,5_130_r123_r567_r567_r6loop78,0
25,7_130_r123_r567_r567_rloop67loop8,0
26,8_130_r123_r567_r567_r6loop7loop8,0
