task,cohort,validation,version,planned_weight,valid_weight,coverage,accuracy,balanced_accuracy,macro_F1,MCC,ROC_AUC,AP,recall_decrease,recall_not_decrease,recall_increase
C295,PP_complete,LOCO,primary,51.0,51.0,1.0,0.7058823529411765,0.6361111111111111,0.6386395843174303,0.2779428938689605,0.6314814814814815,0.43225478225478225,0.4666666666666667,0.8055555555555556,
C295,PP_complete,LOCO,matched_Dummy,51.0,51.0,1.0,0.5686274509803921,0.4027777777777778,0.3625,-0.25746432527221863,0.4027777777777778,0.29411764705882354,0.0,0.8055555555555556,
C295,PP_complete,LORPO,primary,51.0,51.0,1.0,0.6666666666666666,0.5196428571428571,0.49029982363315694,0.06130060338328881,0.17142857142857143,0.22155749839966365,0.125,0.9142857142857143,
C295,PP_complete,LORPO,matched_Dummy,51.0,51.0,1.0,0.6666666666666666,0.5196428571428571,0.49029982363315694,0.06130060338328881,0.5196428571428571,0.32450980392156864,0.125,0.9142857142857143,
C295,combined_PR,LOCO,primary,81.0,81.0,1.0,0.7037037037037037,0.7027777777777777,0.7014742014742015,0.4038144319749311,0.7833333333333334,0.8043212182054785,0.6944444444444444,0.7111111111111111,
C295,combined_PR,LOCO,matched_Dummy,81.0,81.0,1.0,0.5185185185185185,0.5194444444444444,0.5173414820473644,0.03865103412619629,0.5194444444444444,0.45445648900933455,0.5277777777777778,0.5111111111111111,
C295,combined_PR,LORPO,primary,81.0,81.0,1.0,0.5679012345679012,0.540719696969697,0.5398474273656874,0.0841385786459729,0.5222537878787878,0.5417062836780703,0.3939393939393939,0.6875,
C295,combined_PR,LORPO,matched_Dummy,81.0,81.0,1.0,0.43209876543209874,0.41666666666666663,0.41708385481852317,-0.16531543347970826,0.41666666666666663,0.37636684303350976,0.3333333333333333,0.5,
C388,PP_complete,LOCO,primary,58.0,0.0,0.0,,,,,,,,,
C388,PP_complete,LOCO,matched_Dummy,58.0,0.0,0.0,,,,,,,,,
C388,PP_complete,LORPO,primary,58.0,0.0,0.0,,,,,,,,,
C388,PP_complete,LORPO,matched_Dummy,58.0,0.0,0.0,,,,,,,,,
C388,combined_PR,LOCO,primary,81.0,81.0,1.0,0.4444444444444444,0.43344947735191636,0.4068283668283668,0.03141961562649308,,,0.4146341463414634,,0.4
C388,combined_PR,LOCO,matched_Dummy,81.0,81.0,1.0,0.5679012345679012,0.3990708478513357,0.38620841595065,0.1778162361096206,,,0.6829268292682927,,0.0
C388,combined_PR,LORPO,primary,81.0,77.0,0.9506172839506173,0.2012987012987013,0.14504652435686918,0.1630546955624355,-0.19400236472826474,,,0.2857142857142857,,0.0
C388,combined_PR,LORPO,matched_Dummy,81.0,77.0,0.9506172839506173,0.42207792207792205,0.30158730158730157,0.2842767295597484,-0.09314556288745453,,,0.5714285714285714,,0.0
C871,PP_complete,LOCO,primary,51.0,51.0,1.0,0.6470588235294118,0.6111111111111112,0.556949806949807,0.17521916101261562,0.656084656084656,0.915666805661793,0.6666666666666666,0.5555555555555556,
C871,PP_complete,LOCO,matched_Dummy,51.0,51.0,1.0,0.8627450980392157,0.8293650793650793,0.7901234567901234,0.5920120146400962,0.8293650793650794,0.9338145514616102,0.8809523809523809,0.7777777777777778,
C871,PP_complete,LORPO,primary,51.0,51.0,1.0,0.6862745098039216,0.5363636363636364,0.5363636363636364,0.07272727272727272,0.7477272727272727,0.9245615101513657,0.8,0.2727272727272727,
C871,PP_complete,LORPO,matched_Dummy,51.0,51.0,1.0,0.9019607843137255,0.8386363636363636,0.8500881834215167,0.7016135979285365,0.8386363636363636,0.9197034911525587,0.95,0.7272727272727273,
C871,combined_PR,LOCO,primary,81.0,81.0,1.0,0.6049382716049383,0.6095238095238096,0.5702917771883289,0.19270660895733996,0.669047619047619,0.8671112662929118,0.6,0.6190476190476191,
C871,combined_PR,LOCO,matched_Dummy,81.0,81.0,1.0,0.7654320987654321,0.6869047619047619,0.6897802862326143,0.37988812601922445,0.6869047619047619,0.8217668488160292,0.85,0.5238095238095238,
C871,combined_PR,LORPO,primary,81.0,81.0,1.0,0.5555555555555556,0.5019796380090498,0.4604995374653099,0.0029447845395840894,0.45757918552036203,0.8037066791198314,0.5808823529411765,0.4230769230769231,
C871,combined_PR,LORPO,matched_Dummy,81.0,81.0,1.0,0.7901234567901234,0.5639140271493213,0.569283703472005,0.14263402462219454,0.5639140271493213,0.8571322634426749,0.8970588235294118,0.23076923076923078,
