,pp_nonlocal12_high_per_res,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt
p4_r5_she,0.009765625,0.0009570312500000178,0.00390625,0.00244140625,0.0029687499999999645,0.01171875,-12.139999999999993,-0.809333333333333,-0.0050000000000002265,-0.15933333333333333,-0.12,-0.20000000000000018,-0.017578125,-0.8666666666666658
p4_r5_she_plus_p7_r5_she,0.00390625,0.0024804687499999645,0.00390625,0.0019335937500000178,0.0034374999999999822,0.005859375,-11.959999999999994,-0.797333333333333,-0.004000000000000226,-0.16000000000000003,-0.12,-0.20000000000000018,-0.017578125,-0.8666666666666658
p4_r5_sne,0.017578125,0.0032226562499997335,0.017578125,0.0033984375000000178,0.004863281250000018,0.01953125,-11.859999999999992,-0.7906666666666662,-0.007000000000000339,-0.16066666666666662,-0.12,-0.20000000000000018,-0.017578125,-0.7999999999999989
p4_r5_sne_plus_p7_r5_sne,0.009765625,0.00572265624999968,0.0078125,0.0043554687500000355,0.005917968749999947,0.009765625,-12.079999999999991,-0.8053333333333335,-0.007500000000000395,-0.16400000000000003,-0.12,-0.20000000000000018,-0.01953125,-0.8666666666666658
p4_r5_swd_plus_p7_r5_swd,0.0,0.0012695312500001776,-0.00390625,-0.0005468749999999467,-0.0007031250000002487,0.001953125,-19.609999999999992,-1.3073333333333328,-0.17049999999999998,-0.33999999999999997,-0.07999999999999999,-0.40000000000000013,-0.0390625,-1.799999999999999
p4_r5_the_plus_p7_r5_the,0.0,0.00023437499999978684,0.001953125,7.812499999992895e-05,0.0010351562499999467,0.001953125,-12.829999999999991,-0.8553333333333328,-0.0050000000000002265,-0.16400000000000003,-0.12,-0.20000000000000018,-0.01953125,-0.9333333333333327
p5_r6_aye,-0.0078125,-0.0014355468750002487,-0.0087890625,-0.0013574218749998757,0.0008496093749998934,-0.0048828125,-9.524999999999991,-0.6349999999999998,-0.0050000000000002265,-0.09599999999999997,-0.06499999999999999,-0.13333333333333341,-0.0146484375,-0.7666666666666657
p5_r6_nye,0.01171875,0.0034765624999999467,0.0078125,0.003164062500000009,0.004570312500000062,0.013671875,-13.239999999999995,-0.8826666666666663,-0.0055000000000003935,-0.16133333333333333,-0.12,-0.20000000000000018,-0.021484375,-0.9999999999999991
p5_r6_sfe,-0.001953125,-0.0008984375000000711,0.0,-0.0006054687499998934,-0.0008203124999999201,-0.001953125,0.5200000000000102,0.03466666666666729,0.0024999999999998357,0.004666666666666597,0.0,0.0,0.0,0.0
p5_r6_swd,0.00390625,-0.0023046875000001243,0.00390625,-0.002265624999999938,-0.0013671874999998668,0.005859375,-12.519999999999996,-0.8346666666666667,-0.006500000000000394,-0.16266666666666674,-0.12,-0.20000000000000018,-0.01953125,-0.9333333333333327
p5_r6_syq,-0.01171875,-0.004199218750000178,-0.017578125,-0.004667968749999973,0.0029492187499999822,-0.001953125,-2.279999999999994,-0.15200000000000014,0.0,-0.023333333333333428,-0.01999999999999999,-0.13333333333333353,-0.005859375,-0.33333333333333304
p5_r6_thn,-0.009765625,0.0024609374999999822,-0.005859375,-0.0011914062500000266,-0.001875000000000071,-0.0078125,1.160000000000018,0.0773333333333337,-0.0010000000000000009,0.005333333333333301,-0.009999999999999981,0.0,0.00390625,0.1333333333333342
p5_r6_twd,-0.01953125,-0.008994140625000036,-0.0234375,-0.008623046874999929,-0.004990234375000124,-0.0126953125,-19.474999999999994,-1.298333333333333,-0.17200000000000004,-0.34633333333333327,-0.07999999999999999,-0.4333333333333335,-0.0419921875,-2.0333333333333323
p5_r6_tye,0.005859375,0.0010937499999998934,0.001953125,0.0014453125000000178,0.0017773437499999378,0.0078125,-12.899999999999991,-0.8599999999999999,-0.0055000000000003935,-0.16466666666666663,-0.12,-0.20000000000000018,-0.01953125,-0.9333333333333327
p5_r6_vfn,-0.01953125,-0.00798828124999984,-0.025390625,-0.007382812499999947,0.0004687499999997957,-0.009765625,-3.829999999999991,-0.25533333333333275,-0.004500000000000393,-0.03133333333333321,0.0,-0.06666666666666676,-0.0078125,-0.33333333333333304
p6_r7_qfw,-0.015625,-0.012480468750000195,-0.021484375,-0.011269531249999742,-0.0087890625,-0.01171875,-12.15999999999999,-0.8106666666666666,-0.0025000000000001688,-0.16266666666666674,-0.12,-0.20000000000000018,-0.017578125,-0.8666666666666658
p6_r7_qrw,-0.0234375,-0.013144531250000036,-0.02734375,-0.011679687500000036,-0.002519531249999929,-0.013671875,-12.399999999999991,-0.8266666666666662,-0.010000000000000342,-0.16600000000000004,-0.12,-0.20000000000000018,-0.01953125,-0.8666666666666658
