site,validation,label_threshold_pp,n_folds
C295,LOOCV,-20,15
C295,LOOCV,-15,1
C295,LOOCV,-5,6
C295,Position_group_out,-10,2
C295,Position_group_out,-5,4
C295,Strict_position_out,-15,1
C295,Strict_position_out,-10,1
C295,Strict_position_out,-5,3
C871,LOOCV,-35,10
C871,LOOCV,-30,2
C871,LOOCV,-25,6
C871,LOOCV,-20,2
C871,LOOCV,-5,2
C871,Position_group_out,-25,1
C871,Position_group_out,-20,2
C871,Position_group_out,-15,1
C871,Position_group_out,-5,2
C871,Strict_position_out,-25,2
C871,Strict_position_out,-20,2
C871,Strict_position_out,-15,1
