site,threshold_pp,absolute_editing_pct,positive,negative,equivalent_lower_exclusive,equivalent_upper_inclusive,eligible_headline
C871,-5,62.50149999999999,19,3,-7.442999999999991,-3.219999999999999,False
C871,-10,57.50149999999999,15,7,-11.7845,-9.269999999999987,True
C871,-15,52.50149999999999,13,9,-16.87449999999999,-14.298999999999992,True
C871,-20,47.50149999999999,10,12,-21.901999999999987,-19.677499999999995,True
C871,-25,42.50149999999999,9,13,-25.8825,-21.901999999999987,True
C871,-30,37.50149999999999,7,15,-31.151,-29.811,True
C871,-35,32.50149999999999,4,18,-39.43599999999999,-34.90399999999999,False
C295,-5,27.958,18,4,-5.8125,-1.3039999999999985,False
C295,-10,22.958,14,8,-12.188,-8.799499999999998,True
C295,-15,17.958,8,14,-15.125999999999998,-14.619,True
C295,-20,12.957999999999998,3,19,-20.49,-18.402,False
