site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C295,-20,LOOCV,Baseline,always_0,fixed_0.5,22,22,0.5,0.8636363636363636,0.0,0.0,1.0,0.0,19.0,0.0,3.0,0.5,0.13636363636363635
C295,-20,LOOCV,Baseline,always_1,fixed_0.5,22,22,0.5,0.13636363636363635,0.13636363636363635,1.0,0.0,3.0,0.0,19.0,0.0,0.5,0.13636363636363635
C295,-20,LOOCV,CP_summary,ExtraTrees_depth2,fixed_0.5,22,22,0.5614035087719298,0.7272727272727273,0.2,0.3333333333333333,0.7894736842105263,1.0,15.0,4.0,2.0,0.38596491228070173,0.25133689839572193
C295,-20,LOOCV,CP_summary,ExtraTrees_depth2,training_only_threshold,22,22,0.7017543859649122,0.7272727272727273,0.2857142857142857,0.6666666666666666,0.7368421052631579,2.0,14.0,5.0,1.0,0.38596491228070173,0.25133689839572193
C295,-20,LOOCV,CP_summary,GaussianNB,fixed_0.5,22,22,0.5350877192982456,0.6818181818181818,0.16666666666666666,0.3333333333333333,0.7368421052631579,1.0,14.0,5.0,2.0,0.368421052631579,0.24915824915824913
C295,-20,LOOCV,CP_summary,GaussianNB,training_only_threshold,22,22,0.5614035087719298,0.7272727272727273,0.2,0.3333333333333333,0.7894736842105263,1.0,15.0,4.0,2.0,0.368421052631579,0.24915824915824913
C295,-20,LOOCV,CP_summary,LDA_shrinkage,fixed_0.5,22,22,0.34210526315789475,0.5909090909090909,0.0,0.0,0.6842105263157895,0.0,13.0,6.0,3.0,0.5087719298245614,0.16893939393939394
C295,-20,LOOCV,CP_summary,LDA_shrinkage,training_only_threshold,22,22,0.7368421052631579,0.5454545454545454,0.23076923076923078,1.0,0.47368421052631576,3.0,9.0,10.0,0.0,0.5087719298245614,0.16893939393939394
C295,-20,LOOCV,CP_summary,LR_0.01,fixed_0.5,22,22,0.3508771929824561,0.36363636363636365,0.07692307692307693,0.3333333333333333,0.3684210526315789,1.0,7.0,12.0,2.0,0.1754385964912281,0.10909090909090909
C295,-20,LOOCV,CP_summary,LR_0.01,training_only_threshold,22,22,0.16666666666666666,0.045454545454545456,0.05,0.3333333333333333,0.0,1.0,0.0,19.0,2.0,0.1754385964912281,0.10909090909090909
C295,-20,LOOCV,CP_summary,LR_0.1,fixed_0.5,22,22,0.3771929824561403,0.4090909090909091,0.08333333333333333,0.3333333333333333,0.42105263157894735,1.0,8.0,11.0,2.0,0.3684210526315789,0.13874269005847953
C295,-20,LOOCV,CP_summary,LR_0.1,training_only_threshold,22,22,0.2982456140350877,0.2727272727272727,0.06666666666666667,0.3333333333333333,0.2631578947368421,1.0,5.0,14.0,2.0,0.3684210526315789,0.13874269005847953
