dataset,validation,model,n,correct,accuracy,BA,AUC,AP,MCC,TP,TN,FP,FN
initial14,LOCO,RF_CP3,14,14,1.0,1.0,1.0,1.0,1.0,3,11,0,0
initial12_PUF12,LOCO,RF_CP3,12,12,1.0,1.0,1.0,1.0,1.0,3,9,0,0
initial14,LOCO,RF_S12_sensitivity,14,14,1.0,1.0,1.0,1.0,1.0,3,11,0,0
PUF12_24,LOCO,RF_CP3,24,21,0.875,0.825,0.9125,0.5845238095238094,0.5964809080634605,3,18,2,1
PUF12_24,batch1_to_batch2,RF_CP3,12,8,0.6666666666666666,0.8181818181818181,0.9090909090909092,0.3333333333333333,0.3567530340063379,1,7,4,0
PUF12_24,fixed4,RF_CP3,4,2,0.5,0.6666666666666666,0.6666666666666667,0.5,0.3333333333333333,1,1,2,0
PUF12_24,architecture_out,RF_CP3,24,18,0.75,0.75,0.86875,0.475,0.3952847075210474,3,15,5,1
PUF12_24,LOCO,RF_CP_structure9,24,22,0.9166666666666666,0.85,0.9125000000000001,0.7875,0.7,3,19,1,1
PUF12_24,batch1_to_batch2,RF_CP_structure9,12,9,0.75,0.8636363636363636,1.0,1.0,0.42640143271122083,1,8,3,0
PUF12_24,fixed4,RF_CP_structure9,4,3,0.75,0.8333333333333333,1.0,1.0,0.5773502691896258,1,2,1,0
PUF12_24,architecture_out,RF_CP_structure9,24,22,0.9166666666666666,0.75,0.9375,0.8611111111111112,0.674199862463242,2,20,0,2
