phase,task,policy,n_train,decision_threshold,n,positive,negative,correct,accuracy,balanced_accuracy,MCC,AUC,AP,TP,TN,FP,FN,sensitivity,specificity
first_batch,C295,source_policy,25,0.5859796432629216,10,5,5,5,0.5,0.5,0.0,0.8400000000000001,0.911111111111111,0,5,0,5,0.0,1.0
first_batch,C295,fixed_score05,25,0.5,10,5,5,7,0.7,0.7,0.5,0.8400000000000001,0.911111111111111,2,5,0,3,0.4,1.0
two_batches,C295,source_policy,71,0.45947067400173125,10,5,5,7,0.7,0.7,0.408248290463863,0.8,0.8711111111111112,3,4,1,2,0.6,0.8
two_batches,C295,fixed_score05,71,0.5,10,5,5,7,0.7,0.7,0.408248290463863,0.8,0.8711111111111112,3,4,1,2,0.6,0.8
curated_first_sensitivity,C295,source_policy,17,0.5071985781377045,10,5,5,7,0.7,0.7,0.5,0.76,0.8392857142857142,2,5,0,3,0.4,1.0
curated_first_sensitivity,C295,fixed_score05,17,0.5,10,5,5,7,0.7,0.7,0.5,0.76,0.8392857142857142,2,5,0,3,0.4,1.0
curated_two_sensitivity,C295,source_policy,63,0.5583487714707196,10,5,5,8,0.8,0.8,0.6546536707079772,0.8,0.8711111111111112,3,5,0,2,0.6,1.0
curated_two_sensitivity,C295,fixed_score05,63,0.5,10,5,5,8,0.8,0.8,0.6546536707079772,0.8,0.8711111111111112,3,5,0,2,0.6,1.0
first_batch,C388,source_policy,25,0.5,10,7,3,7,0.7,0.6904761904761905,0.3563483225498992,0.7380952380952381,0.8841269841269841,5,2,1,2,0.7142857142857143,0.6666666666666666
first_batch,C388,fixed_score05,25,0.5,10,7,3,7,0.7,0.6904761904761905,0.3563483225498992,0.7380952380952381,0.8841269841269841,5,2,1,2,0.7142857142857143,0.6666666666666666
two_batches,C388,source_policy,71,0.5,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.40476190476190477,0.7297619047619048,3,2,1,4,0.42857142857142855,0.6666666666666666
two_batches,C388,fixed_score05,71,0.5,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.40476190476190477,0.7297619047619048,3,2,1,4,0.42857142857142855,0.6666666666666666
curated_first_sensitivity,C388,source_policy,17,0.5,10,7,3,8,0.8,0.6666666666666666,0.5091750772173156,0.5714285714285714,0.7284580498866213,7,1,2,0,1.0,0.3333333333333333
curated_first_sensitivity,C388,fixed_score05,17,0.5,10,7,3,8,0.8,0.6666666666666666,0.5091750772173156,0.5714285714285714,0.7284580498866213,7,1,2,0,1.0,0.3333333333333333
curated_two_sensitivity,C388,source_policy,63,0.5,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.45238095238095244,0.6853741496598639,3,2,1,4,0.42857142857142855,0.6666666666666666
curated_two_sensitivity,C388,fixed_score05,63,0.5,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.45238095238095244,0.6853741496598639,3,2,1,4,0.42857142857142855,0.6666666666666666
first_batch,C871,source_policy,25,0.33418819332964544,10,7,3,7,0.7,0.6904761904761905,0.3563483225498992,0.6190476190476191,0.7785714285714285,5,2,1,2,0.7142857142857143,0.6666666666666666
first_batch,C871,fixed_score05,25,0.5,10,7,3,6,0.6,0.6190476190476191,0.2182178902359924,0.6190476190476191,0.7785714285714285,4,2,1,3,0.5714285714285714,0.6666666666666666
two_batches,C871,source_policy,71,0.5334856972317972,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.4285714285714286,0.6901360544217687,3,2,1,4,0.42857142857142855,0.6666666666666666
two_batches,C871,fixed_score05,71,0.5,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.4285714285714286,0.6901360544217687,3,2,1,4,0.42857142857142855,0.6666666666666666
curated_first_sensitivity,C871,source_policy,17,0.39589039282636496,10,7,3,6,0.6,0.6190476190476191,0.2182178902359924,0.6666666666666667,0.861904761904762,4,2,1,3,0.5714285714285714,0.6666666666666666
curated_first_sensitivity,C871,fixed_score05,17,0.5,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.6666666666666667,0.861904761904762,3,2,1,4,0.42857142857142855,0.6666666666666666
curated_two_sensitivity,C871,source_policy,63,0.47491669285783866,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.5238095238095238,0.7687074829931972,3,2,1,4,0.42857142857142855,0.6666666666666666
curated_two_sensitivity,C871,fixed_score05,63,0.5,10,7,3,5,0.5,0.5476190476190476,0.0890870806374748,0.5238095238095238,0.7687074829931972,3,2,1,4,0.42857142857142855,0.6666666666666666
