method,model,threshold,AUC,AP,balanced_accuracy,accuracy,TP,FN,FP,TN
Original fixed RF,CP_density3_RF,fixed_0.5,0.9125,0.5845238095238094,0.825,0.875,3,1,2,18
Original fixed RF,CP_summary14_RF,fixed_0.5,0.8500000000000001,0.4444444444444444,0.7,0.8333333333333334,2,2,2,18
Original fixed RF,CP_structure17_RF,fixed_0.5,0.925,0.7678571428571428,0.7,0.8333333333333334,2,2,2,18
Nested tuned RF,CP_density3,fixed_0.5,0.8999999999999999,0.5428571428571429,0.825,0.875,3,1,2,18
Nested tuned RF,CP_density3,inner_selected,0.8999999999999999,0.5428571428571429,0.825,0.875,3,1,2,18
Nested tuned RF,CP_structure17,fixed_0.5,0.8125,0.5590659340659341,0.7,0.8333333333333334,2,2,2,18
Nested tuned RF,CP_structure17,inner_selected,0.8125,0.5590659340659341,0.65,0.75,2,2,4,16
Nested tuned RF,CP_summary14,fixed_0.5,0.8749999999999999,0.4833333333333333,0.825,0.875,3,1,2,18
Nested tuned RF,CP_summary14,inner_selected,0.8749999999999999,0.4833333333333333,0.8,0.8333333333333334,3,1,3,17
Nested tuned RF,joint,fixed_0.5,0.8624999999999999,0.4861111111111111,0.7,0.8333333333333334,2,2,2,18
Nested tuned RF,joint,inner_selected,0.8624999999999999,0.4861111111111111,0.7,0.8333333333333334,2,2,2,18
