feature,importance
pp_nonlocal24_high_per_res,0.17812247869369147
pp_nonlocal4_high_per_res,0.1637534619443235
pp_nonlocal12_high_per_res,0.15991705695939684
plddt_protein_mean,0.12271478951182435
pae_contact_weighted,0.08880151381622456
pp_nonlocal12_per_res,0.05673583753887106
pr_rna_max_mean,0.03925076804176736
pp_nonlocal24_per_res,0.038409703581496056
pp_nonlocal4_per_res,0.02953182955354104
pr_cp_per_nt,0.02881532663576099
pr_protein_coverage_05,0.019405505650134745
pr_high_contacts_per_nt,0.01918289518234705
Rg_full_length_normalized,0.01828295289850961
pr_cp_sum,0.015302830209037322
pr_rna_coverage_05,0.01151993587763301
pr_top20_mean,0.007853570880985868
pr_rna_max_min,0.0023995430244552287
