feature,importance
pp_nonlocal4_high_per_res,0.3513277060106459
pp_nonlocal12_high_per_res,0.2943244616624147
pp_nonlocal24_high_per_res,0.2413806605948653
pr_rna_max_mean,0.04704057125987716
pp_nonlocal12_per_res,0.020795880257619744
pp_nonlocal24_per_res,0.011355787538963488
pr_cp_per_nt,0.010724524268206978
pp_nonlocal4_per_res,0.009212703883217281
pr_protein_coverage_05,0.0036391567556911747
pr_cp_sum,0.0034568119809620357
pr_top20_mean,0.0033951804120533947
pr_high_contacts_per_nt,0.0013498669577817932
pr_rna_max_min,0.0010142968144213138
pr_rna_coverage_05,0.0009823916032797558
