construct,batch,design_id,success,CP_density3,CP_structure17,CP_summary14,joint,baseline_CP_density3,baseline_CP_summary14,baseline_CP_structure17
puf12_r123_r5678_r56788,previous,,0,0.0,0.008694885361552,0.0478933664860438,0.0,0.0,0.0451228878566142,0.0246091636550729
puf12_r123_r5678_r5loop6788,previous,,0,0.0,0.0023456790123456,0.0449980980118279,0.0,0.0,0.077692945284254,0.0393774410475527
puf12_r123_r567_r567_r678,previous,,1,0.804296103177734,0.7486555407324766,0.6525807878112712,0.804296103177734,0.804296103177734,0.626569387522142,0.698484586603207
puf12_r123_r567_r5loop67_loopr678,previous,,1,0.7164975390066964,0.0663023416309564,0.5502255753400159,0.0663023416309564,0.7164975390066964,0.4530447738880195,0.2556807248823901
puf12_r123_r567_r5loop67_r678,previous,,0,0.0,0.1165698895849752,0.1232142857142856,0.0,0.0,0.1351657192129612,0.1165698895849752
puf12_r123_r567_r6loopr7_r5678,previous,,0,0.0,0.0459332125289597,0.0386666666666666,0.0,0.0,0.0590813164955456,0.0692641389566867
puf12_r123_r567_r6loopr7_r5loop678,previous,,0,0.0,0.0,0.0550687566997003,0.0,0.0,0.0550687566997003,0.0200661870429312
puf12_r123_r567_r6r7_r5678,previous,,1,0.3420067940939151,0.2520389660424536,0.2372023936665736,0.3420067940939151,0.3420067940939151,0.1846610105050731,0.2465763127537134
puf_12_loopr4loopr4,previous,,0,0.0,0.0749715220242946,0.0214259980582751,0.0,0.0,0.0596248986447209,0.0733393014056754
puf_12_loopr4r4,previous,,0,0.0,0.0629543075253368,0.03813525975554,0.0,0.0,0.03813525975554,0.0533845369938113
puf_12_r4loopr4,previous,,0,0.0,0.0566556187744741,0.0751178750678713,0.0,0.0,0.0498668739533629,0.0527124783092871
puf_12_r4r4,previous,,0,0.0,0.0367995574033014,0.0622029643034208,0.0,0.0,0.0422647590065768,0.0313386195712088
1_130_r123_r567_r567_r67_no_loop_8,new,1.0,1,0.6105582010582011,0.5633333333333334,0.6705298519529219,0.6105582010582011,0.8122273863199684,0.6776313012282843,0.7172442236677908
2_130_r123_r567_r5loop67_r678,new,2.0,0,0.0,0.1008428298435887,0.1325423551015346,0.0,0.0,0.1376012388700957,0.1008428298435887
3_130_r123_r567_r56loop7_r678,new,3.0,0,0.0217367545735329,0.0995139372027623,0.0776529500297521,0.0217367545735329,0.0612061024589017,0.1046607727729039,0.1264500320203252
4_130_r123_r567_r567_rloop678,new,4.0,0,0.740276471751482,0.6090450842195418,0.731386657877265,0.740276471751482,0.7563410963884196,0.7269147070533412,0.6090450842195418
5_130_r123_r567_r567_r6loop78,new,5.0,0,0.1133095463257351,0.1381644868342789,0.2276381504194902,0.1133095463257351,0.1439964310250183,0.2276381504194902,0.1381644868342789
7_130_r123_r567_r567_rloop67loop8,new,7.0,0,0.9121664706154552,0.6234077399775219,0.7762335536528704,0.9121664706154552,0.9121664706154552,0.7762335536528704,0.6234077399775219
8_130_r123_r567_r567_r6loop7loop8,new,8.0,0,0.4574235465305771,0.3776431255941531,0.4795737071115941,0.4574235465305771,0.4574235465305771,0.4795737071115941,0.3558802173459811
12_130_r123456654loop328,new,12.0,0,0.1919016931048686,0.2601091033798761,0.265921485456162,0.1919016931048686,0.1919016931048686,0.268937358472035,0.1870009803846757
13_130_r12345665432loop8,new,13.0,0,0.0,0.0061642262417456,0.0079392212725546,0.0,0.0,0.0079392212725546,0.0014728682170542
14_130_r123456734loop568,new,14.0,0,0.0,0.0208394237909458,0.0031746031746031,0.0,0.0,0.0110539753709152,0.0127496107981446
15_130_r12345673456loop8,new,15.0,0,0.0,0.0096869245161663,0.0031746031746031,0.0,0.0,0.0079392212725546,0.0014728682170542
16_130_r12365673156loop8,new,16.0,0,0.0,0.0054424788533315,0.0055935422602089,0.0,0.0,0.0055935422602089,0.0048062015503875
