scope,candidate_id,feature_set,selected_outer_folds
CP_density3,0,CP_density3,10
CP_density3,2,CP_density3,13
CP_density3,11,CP_density3,1
CP_structure17,32,CP_structure17,7
CP_structure17,33,CP_structure17,2
CP_structure17,38,CP_structure17,4
CP_structure17,40,CP_structure17,5
CP_structure17,41,CP_structure17,1
CP_structure17,46,CP_structure17,4
CP_structure17,47,CP_structure17,1
CP_summary14,16,CP_summary14,11
CP_summary14,17,CP_summary14,1
CP_summary14,22,CP_summary14,3
CP_summary14,24,CP_summary14,2
CP_summary14,28,CP_summary14,2
CP_summary14,30,CP_summary14,1
CP_summary14,31,CP_summary14,4
joint,0,CP_density3,9
joint,2,CP_density3,13
joint,11,CP_density3,1
joint,40,CP_structure17,1
