site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP,threshold_pp,positive,negative,eligible_headline
C871,-20,Position_group_out,Repository,RF_depth1,training_only_threshold,22,22,0.875,0.8636363636363636,0.7692307692307693,1.0,0.75,10.0,9.0,3.0,0.0,0.7916666666666666,0.6909598734598734,-20,10,12,True
C871,-20,Position_group_out,Repository,RF_depth2,training_only_threshold,22,22,0.875,0.8636363636363636,0.7692307692307693,1.0,0.75,10.0,9.0,3.0,0.0,0.7833333333333333,0.6809598734598735,-20,10,12,True
C871,-20,Position_group_out,ContactSeek_CCR,ExtraTrees_depth2,training_only_threshold,22,22,0.85,0.8636363636363636,1.0,0.7,1.0,7.0,12.0,0.0,3.0,0.8,0.868181818181818,-20,10,12,True
C871,-30,Position_group_out,CP_summary,LDA_shrinkage,training_only_threshold,22,22,0.7523809523809524,0.8181818181818182,0.8,0.5714285714285714,0.9333333333333332,4.0,14.0,1.0,3.0,0.5714285714285715,0.4987425273139559,-30,7,15,True
C871,-30,Position_group_out,Local_deltaCP,LR_1,training_only_threshold,22,22,0.7333333333333334,0.6363636363636364,0.4666666666666667,1.0,0.4666666666666667,7.0,7.0,8.0,0.0,0.6190476190476191,0.3729282622139765,-30,7,15,True
C295,-10,Position_group_out,Local_deltaCP,LR_0.01,training_only_threshold,22,22,0.7321428571428572,0.7272727272727273,0.8333333333333334,0.7142857142857143,0.75,10.0,6.0,2.0,4.0,0.5535714285714286,0.7183003504432077,-10,14,8,True
C295,-15,Position_group_out,Sequence,LDA_shrinkage,training_only_threshold,22,22,0.7232142857142857,0.6818181818181818,0.5384615384615384,0.875,0.5714285714285714,7.0,8.0,6.0,1.0,0.7142857142857143,0.6050420168067226,-15,8,14,True
C295,-10,Position_group_out,Interface_RMS,RF_depth2,training_only_threshold,22,22,0.7232142857142857,0.6818181818181818,0.8888888888888888,0.5714285714285714,0.875,8.0,7.0,1.0,6.0,0.6875,0.8222119150690579,-10,14,8,True
C295,-10,Position_group_out,Interface_RMS,RF_depth1,training_only_threshold,22,22,0.7232142857142857,0.6818181818181818,0.8888888888888888,0.5714285714285714,0.875,8.0,7.0,1.0,6.0,0.6026785714285714,0.7852879788278947,-10,14,8,True
C871,-25,Position_group_out,Total_CP,LR_0.01,training_only_threshold,22,22,0.7136752136752136,0.6818181818181818,0.5714285714285714,0.8888888888888888,0.5384615384615384,8.0,7.0,6.0,1.0,0.6752136752136753,0.5883174922390608,-25,9,13,True
C871,-25,Position_group_out,Total_CP,LR_0.1,training_only_threshold,22,22,0.6965811965811965,0.6818181818181818,0.5833333333333334,0.7777777777777778,0.6153846153846154,7.0,8.0,5.0,2.0,0.6666666666666666,0.5872185911401597,-25,9,13,True
C295,-10,Position_group_out,Total_CP,ExtraTrees_depth2,training_only_threshold,22,22,0.6964285714285714,0.6818181818181818,0.8181818181818182,0.6428571428571429,0.75,9.0,6.0,2.0,5.0,0.3392857142857142,0.6172872578058337,-10,14,8,True
C295,-15,Position_group_out,Total_CP,SVM_RBF,training_only_threshold,22,22,0.6875,0.6363636363636364,0.5,0.875,0.5,7.0,7.0,7.0,1.0,0.5,0.3905868437118437,-15,8,14,True
C871,-10,Position_group_out,Sequence,GaussianNB,training_only_threshold,22,22,0.6857142857142857,0.7272727272727273,0.8,0.8,0.5714285714285714,12.0,4.0,3.0,3.0,0.6428571428571428,0.7658874458874458,-10,15,7,True
C295,-10,Position_group_out,Sequence,GaussianNB,training_only_threshold,22,22,0.6785714285714286,0.7272727272727273,0.75,0.8571428571428571,0.5,12.0,4.0,4.0,2.0,0.6785714285714286,0.7337662337662337,-10,14,8,True
C295,-10,Position_group_out,ContactSeek_CCR,LR_1,training_only_threshold,22,22,0.6517857142857143,0.5909090909090909,0.8571428571428571,0.4285714285714285,0.875,6.0,7.0,1.0,8.0,0.6607142857142857,0.8280246747821935,-10,14,8,True
C295,-15,Position_group_out,Sequence,LR_0.1,training_only_threshold,22,22,0.6517857142857143,0.5909090909090909,0.4666666666666667,0.875,0.4285714285714285,7.0,6.0,8.0,1.0,0.6071428571428571,0.5428030303030302,-15,8,14,True
C871,-25,Position_group_out,Total_CP,SVM_RBF,training_only_threshold,22,22,0.6367521367521367,0.5909090909090909,0.5,0.8888888888888888,0.3846153846153846,8.0,5.0,8.0,1.0,0.6923076923076923,0.5369675078008411,-25,9,13,True
