site,validation,fold,reported_family,family,model,threshold,inner_BA,label_threshold_pp
C871,LOOCV,p4_r5_she,Total_CP,Total_CP,SVM_RBF,0.37399896420481393,0.8333333333333333,-5
C871,LOOCV,p4_r5_she,Interface_RMS,Interface_RMS,SVM_RBF,0.2760420469438649,0.8333333333333333,-5
C871,LOOCV,p4_r5_she,CP_summary,CP_summary,RF_depth1,0.8024589839984577,0.8611111111111112,-5
C871,LOOCV,p4_r5_she,Repository,Repository,RF_depth1,0.8307015615962985,0.8333333333333333,-5
C871,LOOCV,p4_r5_she,Local_deltaCP,Local_deltaCP,LR_0.01,0.28718721216717547,0.7777777777777777,-5
C871,LOOCV,p4_r5_she,Sequence,Sequence,LR_0.1,0.6855019174819066,0.6111111111111112,-5
C871,LOOCV,p4_r5_she,Sequence_Local,Sequence_Local,LDA_shrinkage,0.9982033166757882,0.7777777777777777,-5
C871,LOOCV,p4_r5_she,ContactSeek_CCR,ContactSeek_CCR,LR_0.01,0.25522556994584505,0.8055555555555556,-5
C871,LOOCV,p4_r5_she,Nested_all,CP_summary,RF_depth1,0.8024589839984577,0.8611111111111112,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,Total_CP,Total_CP,SVM_RBF,0.34218239674710604,1.0,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,Interface_RMS,Interface_RMS,SVM_RBF,0.2767706556286583,1.0,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,CP_summary,CP_summary,ExtraTrees_depth2,0.3359330669330671,1.0,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,Repository,Repository,SVM_RBF,0.5,1.0,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,Local_deltaCP,Local_deltaCP,LR_0.01,0.20604018139540675,0.9736842105263157,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,Sequence,Sequence,LR_1,0.6735728845939526,0.8421052631578947,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,Sequence_Local,Sequence_Local,SVM_RBF,0.5177539457262884,0.9736842105263157,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,ContactSeek_CCR,ContactSeek_CCR,RF_depth1,0.5312964307497778,1.0,-5
C871,LOOCV,p4_r5_she_plus_p7_r5_she,Nested_all,Total_CP,SVM_RBF,0.34218239674710604,1.0,-5
C871,LOOCV,p4_r5_sne,Total_CP,Total_CP,LR_0.01,0.501082480630564,0.9166666666666667,-5
C871,LOOCV,p4_r5_sne,Interface_RMS,Interface_RMS,SVM_RBF,0.2730419301196344,0.8333333333333333,-5
C871,LOOCV,p4_r5_sne,CP_summary,CP_summary,RF_depth1,0.775546033508088,0.8333333333333333,-5
C871,LOOCV,p4_r5_sne,Repository,Repository,RF_depth1,0.7841160500506852,0.8333333333333333,-5
