site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP,threshold_pp,positive,negative,eligible_headline
C871,-20,LOOCV,Repository,RF_depth1,fixed_0.5,22,22,0.7833333333333333,0.7727272727272727,0.6923076923076923,0.9,0.6666666666666666,9.0,8.0,4.0,1.0,0.8166666666666667,0.7877913752913752,-20,10,12,True
C871,-20,LOOCV,Repository,RF_depth1,training_only_threshold,22,22,0.6916666666666667,0.6818181818181818,0.6153846153846154,0.8,0.5833333333333334,8.0,7.0,5.0,2.0,0.8166666666666667,0.7877913752913752,-20,10,12,True
C871,-20,Position_group_out,Repository,RF_depth1,fixed_0.5,22,22,0.775,0.7727272727272727,0.7272727272727273,0.8,0.75,8.0,9.0,3.0,2.0,0.7916666666666666,0.6909598734598734,-20,10,12,True
C871,-20,Position_group_out,Repository,RF_depth1,training_only_threshold,22,22,0.875,0.8636363636363636,0.7692307692307693,1.0,0.75,10.0,9.0,3.0,0.0,0.7916666666666666,0.6909598734598734,-20,10,12,True
C871,-20,Strict_position_out,Repository,RF_depth1,fixed_0.5,22,26,0.8083333333333333,0.7954545454545454,0.7037037037037037,0.95,0.6666666666666666,9.5,8.0,4.0,0.5,0.7708333333333333,0.6711991590567442,-20,10,12,True
C871,-20,Strict_position_out,Repository,RF_depth1,training_only_threshold,22,26,0.8083333333333333,0.7954545454545454,0.7037037037037037,0.95,0.6666666666666666,9.5,8.0,4.0,0.5,0.7708333333333333,0.6711991590567442,-20,10,12,True
C295,-10,LOOCV,Local_deltaCP,LR_0.01,fixed_0.5,22,22,0.5982142857142857,0.5909090909090909,0.7272727272727273,0.5714285714285714,0.625,8.0,5.0,3.0,6.0,0.5357142857142857,0.6793317793317794,-10,14,8,True
C295,-10,LOOCV,Local_deltaCP,LR_0.01,training_only_threshold,22,22,0.5625,0.5454545454545454,0.7,0.5,0.625,7.0,5.0,3.0,7.0,0.5357142857142857,0.6793317793317794,-10,14,8,True
C295,-10,Position_group_out,Local_deltaCP,LR_0.01,fixed_0.5,22,22,0.5535714285714286,0.5,0.7142857142857143,0.3571428571428571,0.75,5.0,6.0,2.0,9.0,0.5535714285714286,0.7183003504432077,-10,14,8,True
C295,-10,Position_group_out,Local_deltaCP,LR_0.01,training_only_threshold,22,22,0.7321428571428572,0.7272727272727273,0.8333333333333334,0.7142857142857143,0.75,10.0,6.0,2.0,4.0,0.5535714285714286,0.7183003504432077,-10,14,8,True
C295,-10,Strict_position_out,Local_deltaCP,LR_0.01,fixed_0.5,22,26,0.5535714285714286,0.5,0.7142857142857143,0.3571428571428571,0.75,5.0,6.0,2.0,9.0,0.5982142857142857,0.7565746548524543,-10,14,8,True
C295,-10,Strict_position_out,Local_deltaCP,LR_0.01,training_only_threshold,22,26,0.4375,0.3863636363636363,0.5384615384615384,0.25,0.625,3.5,5.0,3.0,10.5,0.5982142857142857,0.7565746548524543,-10,14,8,True
