site,validation,fold,reported_family,family,model,threshold,inner_BA,label_threshold_pp
C295,LOOCV,p4_r5_she,Nested_all,Local_deltaCP,RF_depth1,0.2986538097725704,0.8611111111111112,-20
C295,LOOCV,p4_r5_she_plus_p7_r5_she,Nested_all,Sequence_Local,SVM_RBF,0.6487782661538286,0.9166666666666669,-5
C295,LOOCV,p4_r5_sne,Nested_all,Sequence,SVM_RBF,0.5,0.8928571428571428,-15
C295,LOOCV,p4_r5_sne_plus_p7_r5_sne,Nested_all,ContactSeek_CCR,RF_depth1,0.2959945498098221,0.9166666666666669,-20
C295,LOOCV,p4_r5_swd_plus_p7_r5_swd,Nested_all,ContactSeek_CCR,RF_depth1,0.2918608733371891,0.9166666666666669,-20
C295,LOOCV,p4_r5_the_plus_p7_r5_the,Nested_all,ContactSeek_CCR,LR_0.01,0.4062789181668916,0.9705882352941176,-5
C295,LOOCV,p5_r6_aye,Nested_all,ContactSeek_CCR,LR_0.01,0.4099770267355543,0.9411764705882352,-5
C295,LOOCV,p5_r6_nye,Nested_all,ContactSeek_CCR,LR_0.01,0.4650306553418373,0.8823529411764706,-5
C295,LOOCV,p5_r6_sfe,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3274065934065935,0.9166666666666669,-20
C295,LOOCV,p5_r6_swd,Nested_all,ContactSeek_CCR,RF_depth1,0.7042564939208593,0.8823529411764706,-5
C295,LOOCV,p5_r6_syq,Nested_all,ContactSeek_CCR,RF_depth1,0.2929483865230815,0.9444444444444444,-20
C295,LOOCV,p5_r6_thn,Nested_all,ContactSeek_CCR,LR_0.1,0.4640735654461958,0.8823529411764706,-5
C295,LOOCV,p5_r6_twd,Nested_all,ContactSeek_CCR,RF_depth1,0.2918964837652444,0.9722222222222222,-20
C295,LOOCV,p5_r6_tye,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3456483516483516,0.9722222222222222,-20
C295,LOOCV,p5_r6_vfn,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3872527472527471,0.9722222222222222,-20
C295,LOOCV,p6_r7_qfw,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3636483516483516,0.9722222222222222,-20
C295,LOOCV,p6_r7_qrw,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3701318681318681,0.9722222222222222,-20
C295,LOOCV,p6_r7_trq,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3698901098901098,0.9722222222222222,-20
C295,LOOCV,p6_r7_wfd,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3885054945054944,0.9722222222222222,-20
C295,LOOCV,p6_r7_wfq,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3990109890109888,0.9722222222222222,-20
C295,LOOCV,p7_r5_syvirr,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.3889670329670328,0.9722222222222222,-20
C295,LOOCV,p8_r6_gve,Nested_all,ContactSeek_CCR,ExtraTrees_depth2,0.4234285714285712,0.9722222222222222,-20
C295,Position_group_out,4,Nested_all,Sequence,LR_1,0.7350665973175123,0.875,-5
C295,Position_group_out,4+7,Nested_all,Local_deltaCP,LR_0.1,0.5,0.8376623376623377,-10
C295,Position_group_out,5,Nested_all,ContactSeek_CCR,RF_depth1,0.5604529637029638,0.8888888888888888,-5
C295,Position_group_out,6,Nested_all,CP_summary,LR_1,0.7880257827675861,0.7692307692307692,-10
C295,Position_group_out,7,Nested_all,ContactSeek_CCR,LR_0.1,0.3658464571518931,0.9166666666666669,-5
C295,Position_group_out,8,Nested_all,ContactSeek_CCR,LR_0.1,0.4902601339974419,0.8161764705882353,-5
