construct,success,pp_nonlocal12_high_per_res
12_130_r123456654loop328,0,1.2987329434697856
13_130_r12345665432loop8,0,1.239766081871345
14_130_r123456734loop568,0,1.2821637426900585
15_130_r12345673456loop8,0,1.2714424951267056
16_130_r12365673156loop8,0,1.2183235867446394
1_130_r123_r567_r567_r67_no_loop_8,1,1.3326732673267327
2_130_r123_r567_r5loop67_r678,0,1.2978515625
3_130_r123_r567_r56loop7_r678,0,1.30810546875
4_130_r123_r567_r567_rloop678,0,1.3232421875
5_130_r123_r567_r567_r6loop78,0,1.31640625
7_130_r123_r567_r567_rloop67loop8,0,1.323699421965318
8_130_r123_r567_r567_r6loop7loop8,0,1.3164739884393064
puf12_r123_r5678_r56788,0,1.27197265625
puf12_r123_r5678_r5loop6788,0,1.2369942196531791
puf12_r123_r567_r567_r678,1,1.324609375
puf12_r123_r567_r5loop67_loopr678,1,1.317965779467681
puf12_r123_r567_r5loop67_r678,0,1.3073217726396915
puf12_r123_r567_r6loopr7_r5678,0,1.2999357739242132
puf12_r123_r567_r6loopr7_r5loop678,0,1.2480988593155895
puf12_r123_r567_r6r7_r5678,1,1.31689453125
puf_12_loopr4loopr4,0,1.189278937381404
puf_12_loopr4r4,0,1.25
puf_12_r4loopr4,0,1.234134615384615
puf_12_r4r4,0,1.267056530214425
