model,C295_MAE_pp,C388_MAE_pp,C871_MAE_pp,mean_MAE_pp
M3a_global_Ridge,7.201,10.070,12.666,9.979
M1_global_Ridge,7.201,10.070,12.666,9.979
M1_global_RF,7.531,10.788,12.868,10.396
M3a_global_RF,7.531,10.788,12.870,10.396
M3a_local_RF,7.323,10.642,13.529,10.498
M0_Ridge,8.354,10.847,12.655,10.619
M0_RF,8.155,10.676,13.128,10.653
M1_local_RF,6.839,11.474,13.734,10.682
M3a_local_Ridge,7.499,11.299,13.925,10.908
M1_local_Ridge,7.082,11.752,14.395,11.076
B0,8.117,11.563,14.052,11.244
B1_Ridge,7.633,11.830,14.398,11.287
