site,label_threshold_delta_pp,equivalent_delta_lower_exclusive_pp,equivalent_delta_upper_inclusive_pp,model,n_high,n_low,AUC,BA_fixed_score05,score_threshold,BA,accuracy,sensitivity,specificity,TN,FP,FN,TP
C388,-45.0,-47.23100000000001,-40.077000000000005,Total_CP_LR,25,5,0.6799999999999999,0.76,0.5,0.76,0.7333333333333333,0.72,0.8,4,1,7,18
C388,-45.0,-47.23100000000001,-40.077000000000005,Interface_CP_LR,25,5,0.776,0.8,0.4682696089565967,0.8600000000000001,0.9,0.92,0.8,4,1,2,23
C388,-45.0,-47.23100000000001,-40.077000000000005,S4_S12_S24_LR,25,5,0.568,0.62,0.4673285229623644,0.7,0.7666666666666667,0.8,0.6,3,2,5,20
C388,-45.0,-47.23100000000001,-40.077000000000005,Repository_LR,25,5,0.6960000000000001,0.6599999999999999,0.621870241530124,0.68,0.6,0.56,0.8,4,1,11,14
C388,-45.0,-47.23100000000001,-40.077000000000005,ContactSeek_Top3_RF,25,5,0.728,0.46,0.7701287599198905,0.8400000000000001,0.8666666666666667,0.88,0.8,4,1,3,22
C388,-45.0,-47.23100000000001,-40.077000000000005,ContactSeek_CCR_RF,25,5,0.6719999999999999,0.48,0.8396744436815214,0.76,0.7333333333333333,0.72,0.8,4,1,7,18
C388,-40.0,-40.077000000000005,-37.67250000000001,Total_CP_LR,24,6,0.5486111111111112,0.6875,0.5,0.6875,0.7,0.7083333333333334,0.6666666666666666,4,2,7,17
C388,-40.0,-40.077000000000005,-37.67250000000001,Interface_CP_LR,24,6,0.6597222222222222,0.7083333333333333,0.4621483407857696,0.7916666666666666,0.8666666666666667,0.9166666666666666,0.6666666666666666,4,2,2,22
C388,-40.0,-40.077000000000005,-37.67250000000001,S4_S12_S24_LR,24,6,0.6597222222222222,0.6666666666666666,0.45310349031423147,0.7708333333333333,0.8333333333333334,0.875,0.6666666666666666,4,2,3,21
C388,-40.0,-40.077000000000005,-37.67250000000001,Repository_LR,24,6,0.638888888888889,0.6041666666666667,0.509342880114529,0.6875,0.7,0.7083333333333334,0.6666666666666666,4,2,7,17
C388,-40.0,-40.077000000000005,-37.67250000000001,ContactSeek_Top3_RF,24,6,0.4166666666666667,0.4583333333333333,0.8914073556194314,0.5416666666666667,0.36666666666666664,0.25,0.8333333333333334,5,1,18,6
C388,-40.0,-40.077000000000005,-37.67250000000001,ContactSeek_CCR_RF,24,6,0.4166666666666667,0.4583333333333333,0.9328068044848702,0.5833333333333334,0.3333333333333333,0.16666666666666666,1.0,6,0,20,4
C388,-35.0,-35.229000000000006,-28.25500000000001,Total_CP_LR,22,8,0.6477272727272727,0.6761363636363636,0.5215400748403526,0.7386363636363636,0.7333333333333333,0.7272727272727273,0.75,6,2,6,16
C388,-35.0,-35.229000000000006,-28.25500000000001,Interface_CP_LR,22,8,0.7272727272727273,0.7443181818181819,0.4645181914554078,0.7897727272727273,0.8666666666666667,0.9545454545454546,0.625,5,3,1,21
C388,-35.0,-35.229000000000006,-28.25500000000001,S4_S12_S24_LR,22,8,0.7159090909090909,0.7159090909090908,0.47725465482615753,0.7613636363636364,0.7666666666666667,0.7727272727272727,0.75,6,2,5,17
C388,-35.0,-35.229000000000006,-28.25500000000001,Repository_LR,22,8,0.8522727272727273,0.7840909090909092,0.5,0.7840909090909092,0.8,0.8181818181818182,0.75,6,2,4,18
C388,-35.0,-35.229000000000006,-28.25500000000001,ContactSeek_Top3_RF,22,8,0.5284090909090909,0.6420454545454546,0.3809783690149593,0.6647727272727273,0.8,0.9545454545454546,0.375,3,5,1,21
C388,-35.0,-35.229000000000006,-28.25500000000001,ContactSeek_CCR_RF,22,8,0.5113636363636365,0.6193181818181819,0.3887401946311393,0.6647727272727273,0.8,0.9545454545454546,0.375,3,5,1,21
C388,-25.0,-28.25500000000001,-20.66850000000001,Total_CP_LR,21,9,0.5661375661375662,0.6349206349206349,0.5155814036691606,0.6904761904761905,0.7,0.7142857142857143,0.6666666666666666,6,3,6,15
C388,-25.0,-28.25500000000001,-20.66850000000001,Interface_CP_LR,21,9,0.6878306878306879,0.7063492063492063,0.4691026240192022,0.753968253968254,0.8333333333333334,0.9523809523809523,0.5555555555555556,5,4,1,20
C388,-25.0,-28.25500000000001,-20.66850000000001,S4_S12_S24_LR,21,9,0.7195767195767196,0.7698412698412698,0.5240062777175366,0.7777777777777777,0.7333333333333333,0.6666666666666666,0.8888888888888888,8,1,7,14
C388,-25.0,-28.25500000000001,-20.66850000000001,Repository_LR,21,9,0.7883597883597884,0.6587301587301587,0.42159642161095556,0.753968253968254,0.8333333333333334,0.9523809523809523,0.5555555555555556,5,4,1,20
C388,-25.0,-28.25500000000001,-20.66850000000001,ContactSeek_Top3_RF,21,9,0.5978835978835979,0.5952380952380952,0.28150069189111077,0.6428571428571428,0.7666666666666667,0.9523809523809523,0.3333333333333333,3,6,1,20
C388,-25.0,-28.25500000000001,-20.66850000000001,ContactSeek_CCR_RF,21,9,0.47089947089947093,0.5714285714285714,0.39037238063261803,0.6190476190476191,0.7333333333333333,0.9047619047619048,0.3333333333333333,3,6,2,19
C388,-20.0,-20.66850000000001,-19.639500000000005,Total_CP_LR,20,10,0.505,0.6,0.5108025355910459,0.6499999999999999,0.6666666666666666,0.7,0.6,6,4,6,14
C388,-20.0,-20.66850000000001,-19.639500000000005,Interface_CP_LR,20,10,0.625,0.675,0.46794931954044566,0.725,0.8,0.95,0.5,5,5,1,19
C388,-20.0,-20.66850000000001,-19.639500000000005,S4_S12_S24_LR,20,10,0.69,0.7,0.5258388842929451,0.75,0.7,0.6,0.9,9,1,8,12
C388,-20.0,-20.66850000000001,-19.639500000000005,Repository_LR,20,10,0.81,0.7,0.5749657651069688,0.7250000000000001,0.6666666666666666,0.55,0.9,9,1,9,11
C388,-20.0,-20.66850000000001,-19.639500000000005,ContactSeek_Top3_RF,20,10,0.685,0.6,0.6407511887296532,0.7,0.7,0.7,0.7,7,3,6,14
C388,-20.0,-20.66850000000001,-19.639500000000005,ContactSeek_CCR_RF,20,10,0.665,0.675,0.6187514039339501,0.7,0.7,0.7,0.7,7,3,6,14
