,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,plddt_core_mean,core_anisotropy
p4_r5_she,0.009765625,0.9907016354955971,0.026394689370810243,0.00938093054019351,0.0009570312500000178,0.00390625,0.00244140625,0.0029687499999999645,0.01171875,-12.139999999999993,-0.809333333333333,-0.0050000000000002265,-0.15933333333333333,-0.12,-0.20000000000000018,-0.017578125,-0.8666666666666658,0.8471121972035434,-0.037401206129752396
p4_r5_she_plus_p7_r5_she,0.00390625,1.0158674708863202,-0.03318147430890028,0.015930944442362538,0.0024804687499999645,0.00390625,0.0019335937500000178,0.0034374999999999822,0.005859375,-11.959999999999994,-0.797333333333333,-0.004000000000000226,-0.16000000000000003,-0.12,-0.20000000000000018,-0.017578125,-0.8666666666666658,0.7475568061568225,-0.10729241500677311
p4_r5_sne,0.017578125,0.8436674665178288,0.0006845927636540683,0.005845361449972941,0.0032226562499997335,0.017578125,0.0033984375000000178,0.004863281250000018,0.01953125,-11.859999999999992,-0.7906666666666662,-0.007000000000000339,-0.16066666666666662,-0.12,-0.20000000000000018,-0.017578125,-0.7999999999999989,0.6798530082571972,-0.1326633088505531
p4_r5_sne_plus_p7_r5_sne,0.009765625,1.1288842526830791,-0.03180252123621097,-0.0004715551773841753,0.00572265624999968,0.0078125,0.0043554687500000355,0.005917968749999947,0.009765625,-12.079999999999991,-0.8053333333333335,-0.007500000000000395,-0.16400000000000003,-0.12,-0.20000000000000018,-0.01953125,-0.8666666666666658,0.8000444573045655,-0.22495262453678322
p4_r5_swd_plus_p7_r5_swd,0.0,1.3061039789637334,0.0035415658633055624,-0.08957326945263766,0.0012695312500001776,-0.00390625,-0.0005468749999999467,-0.0007031250000002487,0.001953125,-19.609999999999992,-1.3073333333333328,-0.17049999999999998,-0.33999999999999997,-0.07999999999999999,-0.40000000000000013,-0.0390625,-1.799999999999999,0.5661809276628844,-0.9210585791716603
p4_r5_the_plus_p7_r5_the,0.0,1.218251715255235,-0.09226744673007325,-0.015127187029961853,0.00023437499999978684,0.001953125,7.812499999992895e-05,0.0010351562499999467,0.001953125,-12.829999999999991,-0.8553333333333328,-0.0050000000000002265,-0.16400000000000003,-0.12,-0.20000000000000018,-0.01953125,-0.9333333333333327,0.9385389959449242,-0.2756798089710575
p5_r6_aye,-0.0078125,0.24675344340447225,0.027145256843412735,-0.017290408216751096,-0.0014355468750002487,-0.0087890625,-0.0013574218749998757,0.0008496093749998934,-0.0048828125,-9.524999999999991,-0.6349999999999998,-0.0050000000000002265,-0.09599999999999997,-0.06499999999999999,-0.13333333333333341,-0.0146484375,-0.7666666666666657,0.48359988476032356,-0.3466408972135593
p5_r6_nye,0.01171875,0.8579706378799159,0.012471235940155534,0.033922497807440166,0.0034765624999999467,0.0078125,0.003164062500000009,0.004570312500000062,0.013671875,-13.239999999999995,-0.8826666666666663,-0.0055000000000003935,-0.16133333333333333,-0.12,-0.20000000000000018,-0.021484375,-0.9999999999999991,0.7157683646986044,0.1353019677117313
p5_r6_sfe,-0.001953125,-0.22963624202402855,0.05192346843709461,-0.029193172405829415,-0.0008984375000000711,0.0,-0.0006054687499998934,-0.0008203124999999201,-0.001953125,0.5200000000000102,0.03466666666666729,0.0024999999999998357,0.004666666666666597,0.0,0.0,0.0,0.0,-0.07654595592163105,-0.4004101897501453
p5_r6_swd,0.00390625,1.1932124294000346,-0.029127879675478363,-0.0036568049944198933,-0.0023046875000001243,0.00390625,-0.002265624999999938,-0.0013671874999998668,0.005859375,-12.519999999999996,-0.8346666666666667,-0.006500000000000394,-0.16266666666666674,-0.12,-0.20000000000000018,-0.01953125,-0.9333333333333327,0.8386115258069964,-0.15124022896320533
