construct,CP_204_239,CP_196_235,CCR01_density,CCR02_density
10_130_r123_r567_r567_r56loop7_r67_no8,0.48750000000000004,0.6,3.21,3.0991666666666666
11_130_r123_r567_r567_r56loop7_r67loop8,0.5375,0.6125,3.1966666666666663,3.0991666666666666
12_130_r123456654loop328,0.0,0.9725,3.7191666666666667,2.901666666666667
13_130_r12345665432loop8,0.0,0.9800000000000001,3.7216666666666667,2.9050000000000002
14_130_r123456734loop568,0.0,0.99,3.6758333333333333,2.9091666666666667
15_130_r12345673456loop8,0.0,0.99,3.6766666666666667,2.9075
16_130_r12365673156loop8,0.0175,0.9800000000000001,3.7483333333333335,3.4625000000000004
1_130_r123_r567_r567_r67_no_loop_8,0.385,0.585,3.2175,3.085
2_130_r123_r567_r5loop67_r678,0.2825,0.4675,3.2383333333333333,3.035
3_130_r123_r567_r56loop7_r678,0.2825,0.52,3.2408333333333332,3.0725000000000002
4_130_r123_r567_r567_rloop678,0.29,0.5125,3.2058333333333335,3.0616666666666665
5_130_r123_r567_r567_r6loop78,0.3225,0.5425,3.23,3.0766666666666667
7_130_r123_r567_r567_rloop67loop8,0.4025,0.595,3.2441666666666666,3.0516666666666667
8_130_r123_r567_r567_r6loop7loop8,0.39,0.5875,3.2266666666666666,3.0916666666666663
9_130_r123_r567_r567_r567_r67loop8,0.6174999999999999,0.6475,3.1733333333333333,3.044166666666667
