construct,design_id,length,repeat_count,loop_count,iptm,ptm,plddt_p10,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,XGB_score,RF_score,LR_score,formula4_score,nearest_old,sequence_similarity_ratio,exact_old_match,n_seeds,XGB_seed_positive_count,XGB_seed_min,XGB_seed_max,S12_seed_sd,outside_summary_ranges,outside_summary_range_count
9_130_r123_r567_r567_r567_r67loop8,9.0,620.0,15.0,1.0,0.9200000000000002,0.8299999999999998,84.07441098484848,1.369758064516129,91.94852197630102,1.557749205827713,4.26106481552124,2.4644354581832886,2.443548387096774,1.38814115524292,1.1878911256790161,1.166532258064516,50.78749942779541,3.9067307114601135,0.9857499450445177,0.822692334651947,0.09500000253319735,0.7692307692307693,0.0580645161290322,3.5384615384615388,0.75572133,0.7615513130059832,0.9557240982793938,0.8148571099030227,puf12_r123_r567_r567_r678,0.8886925795053003,,4.0,4.0,0.75572133,0.75572133,0.004032258064516148,pp_nonlocal4_per_res;pp_nonlocal4_high_per_res;pp_nonlocal12_per_res;pp_nonlocal12_high_per_res;pp_nonlocal24_per_res;pp_nonlocal24_high_per_res,6.0
10_130_r123_r567_r567_r56loop7_r67_no8,10.0,620.0,15.0,1.0,0.921,0.828,80.75799549242424,1.3536290322580644,90.66123791108086,1.6316883862018585,4.192192578315734,2.4542499780654907,2.4036290322580647,1.3801652789115906,1.1814879179000854,1.1540322580645161,50.66250228881836,3.8971155881881714,0.9859999716281893,0.8194230794906616,0.0875000022351741,0.7692307692307693,0.058467741935483826,3.557692307692308,0.75572133,0.752358969401875,0.9246642683296614,0.8245289078814247,puf12_r123_r567_r5loop67_loopr678,0.8778359511343804,,4.0,4.0,0.75572133,0.75572133,0.01187977408278727,pp_nonlocal4_per_res;pp_nonlocal4_high_per_res;pp_nonlocal12_per_res;pp_nonlocal12_high_per_res;pp_nonlocal24_per_res;pp_nonlocal24_high_per_res,6.0
11_130_r123_r567_r567_r56loop7_r67loop8,11.0,627.0,15.0,2.0,0.9230000000000002,0.8254999999999999,81.38111555555555,1.3437001594896332,90.86298935904384,1.65781387090683,4.207130551338196,2.454625189304352,2.4047049441786283,1.3707735538482666,1.1777751445770264,1.1495215311004785,50.71000099182129,3.900769293308258,0.987124964594841,0.8234615474939346,0.0900000035762786,0.7692307692307693,0.0578149920255183,3.557692307692308,0.75572133,0.7637081757510813,0.9092453829672007,0.8001601274761652,puf12_r123_r567_r5loop67_loopr678,0.8846487424111015,,4.0,4.0,0.75572133,0.75572133,0.003320041466453079,pp_nonlocal4_per_res;pp_nonlocal4_high_per_res;pp_nonlocal12_per_res;pp_nonlocal12_high_per_res;pp_nonlocal24_per_res;pp_nonlocal24_high_per_res,6.0
7_130_r123_r567_r567_rloop67loop8,7.0,519.0,12.0,2.0,0.923,0.8565,79.14147357864357,1.323699421965318,90.51774184328838,1.7447137653827667,4.294805121421814,2.4327697157859802,2.3858381502890174,1.3508429527282715,1.1568882167339325,1.1276493256262043,50.92750072479248,3.917500078678131,0.9917499870061874,0.8409616351127625,0.0900000035762786,0.8076923076923077,0.071290944123314,3.653846153846154,0.75572133,0.7373500408813781,0.7846527382849852,0.6505140784140374,puf12_r123_r567_r5loop67_loopr678,0.9933014354066986,,4.0,3.0,0.2670044,0.75572133,0.006093020539823452,pp_nonlocal24_high_per_res,1.0
8_130_r123_r567_r567_r6loop7loop8,8.0,519.0,12.0,2.0,0.9249999999999999,0.8594999999999999,80.1784114033189,1.3164739884393064,90.97296681444224,1.5922517418861388,4.317324423789978,2.4294798374176025,2.38728323699422,1.3472109735012054,1.1505779922008514,1.1146435452793835,50.997501373291016,3.922884702682495,0.9933749586343763,0.8438462316989899,0.10000000149011609,0.7884615384615385,0.071290944123314,3.634615384615385,0.61930037,0.7660038553807914,0.73580059323593,0.6362279526362429,puf12_r123_r567_r567_r678,0.9932104752667313,,4.0,4.0,0.61930037,0.73299557,0.0032906071823891434,pr_top20_mean;pp_nonlocal4_high_per_res,2.0
1_130_r123_r567_r567_r67_no_loop_8,1.0,505.0,12.0,0.0,0.923,0.8624999999999999,80.45710515151515,1.3326732673267327,91.60065118404697,1.4676996529102326,4.312637996673584,2.411519765853882,2.378712871287129,1.3589109182357788,1.154598981142044,1.1277227722772276,50.86250019073486,3.912500023841859,0.9933749586343763,0.8438462466001511,0.09500000253319735,0.8076923076923077,0.0722772277227722,3.615384615384616,0.3806996,0.7796745597721855,0.7732698619914751,0.7035200884914117,puf12_r123_r567_r567_r678,0.9931170108161259,,4.0,3.0,0.3806996,0.75572133,0.008244221780063989,pr_top20_mean;pp_nonlocal12_high_per_res;pp_nonlocal24_high_per_res,3.0
4_130_r123_r567_r567_rloop678,4.0,512.0,12.0,1.0,0.915,0.853,78.67812105699856,1.3232421875,90.27743490587375,1.785567307472229,4.267768287658691,2.4203906655311584,2.3740234375,1.3538086414337158,1.1534863412380219,1.12255859375,49.507497787475586,3.8082690834999084,0.981499969959259,0.8198077380657196,0.11000000126659865,0.7884615384615385,0.06982421875,3.5000000000000004,0.3806996,0.7717380345957344,0.7642242244456697,0.6736149770388667,puf12_r123_r567_r5loop67_loopr678,0.9865125240847784,,4.0,0.0,0.35295653,0.3806996,0.0025214735326871203,,0.0
12_130_r123456654loop328,12.0,513.0,12.0,1.0,0.9215000000000001,0.86,75.75019003607505,1.2987329434697856,90.12626713912306,1.7058997213840486,4.30403847694397,2.402772903442383,2.3455165692007798,1.3443079888820648,1.1622270941734314,1.1228070175438596,54.38750171661377,4.183654069900513,0.9934999346733091,0.8376923203468323,0.0900000035762786,0.7692307692307693,0.07748538011695902,4.038461538461538,0.2670044,0.3972180252189498,0.6301261653382992,0.5800994352642705,puf12_r123_r567_r6loopr7_r5loop678,0.7507218479307026,,4.0,0.0,0.24427862,0.2670044,0.006440619753605902,pr_cp_sum;pr_cp_per_nt;pr_top20_mean;pr_high_contacts_per_nt;pp_nonlocal24_per_res,5.0
5_130_r123_r567_r567_r6loop78,5.0,512.0,12.0,1.0,0.9215000000000001,0.8594999999999999,79.55075018578643,1.31640625,90.66634311297969,1.628047412633896,4.3180865287780765,2.413935601711273,2.36865234375,1.346484363079071,1.1442822217941284,1.11083984375,51.000000953674316,3.9230770468711853,0.9932499825954435,0.8436539471149445,0.10000000149011609,0.8076923076923077,0.0712890625,3.615384615384616,0.24427862,0.5127559143653052,0.6812315063666545,0.622149978006438,puf12_r123_r567_r567_r678,0.986328125,,4.0,0.0,0.24427862,0.35295653,0.004784159653873394,pr_top20_mean,1.0
3_130_r123_r567_r56loop7_r678,3.0,512.0,12.0,1.0,0.926,0.8604999999999999,79.10262314213564,1.30810546875,90.78705651157924,1.5443603456020356,4.285419583320618,2.4074756503105164,2.3408203125,1.3436132967472076,1.1483251750469208,1.11572265625,50.88500118255615,3.914230883121491,0.9928750246763227,0.8409616500139236,0.09250000305473798,0.7692307692307693,0.072265625,3.615384615384616,0.24427862,0.3918204453073743,0.6433426400483647,0.6620405289033827,puf12_r123_r567_r567_r678,0.986328125,,4.0,0.0,0.24427862,0.24427862,0.0018699748198365979,,0.0
2_130_r123_r567_r5loop67_r678,2.0,512.0,12.0,1.0,0.9255,0.8574999999999999,76.83699438492063,1.2978515625,89.99313859736455,1.7940428018569947,4.2646883726119995,2.422412157058716,2.3369140625,1.3599218428134918,1.157958984375,1.09765625,51.0649995803833,3.9280769228935246,0.9926250129938125,0.8400000631809235,0.0900000035762786,0.7692307692307693,0.07177734375,3.5961538461538467,0.24427862,0.25040076355543445,0.6616813333027917,0.6187860609120835,puf12_r123_r567_r5loop67_r678,0.9932104752667313,,4.0,0.0,0.24427862,0.24427862,0.013389950391408289,pp_nonlocal12_per_res,1.0
14_130_r123456734loop568,14.0,513.0,12.0,1.0,0.922,0.86,73.96744716450218,1.2821637426900585,89.85115988695082,1.7188756883144378,4.269808602333069,2.384580910205841,2.322124756335283,1.3286648094654083,1.1342154741287231,1.0916179337231968,53.35750198364258,4.10442316532135,0.9951249957084656,0.8388461768627167,0.08249999955296511,0.7692307692307693,0.074074074074074,3.846153846153846,0.24427862,0.04608755375992754,0.4143946138826972,0.5838634954148064,puf12_r123_r567_r6r7_r5678,0.7551219512195122,,4.0,0.0,0.24427862,0.24427862,0.002923976608187341,pr_cp_sum;pr_cp_per_nt;pr_top20_mean;pr_high_contacts_per_nt,4.0
15_130_r12345673456loop8,15.0,513.0,12.0,1.0,0.9255,0.8654999999999999,76.20996354256854,1.2714424951267056,90.1504017702435,1.6313070476055145,4.338703870773315,2.366871476173401,2.3089668615984404,1.3149464130401611,1.1252436935901642,1.0833333333333335,53.46750259399414,4.112884879112244,0.9958749860525132,0.8398077636957169,0.0900000035762786,0.7692307692307693,0.074074074074074,3.846153846153846,0.24427862,0.04608755375992754,0.2991173510009965,0.4815838001012253,puf12_r123_r567_r6r7_r5678,0.7609756097560976,,4.0,0.0,0.24427862,0.24427862,0.0018663296447491728,pr_cp_sum;pr_cp_per_nt;pr_top20_mean;pr_high_contacts_per_nt;pp_nonlocal4_per_res,5.0
13_130_r12345665432loop8,13.0,513.0,12.0,1.0,0.9249999999999999,0.8334999999999999,62.2174375,1.239766081871345,87.11021391740434,2.2643341302871702,4.3307973623275755,2.3447123169898987,2.2602339181286553,1.303318738937378,1.1246978342533112,1.074074074074074,54.065001487731934,4.1588462591171265,0.9934999346733091,0.8386538922786713,0.0875000022351741,0.7692307692307693,0.07699805068226115,4.0576923076923075,0.24427862,0.04346850614087992,0.1627042257695036,0.2718580082015726,puf12_r123_r567_r6r7_r5678,0.7551219512195122,,4.0,0.0,0.24427862,0.24427862,0.006366445075459942,pr_cp_sum;pr_cp_per_nt;pr_top20_mean;pr_high_contacts_per_nt;pp_nonlocal4_per_res,5.0
16_130_r12365673156loop8,16.0,513.0,12.0,1.0,0.9215000000000001,0.8304999999999999,65.59683694444445,1.2183235867446394,87.04319082104813,2.254375636577606,4.340678763389588,2.3457359075546265,2.2553606237816766,1.2863011360168457,1.1041569113731384,1.0482456140350878,52.767499923706055,4.059038400650024,0.9925000071525574,0.841153934597969,0.10000000149011609,0.7692307692307693,0.074074074074074,3.75,0.24427862,0.019567089130734263,0.0957278399253275,0.2260533885820377,puf12_r123_r567_r6r7_r5678,0.7531707317073171,,4.0,0.0,0.24427862,0.24427862,0.009143110642930717,pr_cp_sum;pr_cp_per_nt;pp_nonlocal4_per_res;pp_nonlocal12_per_res;pp_nonlocal24_per_res,5.0
