,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,plddt_core_mean,core_anisotropy
p4_r5_she,-0.021484375,-1.077401623517531,0.06085148123731354,0.06725308859122148,-0.004277343750000107,-0.033203125,-0.004199218749999956,0.002363281250000071,-0.015625,-9.009999999999998,-0.6006666666666667,-0.30300000000000016,-0.24933333333333335,-0.07,-0.3333333333333333,-0.033203125,-1.5333333333333337,-0.6254780485075315,0.7288962206335423
p4_r5_she_plus_p7_r5_she,0.005859375,0.1988341441761463,0.06584852971962318,0.017970578838545137,0.004374999999999574,0.00390625,0.0024023437500000355,0.002363281250000071,0.001953125,-3.259999999999998,-0.21733333333333338,-0.12050000000000016,-0.1100000000000001,0.0,-0.06666666666666665,0.0,-0.06666666666666687,0.0129562889142818,0.02487247596423181
p4_r5_sne,0.0078125,0.400071048797102,0.041962255621978306,-0.00464827137932744,0.00146484375,0.0,0.0025000000000001688,0.0016796874999998046,0.0078125,-2.5799999999999983,-0.17200000000000015,-0.04750000000000021,-0.04600000000000015,0.0,-0.06666666666666665,-0.001953125,-0.13333333333333375,0.2863170708407097,-0.10068789209368845
p4_r5_sne_plus_p7_r5_sne,0.001953125,0.08968576670726236,0.011908036276322642,-0.010450115706118979,0.0018554687499996447,0.001953125,0.0011132812499998757,0.002285156250000142,0.001953125,-0.7899999999999991,-0.05266666666666664,-0.07350000000000012,-0.03866666666666674,0.010000000000000009,0.0,-0.001953125,0.0,-0.0042251838824540755,-0.29461040858861587
p4_r5_swd_plus_p7_r5_swd,-0.001953125,-0.011194711907023702,-0.04436215574316682,0.034877701779455705,0.00212890624999984,-0.00390625,-0.0008203124999999201,-0.0011914062500000266,-0.001953125,-10.659999999999997,-0.7106666666666666,-0.14750000000000008,-0.18600000000000022,-0.09,-0.19999999999999996,-0.017578125,-0.8,-0.21071372755329776,0.2986245234912648
p4_r5_the_plus_p7_r5_the,-0.015625,-0.35771910891841685,-0.03874275069963162,0.05725339056148737,-0.0005468750000003908,-0.013671875,-0.0016015624999998757,-0.0019921874999999645,-0.013671875,-10.799999999999997,-0.7199999999999998,-0.4675000000000001,-0.37133333333333346,-0.06,-0.6000000000000001,-0.056640625,-2.4000000000000004,-0.4113460913700351,0.36673883079695635
p5_r6_aye,0.00390625,-0.02193667224703688,-7.950079982066427e-05,-0.003955529347843267,0.0020898437499998757,0.00390625,0.0019140625000000355,0.0010742187499999112,0.001953125,-2.25,-0.1499999999999999,-0.03000000000000025,-0.03533333333333344,-0.020000000000000004,0.0,0.0,-0.06666666666666687,0.02349379091846515,-0.1923403707501592
p5_r6_nye,0.00390625,0.32070851765422503,-0.0068204260170048325,0.11643513034275266,0.0039453124999999645,-0.001953125,0.003671874999999991,0.005019531249999876,0.005859375,-3.769999999999996,-0.25133333333333363,-0.006000000000000227,-0.04000000000000015,-0.08,0.0,0.00390625,0.2666666666666666,0.21609161021592627,1.127699902999188
p5_r6_sfe,0.00390625,-0.15069153617649533,0.04839361786116836,-0.030503402022908688,0.0022265624999997513,0.001953125,0.00162109375000008,0.0007812499999999556,0.001953125,-1.0899999999999963,-0.07266666666666621,-0.017000000000000015,-0.029333333333333433,0.0,-0.06666666666666665,-0.001953125,-0.13333333333333375,-0.16840584699509975,-0.33165990653082567
p5_r6_swd,-0.01171875,0.09402160951027838,-0.08841668947435699,0.13411735129802782,-0.0067968750000000355,-0.01953125,-0.0058984374999999645,-0.005683593749999938,-0.01171875,-9.699999999999996,-0.646666666666667,-0.14750000000000008,-0.17399999999999993,-0.09,-0.19999999999999996,-0.017578125,-0.6666666666666667,-0.018470198011854677,1.3903850307946808
