,rms_519_denominator
p4_r5_she,0.05819761255081935
p4_r5_she_plus_p7_r5_she,0.014927785922559823
p4_r5_sne,0.008146065400111284
p4_r5_sne_plus_p7_r5_sne,0.007493092515963876
p4_r5_swd_plus_p7_r5_swd,0.06885334819835995
p4_r5_the_plus_p7_r5_the,0.06025763569008941
p5_r6_aye,0.0072738876285752905
p5_r6_nye,0.08183485100366805
p5_r6_sfe,0.004489336541393199
p5_r6_swd,0.07082104052914884
p5_r6_syq,0.008175970870720469
p5_r6_thn,0.02366106205177848
p5_r6_twd,0.07883463990900529
p5_r6_tye,0.012111131734145412
p5_r6_vfn,0.05975963414239055
p6_r7_qfw,0.016274776082780284
p6_r7_qrw,0.06768025243989234
p6_r7_trq,0.0626046715032271
p6_r7_wfd,0.06116530556622466
p6_r7_wfq,0.08533563640919069
p7_r5_syvirr,0.058787142019281036
p8_r6_gve,0.06309640298277043
