CCR,construct,seed,density,success
CCR01,puf12_r123_r5678_r56788,1,2.629999876022339,0
CCR01,puf12_r123_r5678_r56788,2,2.623333215713501,0
CCR01,puf12_r123_r5678_r56788,3,2.620000123977661,0
CCR01,puf12_r123_r5678_r56788,4,2.6566667556762695,0
CCR01,puf12_r123_r5678_r5loop6788,1,2.5966665744781494,0
CCR01,puf12_r123_r5678_r5loop6788,2,2.5966665744781494,0
CCR01,puf12_r123_r5678_r5loop6788,3,2.566666603088379,0
CCR01,puf12_r123_r5678_r5loop6788,4,2.5966665744781494,0
CCR01,puf12_r123_r567_r567_r678,2,3.186666488647461,1
CCR01,puf12_r123_r567_r567_r678,3,3.18999981880188,1
CCR01,puf12_r123_r567_r567_r678,4,3.200000047683716,1
CCR01,puf12_r123_r567_r567_r678,5,3.2266666889190674,1
CCR01,puf12_r123_r567_r567_r678,6,3.2266666889190674,1
CCR01,puf12_r123_r567_r5loop67_loopr678,1,3.066666841506958,1
CCR01,puf12_r123_r567_r5loop67_loopr678,2,3.193333387374878,1
CCR01,puf12_r123_r567_r5loop67_loopr678,3,3.18999981880188,1
CCR01,puf12_r123_r567_r5loop67_loopr678,4,3.2033331394195557,1
CCR01,puf12_r123_r567_r5loop67_r678,1,3.1766669750213623,0
CCR01,puf12_r123_r567_r5loop67_r678,2,3.2100000381469727,0
CCR01,puf12_r123_r567_r5loop67_r678,3,3.2333333492279053,0
CCR01,puf12_r123_r567_r5loop67_r678,4,3.196666717529297,0
CCR01,puf12_r123_r567_r6loopr7_r5678,1,2.736666679382324,0
CCR01,puf12_r123_r567_r6loopr7_r5678,2,2.7233333587646484,0
CCR01,puf12_r123_r567_r6loopr7_r5678,3,2.7300002574920654,0
CCR01,puf12_r123_r567_r6loopr7_r5loop678,1,2.7133333683013916,0
CCR01,puf12_r123_r567_r6loopr7_r5loop678,2,2.696666717529297,0
CCR01,puf12_r123_r567_r6loopr7_r5loop678,3,2.669999837875366,0
CCR01,puf12_r123_r567_r6loopr7_r5loop678,4,2.676666498184204,0
CCR01,puf12_r123_r567_r6r7_r5678,1,2.6666667461395264,1
CCR01,puf12_r123_r567_r6r7_r5678,2,2.680000066757202,1
CCR01,puf12_r123_r567_r6r7_r5678,3,2.696666717529297,1
CCR01,puf12_r123_r567_r6r7_r5678,4,2.683333396911621,1
CCR01,puf_11_loopr8,1,2.580000162124634,0
CCR01,puf_11_loopr8,2,2.566666603088379,0
CCR01,puf_11_loopr8,3,2.569999933242798,0
CCR01,puf_11_loopr8,4,2.553333282470703,0
CCR01,puf_11_r8,1,2.570000171661377,0
CCR01,puf_11_r8,2,2.5233333110809326,0
CCR01,puf_11_r8,3,2.5466666221618652,0
CCR01,puf_11_r8,4,2.553333282470703,0
CCR01,puf_12_loopr4loopr4,1,2.5766665935516357,0
CCR01,puf_12_loopr4loopr4,2,2.573333501815796,0
CCR01,puf_12_loopr4loopr4,3,2.553333282470703,0
CCR01,puf_12_loopr4loopr4,4,2.5466666221618652,0
CCR01,puf_12_loopr4r4,1,2.553333282470703,0
CCR01,puf_12_loopr4r4,2,2.5999999046325684,0
CCR01,puf_12_loopr4r4,3,2.569999933242798,0
CCR01,puf_12_loopr4r4,4,2.5866668224334717,0
