construct,pp_nonlocal4_high_per_res_outside,pp_nonlocal12_high_per_res_outside,pp_nonlocal24_high_per_res_outside
P4-R5-ETD,True,False,False
P4-R5-SHE,True,True,True
P4-R5-SHE+P7-R5-SHE,True,True,True
P4-R5-SNE,False,False,False
P4-R5-SNE+P7-R5-SNE,True,True,True
P4-R5-SWD+P7-R5-SWD,False,False,False
P4-R5-THE+P7-R5-THE,False,False,False
P4-R5-YTH+P7-R5-YTH,True,False,False
P4-R5-YYE+P7-P5-YYE,False,False,False
P5-R6-AYE,False,False,False
P5-R6-DFE,True,False,False
P5-R6-FWD,True,False,False
P5-R6-LRD,False,False,False
P5-R6-NYE,True,False,False
P5-R6-SFE,False,False,False
P5-R6-SWD,False,False,False
P5-R6-SYQ,False,False,False
P5-R6-THN,True,False,False
P5-R6-TTE,True,False,False
P5-R6-TWD,False,False,False
P5-R6-TYE,True,False,False
P5-R6-VFN,False,False,False
P6-R7-MHQ,True,True,True
P6-R7-QFW,False,False,False
P6-R7-QRW,False,False,False
P6-R7-TRQ,False,False,False
P6-R7-WFD,False,False,False
P6-R7-WFQ,False,False,False
P7-R5-SYVIRR,False,False,True
P8-R6-GVE,False,False,True
PUF12-9,False,False,False
