endpoint,feature,importance,total_weight_fraction
C388,TRM12_aa_A,0.0958214465310095,0.006942535744504004
C388,TRM12_aa_C,0.2488907221113922,0.01803283917420892
C388,TRM12_aa_D,0.16446854634922428,0.011916212948283841
C388,TRM12_aa_E,0.11783580639555429,0.008537538593918474
C388,TRM12_aa_F,0.09996455272724912,0.0072427155466463266
C388,TRM12_aa_G,0.10312809630768473,0.007471923257253814
C388,TRM12_aa_L,0.037463527696375655,0.0027143389039022015
C388,TRM12_aa_M,0.026780711538602314,0.0019403385552088119
C388,TRM12_aa_N,0.17534406087257456,0.012704174840445398
C388,TRM12_aa_P,0.14669350165233142,0.01062836051403365
C388,TRM12_aa_Q,0.2506296849375755,0.018158831966179914
C388,TRM12_aa_R,0.05384937750276115,0.003901540225770065
C388,TRM12_aa_S,0.2750980825376855,0.019931636814148116
C388,TRM12_aa_T,0.17172111348965235,0.012441682020549856
C388,TRM12_aa_V,0.11066144459540843,0.00801773572050435
C388,TRM12_aa_W,0.10158325265704686,0.0073599949504654935
C388,TRM12_aa_Y,0.08946926680080736,0.006482302295427752
C388,TRM12_hydropathy_change,0.21903949250022725,0.015870032870446416
C388,TRM12_charge_change,0.14058762030323266,0.010185972081668456
C388,TRM12_aromatic_change,0.07407817028461348,0.005367173672565568
C388,TRM12_small_change,0.2858493992187581,0.020710600220160504
C388,TRM13_aa_A,0.09647101089859161,0.006989598526413016
C388,TRM13_aa_F,0.09760628577659729,0.007071852413259122
C388,TRM13_aa_G,0.01970025697378465,0.0014273395275049739
C388,TRM13_aa_H,0.12337203528933734,0.008938654089210088
C388,TRM13_aa_K,0.149805143024674,0.010853807762365211
C388,TRM13_aa_L,0.14942427779092524,0.010826212995276363
C388,TRM13_aa_M,0.023065858390022523,0.0016711869017608317
C388,TRM13_aa_N,0.18600030963462744,0.013476250305919998
C388,TRM13_aa_P,0.09870469646455649,0.007151435384914993
C388,TRM13_aa_R,0.048462607412381085,0.003511253444952307
C388,TRM13_aa_S,0.05264772967977518,0.0038144774306922875
C388,TRM13_aa_T,0.0431093203142936,0.0031233926019516
C388,TRM13_aa_V,0.10312809630768473,0.007471923257253814
C388,TRM13_aa_W,0.18188541265589464,0.013178114341644412
C388,TRM13_aa_Y,0.08518063992702747,0.0061715791072068146
C388,TRM13_hydropathy_change,0.09474376902156172,0.006864454950472492
C388,TRM13_charge_change,0.09327336918111344,0.0067579203090055474
C388,TRM13_aromatic_change,0.10962627884638136,0.007942735024164612
C388,TRM13_small_change,0.06180691462760431,0.004478086374126977
C388,TRM16_aa_D,0.08025230548179184,0.005814507289930021
C388,TRM16_aa_E,0.13717693803312536,0.009938858471609325
C388,TRM16_aa_G,0.1110213218139466,0.008043809846326749
C388,TRM16_aa_H,0.050910107670388914,0.003688581784703505
C388,TRM16_aa_K,0.11146471623266622,0.008075935030325911
C388,TRM16_aa_L,0.11401558960034693,0.008260753045248025
C388,TRM16_aa_N,0.11064614889514357,0.008016627503610632
C388,TRM16_aa_P,0.23237005478911468,0.01683586994069966
C388,TRM16_aa_Q,0.019628922071942532,0.0014221711114165221
C388,TRM16_aa_R,0.23327487972053873,0.016901427074894008
C388,TRM16_aa_W,0.18957155688068883,0.01373499730417387
C388,TRM16_aa_Y,0.03065733623061143,0.0022212110160893766
C388,TRM16_hydropathy_change,0.04986348495044892,0.0036127509983059952
C388,TRM16_charge_change,0.26725403012984855,0.01936331295561038
C388,TRM16_aromatic_change,0.12035472321654879,0.008720041266339804
C388,TRM16_small_change,0.1110213218139466,0.008043809846326749
C388,sequence_source_R1_count,0.11701076517343743,0.008477762015891323
C388,sequence_source_R2_count,0.17749436046759945,0.01285997014870159
C388,sequence_source_R3_count,0.12024105919310916,0.008711805985260652
C388,sequence_source_R5_count,0.17915249707245987,0.012980106851551182
C388,sequence_source_R6_count,0.16558973820652276,0.011997446480311794
C388,sequence_source_R7_count,0.25011535218277897,0.01812156709840745
