ID,construct,success,protein_length,pp_nonlocal12_high_per_res,pr_cp_sum
C01,puf12_r123_r567_r567_r678,1,512.0,1.324609375,50.756
C02,puf12_r123_r567_r5loop67_loopr678,1,526.0,1.317965779467681,43.795
C03,puf12_r123_r567_r6r7_r5678,1,512.0,1.31689453125,51.105
C04,puf12_r123_r567_r5loop67_r678,0,519.0,1.3073217726396915,50.88
C05,puf12_r123_r567_r6loopr7_r5678,0,519.0,1.2999357739242132,50.94
C06,puf12_r123_r5678_r56788,0,512.0,1.27197265625,51.5625
C07,puf_12_r4r4,0,513.0,1.267056530214425,48.545
C08,puf_11_loopr8,0,483.0,1.2608695652173914,51.08
C09,puf_11_r8,0,476.0,1.259453781512605,51.0625
C10,puf_12_loopr4r4,0,520.0,1.25,47.02
C11,puf12_r123_r567_r6loopr7_r5loop678,0,526.0,1.2480988593155895,51.142500000000005
C12,puf12_r123_r5678_r5loop6788,0,519.0,1.2369942196531791,51.1425
C13,puf_12_r4loopr4,0,520.0,1.234134615384615,46.57
C14,puf_12_loopr4loopr4,0,527.0,1.189278937381404,42.5575
