predicted_rank,construct_id,predicted_S,measured_S,measured_rank,C295,C388,C871
1,p4_r5_swd_plus_p7_r5_swd,0.326033,0.245445,25,0.183455,0.518925,0.363505
2,35_p9_ran,0.313061,0.263402,20,0.376755,0.574335,0.245110
3,33_p9_nwp,0.309008,0.287790,17,0.171755,0.448895,0.150455
4,30_p9_nps,0.299242,0.375060,8,0.255200,0.604600,0.203880
5,31_p9_nsg,0.295190,0.344948,11,0.294915,0.600605,0.216400
6,13_p1_swd,0.284708,0.318135,15,0.231970,0.645755,0.423270
7,p4_r5_she_plus_p7_r5_she,0.283575,0.210560,40,0.368960,0.753140,0.716200
8,28_p9_nfw,0.281536,0.262528,21,0.364670,0.697685,0.505645
9,32_p9_ntq,0.281402,0.422308,6,0.230325,0.629785,0.184630
10,25_p9_gns,0.280677,0.342197,13,0.305515,0.626795,0.263680
11,47_p11_crr,0.274621,0.181042,53,0.167880,0.456870,0.383775
12,46_p11_ckr,0.272092,0.211803,39,0.433605,0.761975,0.666740
13,p8_r6_gve,0.268984,0.481312,2,0.252230,0.658565,0.102275
