name,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,plddt_core_mean,core_anisotropy
p4_r5_etd_c295,1.341796875,92.3710423306728,1.4020558583694076,4.370654683276262,2.42671875,2.40625,1.3580664062499999,1.15794921875,1.138671875,47.25,3.15,0.9164999999999999,0.6766666666666669,0.19,0.6666666666666666,0.064453125,2.7333333333333334,95.26895093811795,15.44758500173987
p4_r5_etd_c388,1.328125,91.87070552356712,1.4538144003682074,4.32257791499964,2.42673828125,2.39453125,1.3579296875,1.1560546875,1.125,59.56,3.9706666666666672,0.9894999999999999,0.8493333333333336,0.1,0.8666666666666668,0.0859375,3.8,94.9750469035594,15.404014680714525
p4_r5_etd_c871,1.326171875,92.04957243796785,1.4463055675442382,4.3749828181626995,2.42619140625,2.392578125,1.3576171875,1.1580859375,1.123046875,46.97,3.131333333333333,0.9789999999999998,0.6719999999999999,0.03,0.6666666666666666,0.068359375,2.8666666666666667,95.16954509663432,15.462762419699644
p4_r5_she_c295,1.310546875,91.36232040254667,1.475947803983304,4.4028851467121815,2.4198046874999997,2.3671875,1.35232421875,1.15759765625,1.11328125,38.78,2.5853333333333333,0.5615,0.4040000000000001,0.06,0.3333333333333333,0.025390625,0.9333333333333333,94.73074874271819,16.153838938009862
p4_r5_she_c388,1.337890625,92.25493849572737,1.3512020717933964,4.247041430068009,2.42607421875,2.400390625,1.35751953125,1.1552148437499998,1.134765625,50.239999999999995,3.349333333333333,0.966,0.7319999999999999,0.14,0.7333333333333333,0.0625,2.7333333333333334,95.13623841056064,14.726746661004237
p4_r5_she_c871,1.3359375,92.14325925113299,1.5033250841702397,4.359299744998431,2.423671875,2.396484375,1.3574609375,1.15626953125,1.1328125,47.79,3.186,0.9859999999999998,0.6773333333333333,0.03,0.6666666666666666,0.0703125,3.0,95.35396244588746,15.573646815467924
p4_r5_she_plus_p7_r5_she_c295,1.337890625,92.63855617024035,1.4809448524656135,4.353602636959505,2.42845703125,2.404296875,1.35892578125,1.15759765625,1.130859375,44.53,2.9686666666666666,0.744,0.5433333333333333,0.13,0.6,0.05859375,2.4,95.36918308014002,15.449815193340552
p4_r5_she_plus_p7_r5_she_c388,1.3359375,92.18357447155708,1.4173060301362759,4.289228632848547,2.425859375,2.40234375,1.3558203125,1.1554101562499999,1.1328125,49.959999999999994,3.3306666666666667,0.9539999999999997,0.7286666666666667,0.17,0.7333333333333333,0.0625,2.7333333333333334,94.99195346153331,15.049264303931626
p4_r5_she_plus_p7_r5_she_c871,1.330078125,92.16842508652373,1.4437489204905292,4.3658497589006,2.4251953125,2.396484375,1.356953125,1.15673828125,1.126953125,47.97,3.198,0.9869999999999998,0.6766666666666666,0.03,0.6666666666666666,0.0703125,3.0,95.25440705484074,15.503755606590904
p4_r5_sne_c295,1.33984375,92.83979307486133,1.4570585783679688,4.3309837867416325,2.425546875,2.400390625,1.3590234374999999,1.1569140624999998,1.13671875,45.209999999999994,3.014,0.817,0.6073333333333333,0.13,0.6,0.056640625,2.3333333333333335,95.64254386206645,15.324254825282633
