construct,plddt_protein_mean,plddt_protein_p10,plddt_core_mean,plddt_core_below70,pae_protein_mean,pae_contact_weighted,pae_RNA_symmetric,Rg_CA_A,Rg_core_CA_A,Rg_core_length_normalized,core_max_CA_distance_A,core_anisotropy,core_density_mean,core_density_sd,core_density_p10,core_high_density_mean
puf12_r123_r5678_r56788,90.64921645550088,79.57265704365079,93.98739596114083,0.00023148148148148146,7.95525,1.5802925,6.7179003,34.995842,31.63881,4.18529,89.6164119794845,15.306132148283984,2.920816,1.7456226,0.5195,2.8472223
puf12_r123_r5678_r5loop6788,89.05932533572721,74.81744314213564,92.55938366640112,0.03402777777777778,8.864252,1.9665511,7.189463,34.918945,31.627222,4.183757,88.79080153437573,15.28744153058386,2.9402373,1.723417,0.56675,2.7997684
puf12_r123_r567_r567_r678,91.54244380011048,80.70300058441559,94.90358754282241,0.0,7.4763565,1.4764194,6.655318,34.58596,31.543045,4.1726217,88.3190813073954,15.475573489581535,3.027116,1.7779478,0.56460005,2.9754632
puf12_r123_r567_r5loop67_loopr678,89.19521956443165,75.12789715007216,92.70157231992545,0.01921296296296296,8.887696,1.9601834,7.8363366,33.970985,30.97173,4.0970464,85.86103466108412,14.428521074438773,3.0557756,1.7604625,0.61,3.0069444
puf12_r123_r567_r5loop67_r678,90.50858722266013,79.45582322510823,93.76141082393045,0.019675925925925927,8.07262,1.7800908,6.9382496,34.456345,31.378296,4.1508284,87.66703069771569,14.91412630726057,3.0524075,1.7602466,0.65475005,2.9583335
puf12_r123_r567_r6loopr7_r5678,90.88652152393742,78.80022797017797,94.5398123665001,0.006327160493827161,7.550195,1.5592856,6.557776,34.324947,31.287874,4.138867,86.95129880039924,14.980090779342897,3.0219984,1.7804257,0.59433335,2.955247
puf12_r123_r567_r6loopr7_r5loop678,88.62742574787116,70.87931121031747,92.31730046542643,0.039699074074074074,8.8019905,2.066141,7.2164774,34.53862,31.466963,4.1625576,89.25023433185214,15.349014686928559,3.0222223,1.7530451,0.64725006,2.8645835
puf12_r123_r567_r6r7_r5678,91.66058561980012,80.98997678030304,95.11261850415531,0.0,7.3704114,1.4689822,6.5600696,34.345024,31.3656,4.149149,87.18618858243636,15.22553773370862,3.0021472,1.7977874,0.48325002,2.9641204
puf_11_loopr8,90.76015729806196,80.12283743506494,94.41899101116687,0.0,7.742361,1.6146489,6.660597,34.01635,30.156029,4.1065373,87.23178138058391,14.349630932938629,2.9399939,1.7775438,0.47749996,2.8705807
puf_11_r8,90.90173330294239,80.00965266053392,94.5199731454152,0.0,7.6818995,1.5951543,6.6599646,33.77948,30.016068,4.0874777,86.57000126045065,14.124411037197532,2.9202778,1.7794194,0.47124997,2.8440657
puf_12_loopr4loopr4,87.69833979589882,64.0176448015873,91.09340677864124,0.06354166666666666,9.46132,2.3051465,8.106258,35.067036,31.724075,4.196569,94.46535381303853,15.150356059698838,2.9477026,1.7185917,0.63425004,2.730324
puf_12_loopr4r4,88.35718493076368,71.34708116161616,91.6364209334165,0.043055555555555555,9.437216,2.2731767,7.953454,34.87963,31.749935,4.19999,91.04173810237191,15.322241348024424,2.950133,1.7287437,0.6330001,2.8229167
puf_12_r4loopr4,88.036411066052,70.16835796356422,91.20538823498711,0.052662037037037035,9.619307,2.3323293,8.171312,34.746464,31.58692,4.178426,91.9042335889329,15.190674734186448,2.9490623,1.716682,0.6402501,2.7986112
puf_12_r4r4,89.21553596761967,73.84824864357864,92.21466766482617,0.027546296296296294,9.111941,2.1329672,7.9328704,34.50116,31.599869,4.1801386,88.71484048447573,15.402979416593787,2.9435184,1.7228568,0.5572501,2.8524306
