group,C295,C388,C871,C388_note,construct
2 P4-R5-SNE,0.11864,0.73555,0.47919,73.56%｜Pos388 Ref=C Alt=T DP=6489 Ref_dp=1686 Alt_dp=4773 Freq=0.73555,P4-R5-SNE
2 P4-R5-SNE,0.13072,0.75064,0.49487,75.06%｜Pos388 Ref=C Alt=T DP=6994 Ref_dp=1713 Alt_dp=5250 Freq=0.75064,P4-R5-SNE
3 P4-R5-ETD,0.0,0.0,0.09609,0.00%｜Pos388 Ref=C Alt=T 未检出对应C>T记录（variant表）,P4-R5-ETD
3 P4-R5-ETD,0.0,0.0,0.10579,0.00%｜Pos388 Ref=C Alt=T 未检出对应C>T记录（variant表）,P4-R5-ETD
4 P4-R5-SHE,0.17658,0.59567,0.55044,59.57%｜Pos388 Ref=C Alt=T DP=6972 Ref_dp=2793 Alt_dp=4153 Freq=0.59567,P4-R5-SHE
4 P4-R5-SHE,0.21067,0.63798,0.61419,63.80%｜Pos388 Ref=C Alt=T DP=5345 Ref_dp=1912 Alt_dp=3410 Freq=0.63798,P4-R5-SHE
5 P4-R5-SWD+P7-R5-SWD,0.1733,0.5012,0.34665,50.12%｜Pos388 Ref=C Alt=T DP=7504 Ref_dp=3713 Alt_dp=3761 Freq=0.50120,P4-R5-SWD+P7-R5-SWD
5 P4-R5-SWD+P7-R5-SWD,0.19361,0.53665,0.38036,53.66%｜Pos388 Ref=C Alt=T DP=5825 Ref_dp=2663 Alt_dp=3126 Freq=0.53665,P4-R5-SWD+P7-R5-SWD
6 P5-R6-VFN,0.26081,0.54597,0.68239,54.60%｜Pos388 Ref=C Alt=T DP=7418 Ref_dp=3338 Alt_dp=4050 Freq=0.54597,P5-R6-VFN
6 P5-R6-VFN,0.2821,0.5649,0.7066,56.49%｜Pos388 Ref=C Alt=T DP=6895 Ref_dp=2970 Alt_dp=3895 Freq=0.56490,P5-R6-VFN
7 P5-R6-TYE,0.15145,0.44241,0.37392,44.24%｜Pos388 Ref=C Alt=T DP=7163 Ref_dp=3975 Alt_dp=3169 Freq=0.44241,P5-R6-TYE
7 P5-R6-TYE,0.15543,0.44371,0.37989,44.37%｜Pos388 Ref=C Alt=T DP=4717 Ref_dp=2607 Alt_dp=2093 Freq=0.44371,P5-R6-TYE
8 P5-R6-THN,0.10376,0.52764,0.50568,52.76%｜Pos388 Ref=C Alt=T DP=5155 Ref_dp=2419 Alt_dp=2720 Freq=0.52764,P5-R6-THN
8 P5-R6-THN,0.10346,0.53079,0.50686,53.08%｜Pos388 Ref=C Alt=T DP=5392 Ref_dp=2506 Alt_dp=2862 Freq=0.53079,P5-R6-THN
9 P5-R6-SFE,0.19993,0.60986,0.57702,60.99%｜Pos388 Ref=C Alt=T DP=5680 Ref_dp=2202 Alt_dp=3464 Freq=0.60986,P5-R6-SFE
9 P5-R6-SFE,0.21547,0.64846,0.61938,64.85%｜Pos388 Ref=C Alt=T DP=4412 Ref_dp=1534 Alt_dp=2861 Freq=0.64846,P5-R6-SFE
10 P5-R6-NYE,0.13488,0.54582,0.44983,54.58%｜Pos388 Ref=C Alt=T DP=5707 Ref_dp=2570 Alt_dp=3115 Freq=0.54582,P5-R6-NYE
10 P5-R6-NYE,0.16753,0.60192,0.50665,60.19%｜Pos388 Ref=C Alt=T DP=6755 Ref_dp=2667 Alt_dp=4066 Freq=0.60192,P5-R6-NYE
11 P5-R6-LRD,0.0,0.20374,0.19761,20.37%｜Pos388 Ref=C Alt=T DP=4442 Ref_dp=3530 Alt_dp=905 Freq=0.20374,P5-R6-LRD
11 P5-R6-LRD,0.0,0.26298,0.23698,26.30%｜Pos388 Ref=C Alt=T DP=5472 Ref_dp=4019 Alt_dp=1439 Freq=0.26298,P5-R6-LRD
12 P5-R6-DFE,0.08127,0.29646,0.06524,29.65%｜Pos388 Ref=C Alt=T DP=6210 Ref_dp=4348 Alt_dp=1841 Freq=0.29646,P5-R6-DFE
12 P5-R6-DFE,0.11861,0.35322,0.08535,35.32%｜Pos388 Ref=C Alt=T DP=3955 Ref_dp=2547 Alt_dp=1397 Freq=0.35322,P5-R6-DFE
13 P5-R6-TWD,0.12193,0.55195,0.29964,55.20%｜Pos388 Ref=C Alt=T DP=6660 Ref_dp=2959 Alt_dp=3676 Freq=0.55195,P5-R6-TWD
13 P5-R6-TWD,0.16919,0.64373,0.39892,64.37%｜Pos388 Ref=C Alt=T DP=2776 Ref_dp=977 Alt_dp=1787 Freq=0.64373,P5-R6-TWD
14 P5-R6-SWD,0.11493,0.63622,0.38435,63.62%｜Pos388 Ref=C Alt=T DP=7785 Ref_dp=2812 Alt_dp=4953 Freq=0.63622,P5-R6-SWD
14 P5-R6-SWD,0.12758,0.69665,0.44803,69.66%｜Pos388 Ref=C Alt=T DP=6003 Ref_dp=1792 Alt_dp=4182 Freq=0.69665,P5-R6-SWD
15 P5-R6-FWD,0.05354,0.35897,0.27491,35.90%｜Pos388 Ref=C Alt=T DP=6112 Ref_dp=3904 Alt_dp=2194 Freq=0.35897,P5-R6-FWD
15 P5-R6-FWD,0.05699,0.38767,0.30077,38.77%｜Pos388 Ref=C Alt=T DP=5368 Ref_dp=3275 Alt_dp=2081 Freq=0.38767,P5-R6-FWD
16 P5-R6-AYE,0.16742,0.53248,0.50615,53.25%｜Pos388 Ref=C Alt=T DP=5557 Ref_dp=2585 Alt_dp=2959 Freq=0.53248,P5-R6-AYE
16 P5-R6-AYE,0.18922,0.5801,0.5579,58.01%｜Pos388 Ref=C Alt=T DP=4894 Ref_dp=2036 Alt_dp=2839 Freq=0.58010,P5-R6-AYE
17 P5-R6-SYQ,0.18116,0.58752,0.63603,58.75%｜Pos388 Ref=C Alt=T DP=4856 Ref_dp=1980 Alt_dp=2853 Freq=0.58752,P5-R6-SYQ
17 P5-R6-SYQ,0.18562,0.59491,0.6496,59.49%｜Pos388 Ref=C Alt=T DP=6164 Ref_dp=2467 Alt_dp=3667 Freq=0.59491,P5-R6-SYQ
18 P5-R6-TTE,0.0,0.34065,0.27363,34.06%｜Pos388 Ref=C Alt=T DP=6244 Ref_dp=4100 Alt_dp=2127 Freq=0.34065,P5-R6-TTE
18 P5-R6-TTE,0.0,0.35712,0.2871,35.71%｜Pos388 Ref=C Alt=T DP=5928 Ref_dp=3802 Alt_dp=2117 Freq=0.35712,P5-R6-TTE
19 P6-R7-QRW,0.18872,0.58147,0.26699,58.15%｜Pos388 Ref=C Alt=T DP=5192 Ref_dp=2161 Alt_dp=3019 Freq=0.58147,P6-R7-QRW
19 P6-R7-QRW,0.21137,0.62715,0.29353,62.71%｜Pos388 Ref=C Alt=T DP=6284 Ref_dp=2311 Alt_dp=3941 Freq=0.62715,P6-R7-QRW
20 P6-R7-TRQ,0.25971,0.64195,0.57767,64.20%｜Pos388 Ref=C Alt=T DP=6675 Ref_dp=2364 Alt_dp=4285 Freq=0.64195,P6-R7-TRQ
20 P6-R7-TRQ,0.26627,0.67354,0.6076,67.35%｜Pos388 Ref=C Alt=T DP=7174 Ref_dp=2308 Alt_dp=4832 Freq=0.67354,P6-R7-TRQ
21 P6-R7-MHQ,0.13646,0.25354,0.16682,25.35%｜Pos388 Ref=C Alt=T DP=7841 Ref_dp=5821 Alt_dp=1988 Freq=0.25354,P6-R7-MHQ
21 P6-R7-MHQ,0.12765,0.25306,0.17805,25.31%｜Pos388 Ref=C Alt=T DP=6200 Ref_dp=4609 Alt_dp=1569 Freq=0.25306,P6-R7-MHQ
22 P6-R7-WFD,0.2989,0.68645,0.58684,68.64%｜Pos388 Ref=C Alt=T DP=6656 Ref_dp=2062 Alt_dp=4569 Freq=0.68645,P6-R7-WFD
