validation,heldout,selected,inner_AUC
LOCO,P4-R5-ETD,Structure6_LR,0.7784090909090909
LOCO,P4-R5-SHE,CP_Structure9_LR,0.7936507936507937
LOCO,P4-R5-SHE+P7-R5-SHE,CP_Structure9_LR,0.8042328042328042
LOCO,P4-R5-SNE,CP_Structure9_LR,0.7936507936507937
LOCO,P4-R5-SNE+P7-R5-SNE,CP_Structure9_LR,0.783068783068783
LOCO,P4-R5-SWD+P7-R5-SWD,CP_Structure9_LR,0.7777777777777778
LOCO,P4-R5-THE+P7-R5-THE,CP_Structure9_LR,0.7671957671957672
LOCO,P4-R5-YTH+P7-R5-YTH,CP3_LR,0.6363636363636364
LOCO,P4-R5-YYE+P7-P5-YYE,CP_Structure9_LR,0.7045454545454546
LOCO,P5-R6-AYE,CP_Structure9_LR,0.7513227513227514
LOCO,P5-R6-DFE,CP_Structure9_LR,0.7727272727272727
LOCO,P5-R6-FWD,CP_Structure9_RF,0.6988636363636364
LOCO,P5-R6-LRD,CP_RNA7_LR,0.875
LOCO,P5-R6-NYE,CP_Structure9_LR,0.8095238095238095
LOCO,P5-R6-SFE,CP_Structure9_LR,0.7566137566137566
LOCO,P5-R6-SWD,CP_Structure9_LR,0.746031746031746
LOCO,P5-R6-SYQ,CP_Structure9_LR,0.7354497354497355
LOCO,P5-R6-THN,CP_Structure9_LR,0.7619047619047619
LOCO,P5-R6-TTE,CP_Structure9_RF,0.7272727272727273
LOCO,P5-R6-TWD,CP_Structure9_LR,0.7407407407407407
LOCO,P5-R6-TYE,CP_Structure9_LR,0.8125
LOCO,P5-R6-VFN,CP_Structure9_LR,0.693121693121693
LOCO,P6-R7-MHQ,Structure6_LR,0.7670454545454546
LOCO,P6-R7-QFW,CP_Structure9_LR,0.7037037037037037
LOCO,P6-R7-QRW,CP_Structure9_LR,0.7142857142857143
LOCO,P6-R7-TRQ,CP_Structure9_LR,0.7037037037037037
LOCO,P6-R7-WFD,CP_Structure9_LR,0.7248677248677249
LOCO,P6-R7-WFQ,CP_Structure9_LR,0.7301587301587302
LOCO,P7-R5-SYVIRR,CP_Structure9_LR,0.7619047619047619
LOCO,P8-R6-GVE,CP_Structure9_LR,0.7301587301587302
LOCO,PUF12-9,Structure6_LR,0.746031746031746
mutation_group_out,P4-R5-ETD;P4-R5-SHE;P4-R5-SNE,CP_Structure9_LR,0.7562500000000001
mutation_group_out,P4-R5-SHE+P7-R5-SHE;P4-R5-SNE+P7-R5-SNE;P4-R5-SWD+P7-R5-SWD;P4-R5-THE+P7-R5-THE;P4-R5-YTH+P7-R5-YTH;P4-R5-YYE+P7-P5-YYE,CP_Structure9_LR,0.8571428571428572
mutation_group_out,P5-R6-AYE;P5-R6-DFE;P5-R6-FWD;P5-R6-LRD;P5-R6-NYE;P5-R6-SFE;P5-R6-SWD;P5-R6-SYQ;P5-R6-THN;P5-R6-TTE;P5-R6-TWD;P5-R6-TYE;P5-R6-VFN,CP3_LR,0.75
mutation_group_out,P6-R7-MHQ;P6-R7-QFW;P6-R7-QRW;P6-R7-TRQ;P6-R7-WFD;P6-R7-WFQ,CP_Structure9_RF,0.7426470588235294
mutation_group_out,P7-R5-SYVIRR,CP_Structure9_LR,0.7883597883597884
mutation_group_out,P8-R6-GVE,CP_Structure9_LR,0.7883597883597884
mutation_group_out,PUF12-9,CP_Structure9_LR,0.798941798941799
