construct,success,batch,protein_length,pp_nonlocal4_high_per_res,pp_nonlocal12_high_per_res,pp_nonlocal24_high_per_res
puf12_r123_r5678_r56788,0,previous,512,2.33447265625,1.27197265625,1.08447265625
puf12_r123_r5678_r5loop6788,0,previous,519,2.282273603082852,1.2369942196531791,1.060693641618497
puf12_r123_r567_r567_r678,1,previous,512,2.387109375,1.324609375,1.12421875
puf12_r123_r567_r5loop67_loopr678,1,previous,526,2.3797528517110265,1.317965779467681,1.125
puf12_r123_r567_r5loop67_r678,0,previous,519,2.353082851637765,1.3073217726396915,1.107418111753372
puf12_r123_r567_r6loopr7_r5678,0,previous,519,2.359023763648041,1.2999357739242132,1.1059730250481696
puf12_r123_r567_r6loopr7_r5loop678,0,previous,526,2.281844106463878,1.2480988593155895,1.064638783269962
puf12_r123_r567_r6r7_r5678,1,previous,512,2.38232421875,1.31689453125,1.12060546875
puf_12_loopr4loopr4,0,previous,527,2.212998102466793,1.189278937381404,1.0265654648956355
puf_12_loopr4r4,0,previous,520,2.30625,1.25,1.0740384615384615
puf_12_r4loopr4,0,previous,520,2.279807692307692,1.234134615384615,1.0610576923076924
puf_12_r4r4,0,previous,513,2.344541910331384,1.267056530214425,1.0867446393762183
puf_11_loopr8,0,previous,483,2.3338509316770186,1.2608695652173914,1.0781573498964803
puf_11_r8,0,previous,476,2.3219537815126055,1.259453781512605,1.0682773109243697
