construct,success,seed,model,protein_length,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal12_high_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,rna01_cp_sum,rna01_cp_max,rna02_cp_sum,rna02_cp_max,rna03_cp_sum,rna03_cp_max,rna04_cp_sum,rna04_cp_max,rna05_cp_sum,rna05_cp_max,rna06_cp_sum,rna06_cp_max,rna07_cp_sum,rna07_cp_max,rna08_cp_sum,rna08_cp_max,rna09_cp_sum,rna09_cp_max,rna10_cp_sum,rna10_cp_max,rna11_cp_sum,rna11_cp_max,rna12_cp_sum,rna12_cp_max,rna13_cp_sum,rna13_cp_max,protein_bin01_pr_cp,protein_bin02_pr_cp,protein_bin03_pr_cp,protein_bin04_pr_cp,protein_bin05_pr_cp,protein_bin06_pr_cp,protein_bin07_pr_cp,protein_bin08_pr_cp,protein_bin09_pr_cp,protein_bin10_pr_cp,protein_bin11_pr_cp,protein_bin12_pr_cp,iptm,ptm,ranking_score,mean_plddt,interface_pae
puf12_r123_r5678_r56788,0,1,0,512,51.53,3.963846153846154,0.9925,0.8453846153846154,0.1,0.7692307692307693,0.07421875,3.6923076923076925,2.3794921875,2.333984375,1.31064453125,1.271484375,1.12638671875,1.083984375,4.55,0.99,6.33,1.0,4.58,0.99,4.74,1.0,4.210000000000001,1.0,4.73,0.99,4.370000000000001,1.0,4.42,0.99,4.699999999999999,0.98,5.69,0.97,1.54,0.5,1.2200000000000002,0.48,0.45000000000000007,0.1,0.04093023255813954,0.22813953488372093,0.09674418604651164,0.10744186046511628,0.10534883720930231,0.11604651162790698,0.20279069767441862,0.12627906976744185,0.12880952380952382,0.05,0.0,0.0,0.93,0.86,0.94,90.4309722535529,6.74716045673077
puf12_r123_r5678_r56788,0,1,1,512,51.53,3.963846153846154,0.9925,0.8453846153846154,0.1,0.7692307692307693,0.07421875,3.6923076923076925,2.3794921875,2.333984375,1.31064453125,1.271484375,1.12638671875,1.083984375,4.55,0.99,6.33,1.0,4.58,0.99,4.74,1.0,4.210000000000001,1.0,4.73,0.99,4.370000000000001,1.0,4.42,0.99,4.699999999999999,0.98,5.69,0.97,1.54,0.5,1.2200000000000002,0.48,0.45000000000000007,0.1,0.04093023255813954,0.22813953488372093,0.09674418604651164,0.10744186046511628,0.10534883720930231,0.11604651162790698,0.20279069767441862,0.12627906976744185,0.12880952380952382,0.05,0.0,0.0,0.93,0.86,0.94,90.0540672230995,6.727193509615384
puf12_r123_r5678_r56788,0,1,2,512,51.53,3.963846153846154,0.9925,0.8453846153846154,0.1,0.7692307692307693,0.07421875,3.6923076923076925,2.3794921875,2.333984375,1.31064453125,1.271484375,1.12638671875,1.083984375,4.55,0.99,6.33,1.0,4.58,0.99,4.74,1.0,4.210000000000001,1.0,4.73,0.99,4.370000000000001,1.0,4.42,0.99,4.699999999999999,0.98,5.69,0.97,1.54,0.5,1.2200000000000002,0.48,0.45000000000000007,0.1,0.04093023255813954,0.22813953488372093,0.09674418604651164,0.10744186046511628,0.10534883720930231,0.11604651162790698,0.20279069767441862,0.12627906976744185,0.12880952380952382,0.05,0.0,0.0,0.93,0.86,0.94,90.21438303631852,6.704852764423077
puf12_r123_r5678_r56788,0,1,3,512,51.53,3.963846153846154,0.9925,0.8453846153846154,0.1,0.7692307692307693,0.07421875,3.6923076923076925,2.3794921875,2.333984375,1.31064453125,1.271484375,1.12638671875,1.083984375,4.55,0.99,6.33,1.0,4.58,0.99,4.74,1.0,4.210000000000001,1.0,4.73,0.99,4.370000000000001,1.0,4.42,0.99,4.699999999999999,0.98,5.69,0.97,1.54,0.5,1.2200000000000002,0.48,0.45000000000000007,0.1,0.04093023255813954,0.22813953488372093,0.09674418604651164,0.10744186046511628,0.10534883720930231,0.11604651162790698,0.20279069767441862,0.12627906976744185,0.12880952380952382,0.05,0.0,0.0,0.93,0.86,0.94,89.9206970448906,6.867578125
puf12_r123_r5678_r56788,0,1,4,512,51.53,3.963846153846154,0.9925,0.8453846153846154,0.1,0.7692307692307693,0.07421875,3.6923076923076925,2.3794921875,2.333984375,1.31064453125,1.271484375,1.12638671875,1.083984375,4.55,0.99,6.33,1.0,4.58,0.99,4.74,1.0,4.210000000000001,1.0,4.73,0.99,4.370000000000001,1.0,4.42,0.99,4.699999999999999,0.98,5.69,0.97,1.54,0.5,1.2200000000000002,0.48,0.45000000000000007,0.1,0.04093023255813954,0.22813953488372093,0.09674418604651164,0.10744186046511628,0.10534883720930231,0.11604651162790698,0.20279069767441862,0.12627906976744185,0.12880952380952382,0.05,0.0,0.0,0.93,0.86,0.93,89.84675389127003,6.810682091346154
puf12_r123_r5678_r56788,0,2,0,512,51.51,3.962307692307692,0.9914999999999999,0.8430769230769232,0.11,0.7692307692307693,0.072265625,3.6153846153846154,2.3810546875,2.33203125,1.31181640625,1.267578125,1.1269921875,1.080078125,4.569999999999999,0.99,6.34,0.99,4.58,0.99,4.71,1.0,4.2,1.0,4.720000000000001,0.99,4.380000000000001,1.0,4.4,0.99,4.710000000000001,0.98,5.68,0.97,1.51,0.48,1.2100000000000002,0.47,0.5,0.11,0.04186046511627907,0.2274418604651163,0.09674418604651164,0.1072093023255814,0.1055813953488372,0.11418604651162789,0.20348837209302326,0.12674418604651164,0.12880952380952382,0.05,0.0,0.0,0.93,0.86,0.94,90.3868373561922,6.698407451923078
puf12_r123_r5678_r56788,0,2,1,512,51.51,3.962307692307692,0.9914999999999999,0.8430769230769232,0.11,0.7692307692307693,0.072265625,3.6153846153846154,2.3810546875,2.33203125,1.31181640625,1.267578125,1.1269921875,1.080078125,4.569999999999999,0.99,6.34,0.99,4.58,0.99,4.71,1.0,4.2,1.0,4.720000000000001,0.99,4.380000000000001,1.0,4.4,0.99,4.710000000000001,0.98,5.68,0.97,1.51,0.48,1.2100000000000002,0.47,0.5,0.11,0.04186046511627907,0.2274418604651163,0.09674418604651164,0.1072093023255814,0.1055813953488372,0.11418604651162789,0.20348837209302326,0.12674418604651164,0.12880952380952382,0.05,0.0,0.0,0.93,0.86,0.93,90.50797879539815,6.698828125
puf12_r123_r5678_r56788,0,2,2,512,51.51,3.962307692307692,0.9914999999999999,0.8430769230769232,0.11,0.7692307692307693,0.072265625,3.6153846153846154,2.3810546875,2.33203125,1.31181640625,1.267578125,1.1269921875,1.080078125,4.569999999999999,0.99,6.34,0.99,4.58,0.99,4.71,1.0,4.2,1.0,4.720000000000001,0.99,4.380000000000001,1.0,4.4,0.99,4.710000000000001,0.98,5.68,0.97,1.51,0.48,1.2100000000000002,0.47,0.5,0.11,0.04186046511627907,0.2274418604651163,0.09674418604651164,0.1072093023255814,0.1055813953488372,0.11418604651162789,0.20348837209302326,0.12674418604651164,0.12880952380952382,0.05,0.0,0.0,0.93,0.86,0.93,90.69478005865102,6.561763822115383
puf12_r123_r5678_r56788,0,2,3,512,51.51,3.962307692307692,0.9914999999999999,0.8430769230769232,0.11,0.7692307692307693,0.072265625,3.6153846153846154,2.3810546875,2.33203125,1.31181640625,1.267578125,1.1269921875,1.080078125,4.569999999999999,0.99,6.34,0.99,4.58,0.99,4.71,1.0,4.2,1.0,4.720000000000001,0.99,4.380000000000001,1.0,4.4,0.99,4.710000000000001,0.98,5.68,0.97,1.51,0.48,1.2100000000000002,0.47,0.5,0.11,0.04186046511627907,0.2274418604651163,0.09674418604651164,0.1072093023255814,0.1055813953488372,0.11418604651162789,0.20348837209302326,0.12674418604651164,0.12880952380952382,0.05,0.0,0.0,0.92,0.86,0.93,90.15810963230318,6.837875600961538
puf12_r123_r5678_r56788,0,2,4,512,51.51,3.962307692307692,0.9914999999999999,0.8430769230769232,0.11,0.7692307692307693,0.072265625,3.6153846153846154,2.3810546875,2.33203125,1.31181640625,1.267578125,1.1269921875,1.080078125,4.569999999999999,0.99,6.34,0.99,4.58,0.99,4.71,1.0,4.2,1.0,4.720000000000001,0.99,4.380000000000001,1.0,4.4,0.99,4.710000000000001,0.98,5.68,0.97,1.51,0.48,1.2100000000000002,0.47,0.5,0.11,0.04186046511627907,0.2274418604651163,0.09674418604651164,0.1072093023255814,0.1055813953488372,0.11418604651162789,0.20348837209302326,0.12674418604651164,0.12880952380952382,0.05,0.0,0.0,0.92,0.86,0.93,90.28956237311075,6.73946814903846
