construct,scope,seed,pp_nonlocal12_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,plddt_core_mean,plddt_core_min_model,global_core_PAE,anisotropy,RNA_meanCP,RNA_high_per_res,internal_P1,P1_P2_CP,P1_P3_CP,P1_P4_CP,P1_P5_CP,P1_P6_CP,P1_P7_CP,P1_P8_CP,P1_P9_CP,P1_P10_CP,P1_P11_CP,P1_P12_CP,internal_P2,P2_P3_CP,P2_P4_CP,P2_P5_CP,P2_P6_CP,P2_P7_CP,P2_P8_CP,P2_P9_CP,P2_P10_CP,P2_P11_CP,P2_P12_CP,internal_P3,P3_P4_CP,P3_P5_CP,P3_P6_CP,P3_P7_CP,P3_P8_CP,P3_P9_CP,P3_P10_CP,P3_P11_CP,P3_P12_CP,internal_P4,P4_P5_CP,P4_P6_CP,P4_P7_CP,P4_P8_CP,P4_P9_CP,P4_P10_CP,P4_P11_CP,P4_P12_CP,internal_P5,P5_P6_CP,P5_P7_CP,P5_P8_CP,P5_P9_CP,P5_P10_CP,P5_P11_CP,P5_P12_CP,internal_P6,P6_P7_CP,P6_P8_CP,P6_P9_CP,P6_P10_CP,P6_P11_CP,P6_P12_CP,internal_P7,P7_P8_CP,P7_P9_CP,P7_P10_CP,P7_P11_CP,P7_P12_CP,internal_P8,P8_P9_CP,P8_P10_CP,P8_P11_CP,P8_P12_CP,internal_P9,P9_P10_CP,P9_P11_CP,P9_P12_CP,internal_P10,P10_P11_CP,P10_P12_CP,internal_P11,P11_P12_CP,internal_P12,adj_CP_mean,adj_CP_min,nonadj_CP_mean
P4-R5-ETD,full519,966984196,1.3102119460500963,91.19995008313245,1.4879291772842407,4.400870570733258,2.3946821689605713,2.3622350674373798,1.3402889966964722,1.1409056186676025,1.1098265895953756,59.55999755859375,3.9706664085388184,0.9895000457763672,0.8493333458900452,0.10000000149011612,0.8666666666666668,0.08477842003853564,3.8,94.9750469035594,76.82018181818182,4.814994049072266,15.404014680714525,0.007650610059499741,0.10982658959537572,1.3066667318344116,0.03359689936041832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2561111450195312,0.04080620035529137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2583333253860474,0.038728680461645126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28249990940094,0.03454263508319855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3194444179534912,0.038852714002132416,0.0,0.0,0.0,0.0,0.0,0.0,1.3008333444595337,0.03696899116039276,0.0,0.0,0.0,0.0,0.0,1.2938889265060425,0.03455038741230965,0.0,0.0,0.0,0.0,1.3300000429153442,0.040565889328718185,0.0,0.0,0.0,1.2472223043441772,0.04098449647426605,0.0,0.0,1.2819443941116333,0.03958139196038246,6.944444612599909e-05,1.3333333730697632,0.04123255982995033,1.164722204208374,0.038219167766245926,0.03359689936041832,1.2626262931999836e-06
P4-R5-ETD,matched512,966984196,1.328125,91.87070552356715,1.4777161836624146,4.32257791499964,2.4267382621765137,2.39453125,1.3579297065734863,1.1560547351837158,1.125,59.55999755859375,3.9706664085388184,0.9895000457763672,0.8493333458900452,0.10000000149011612,0.8666666666666668,0.0859375,3.8,94.9750469035594,76.82018181818182,4.814994049072266,15.404014680714525,0.00775520782917738,0.111328125,1.3066667318344116,0.03359689936041832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2561111450195312,0.04080620035529137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2583333253860474,0.038728680461645126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28249990940094,0.03454263508319855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3194444179534912,0.038852714002132416,0.0,0.0,0.0,0.0,0.0,0.0,1.3008333444595337,0.03696899116039276,0.0,0.0,0.0,0.0,0.0,1.2938889265060425,0.03455038741230965,0.0,0.0,0.0,0.0,1.3300000429153442,0.040565889328718185,0.0,0.0,0.0,1.2472223043441772,0.04098449647426605,0.0,0.0,1.2819443941116333,0.03958139196038246,6.944444612599909e-05,1.3333333730697632,0.04123255982995033,1.164722204208374,0.038219167766245926,0.03359689936041832,1.2626262931999836e-06
P4-R5-SHE,full519,810109421,1.3198458574181118,91.56939484106131,1.4605923175811768,4.3250025617099395,2.3945858478546143,2.368015414258189,1.3404239416122437,1.1405009031295776,1.1194605009633911,50.23999786376953,3.3493332862854004,0.965999960899353,0.7320000529289246,0.14000000059604645,0.7333333333333333,0.061657032755298644,2.7333333333333334,95.13623841056062,76.88672727272726,4.8001655578613285,14.726746661004237,0.006453435868024826,0.0789980732177264,1.3038889169692993,0.03368217125535011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2572221755981445,0.04062015190720558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.0390465147793293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2933332920074463,0.03437209129333496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3138890266418457,0.03851162642240524,0.0,0.0,0.0,0.0,0.0,0.0,1.3041666746139526,0.036906976252794266,0.0,0.0,0.0,0.0,0.0,1.2905555963516235,0.03459690138697624,0.0,0.0,0.0,0.0,1.329722285270691,0.040697675198316574,0.0,0.0,0.0,1.2544444799423218,0.04116278886795044,0.0,0.0,1.284166693687439,0.03975193575024605,0.0001080246947822161,1.3252778053283691,0.041596900671720505,1.1577777862548828,0.03826779398051175,0.03368217125535011,1.9640853596766564e-06
P4-R5-SHE,matched512,810109421,1.337890625,92.25493849572736,1.4416479349136353,4.247041430068009,2.426074266433716,2.400390625,1.357519507408142,1.155214786529541,1.134765625,50.23999786376953,3.3493332862854004,0.965999960899353,0.7320000529289246,0.14000000059604645,0.7333333333333333,0.0625,2.7333333333333334,95.13623841056062,76.88672727272726,4.8001655578613285,14.726746661004237,0.006541666574776173,0.080078125,1.3038889169692993,0.03368217125535011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2572221755981445,0.04062015190720558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552778720855713,0.0390465147793293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2933332920074463,0.03437209129333496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3138890266418457,0.03851162642240524,0.0,0.0,0.0,0.0,0.0,0.0,1.3041666746139526,0.036906976252794266,0.0,0.0,0.0,0.0,0.0,1.2905555963516235,0.03459690138697624,0.0,0.0,0.0,0.0,1.329722285270691,0.040697675198316574,0.0,0.0,0.0,1.2544444799423218,0.04116278886795044,0.0,0.0,1.284166693687439,0.03975193575024605,0.0001080246947822161,1.3252778053283691,0.041596900671720505,1.1577777862548828,0.03826779398051175,0.03368217125535011,1.9640853596766564e-06
P4-R5-SHE+P7-R5-SHE,full519,378840504,1.3179190751445087,91.51274660227378,1.47409245967865,4.367054308889017,2.3941426277160645,2.3699421965317917,1.338516354560852,1.14048171043396,1.117533718689788,49.959999084472656,3.3306665420532227,0.9539998769760132,0.7286666631698608,0.17000000178813934,0.7333333333333333,0.061657032755298644,2.7333333333333334,94.99195346153331,76.39581818181819,4.958436584472656,15.049264303931626,0.006417469587177038,0.0789980732177264,1.3013888597488403,0.03396124020218849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2558332681655884,0.04074418544769287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2494444847106934,0.03868217021226883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.290555477142334,0.034325581043958664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3127777576446533,0.03855038806796074,0.0,0.0,0.0,0.0,0.0,0.0,1.2991667985916138,0.03675193712115288,0.0,0.0,0.0,0.0,0.0,1.2866666316986084,0.03448062017560005,0.0,0.0,0.0,0.0,1.329444408416748,0.04064341261982918,0.0,0.0,0.0,1.2494444847106934,0.04124030843377113,0.0,0.0,1.2850000858306885,0.039899226278066635,0.0001851851848186925,1.3297221660614014,0.042379844933748245,1.1658333539962769,0.03833262859420343,0.03396124020218849,3.3670033603398635e-06
P4-R5-SHE+P7-R5-SHE,matched512,378840504,1.3359375,92.18357447155708,1.4590059518814087,4.289228632848548,2.4258594512939453,2.40234375,1.3558204174041748,1.1554101705551147,1.1328125,49.959999084472656,3.3306665420532227,0.9539998769760132,0.7286666631698608,0.17000000178813934,0.7333333333333333,0.0625,2.7333333333333334,94.99195346153331,76.39581818181819,4.958436584472656,15.049264303931626,0.0065052080899477005,0.080078125,1.3013888597488403,0.03396124020218849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2558332681655884,0.04074418544769287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2494444847106934,0.03868217021226883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.290555477142334,0.034325581043958664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3127777576446533,0.03855038806796074,0.0,0.0,0.0,0.0,0.0,0.0,1.2991667985916138,0.03675193712115288,0.0,0.0,0.0,0.0,0.0,1.2866666316986084,0.03448062017560005,0.0,0.0,0.0,0.0,1.329444408416748,0.04064341261982918,0.0,0.0,0.0,1.2494444847106934,0.04124030843377113,0.0,0.0,1.2850000858306885,0.039899226278066635,0.0001851851848186925,1.3297221660614014,0.042379844933748245,1.1658333539962769,0.03833262859420343,0.03396124020218849,3.3670033603398635e-06
P4-R5-SNE,full519,2050111479,1.300578034682081,90.99865929790613,1.453056240081787,4.372923315859344,2.3878228664398193,2.3429672447013488,1.3342773914337158,1.1432948112487793,1.1098265895953756,48.040000915527344,3.202666759490967,0.9449999928474426,0.6973332762718201,0.10999999940395355,0.7333333333333333,0.05780346820809248,2.6,94.95265455263615,74.57124999999999,4.784688949584961,14.878323139531272,0.00617084139958024,0.07514450867052024,1.307777762413025,0.03371317684650421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2533334493637085,0.04064341261982918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2549999952316284,0.03877519071102142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.03458914905786514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3147222995758057,0.03858139365911484,0.0,0.0,0.0,0.0,0.0,0.0,1.304444432258606,0.03681395202875137,0.0,0.0,0.0,0.0,0.0,1.292222261428833,0.03449612483382225,0.0,0.0,0.0,0.0,1.329722285270691,0.040682174265384674,0.0,0.0,0.0,1.25166654586792,0.040945734828710556,0.0,0.0,1.2869445085525513,0.03967441990971565,3.858024865621701e-05,1.3233332633972168,0.04070542752742767,1.141111135482788,0.03814728693528609,0.03371317684650421,7.014590664766729e-07
P4-R5-SNE,matched512,2050111479,1.318359375,91.6337586825284,1.4411751747131347,4.295682331311653,2.4196486473083496,2.375,1.351718783378601,1.1583983898162842,1.125,48.03999710083008,3.2026665210723877,0.9449999928474426,0.6973332762718201,0.10999999940395355,0.7333333333333333,0.05859375,2.6,94.95265455263615,74.57124999999999,4.784688949584961,14.878323139531272,0.006255208048969507,0.076171875,1.307777762413025,0.03371317684650421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2533334493637085,0.04064341261982918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2549999952316284,0.03877519071102142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2925000190734863,0.03458914905786514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3147222995758057,0.03858139365911484,0.0,0.0,0.0,0.0,0.0,0.0,1.304444432258606,0.03681395202875137,0.0,0.0,0.0,0.0,0.0,1.292222261428833,0.03449612483382225,0.0,0.0,0.0,0.0,1.329722285270691,0.040682174265384674,0.0,0.0,0.0,1.25166654586792,0.040945734828710556,0.0,0.0,1.2869445085525513,0.03967441990971565,3.858024865621701e-05,1.3233332633972168,0.04070542752742767,1.141111135482788,0.03814728693528609,0.03371317684650421,7.014590664766729e-07
P4-R5-SNE+P7-R5-SNE,full519,1135276247,1.3198458574181118,91.67165449624235,1.4381557941436767,4.357382612232352,2.3960888385772705,2.373795761078998,1.3403276205062866,1.142350673675537,1.1194605009633911,46.93000030517578,3.128666639328003,0.8715000152587891,0.651333212852478,0.15000000596046448,0.6,0.05973025048169557,2.533333333333333,95.01763585992197,75.94563636363635,4.934008026123047,14.90364661891149,0.006028259638696909,0.07321772639691715,1.3011112213134766,0.03434883430600166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2530555725097656,0.04093023017048836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.03831782937049866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2958333492279053,0.03449612483382225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323888897895813,0.038728680461645126,0.0,0.0,0.0,0.0,0.0,0.0,1.3069443702697754,0.03637209162116051,0.0,0.0,0.0,0.0,0.0,1.2936110496520996,0.03449612483382225,0.0,0.0,0.0,0.0,1.3322222232818604,0.04064341261982918,0.0,0.0,0.0,1.2530555725097656,0.041201550513505936,0.0,0.0,1.2858333587646484,0.040023256093263626,0.00023148149193730205,1.3250000476837158,0.04261240363121033,1.1624999046325684,0.038379139859567986,0.03434883430600166,4.208754398860038e-06
P4-R5-SNE+P7-R5-SNE,matched512,1135276247,1.337890625,92.32722693649666,1.430653738975525,4.279208848736222,2.428339958190918,2.40625,1.3581445217132568,1.1576367616653442,1.134765625,46.93000030517578,3.128666639328003,0.8715000152587891,0.651333212852478,0.15000000596046448,0.6,0.060546875,2.533333333333333,95.01763585992197,75.94563636363635,4.934008026123047,14.90364661891149,0.006110677029937506,0.07421875,1.3011112213134766,0.03434883430600166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2530555725097656,0.04093023017048836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.03831782937049866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2958333492279053,0.03449612483382225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323888897895813,0.038728680461645126,0.0,0.0,0.0,0.0,0.0,0.0,1.3069443702697754,0.03637209162116051,0.0,0.0,0.0,0.0,0.0,1.2936110496520996,0.03449612483382225,0.0,0.0,0.0,0.0,1.3322222232818604,0.04064341261982918,0.0,0.0,0.0,1.2530555725097656,0.041201550513505936,0.0,0.0,1.2858333587646484,0.040023256093263626,0.00023148149193730205,1.3250000476837158,0.04261240363121033,1.1624999046325684,0.038379139859567986,0.03434883430600166,4.208754398860038e-06
